SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.2	k_A_bar = 0.6
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	2.906563	4.6	Colonize	11	5.5896883	4.6	Colonize	
20	21	5.5089083	5.5	Colonize	21	9.133486	5.5	Colonize	
30	31	7.7786193	6.0	Colonize	31	11.738791	5.9333334	Colonize	
40	41	9.791608	6.25	Colonize	41	13.682262	6.15	Colonize	
50	51	12.538226	6.36	Colonize	51	15.124753	6.36	Colonize	
60	61	15.152318	6.5	Colonize	61	17.266026	6.4666667	Colonize	
70	71	17.821875	6.6285715	Colonize	71	18.749552	6.6285715	Colonize	
80	81	21.224379	6.7	Colonize	81	20.58915	6.725	Colonize	
90	91	23.711946	6.7777777	Colonize	91	22.441633	6.7777777	Colonize	
100	101	25.64471	6.84	Colonize	101	24.015543	6.84	Colonize	
110	111	27.431847	6.8727274	Colonize	111	26.914625	6.8545456	Colonize	
120	121	28.49567	6.9333334	Colonize	121	30.577887	6.866667	Colonize	
130	131	30.00749	6.9384613	Colonize	131	35.1444	6.876923	Colonize	
140	141	31.189367	7.0	Colonize	141	38.84075	6.9142857	Colonize	
150	151	33.190697	7.04	Colonize	151	42.505108	6.9333334	Colonize	
160	161	34.527145	7.075	Colonize	161	44.729794	6.9875	Colonize	
170	171	36.144974	7.105882	Colonize	171	46.869125	7.035294	Colonize	
180	181	38.19819	7.1444445	Colonize	181	48.811108	7.0666666	Colonize	
190	191	40.264603	7.1789474	Colonize	191	50.542946	7.1157894	Colonize	
200	201	42.278957	7.18	Colonize	201	52.059906	7.16	Colonize	
210	211	44.441776	7.1809525	Colonize	211	53.581566	7.1904764	Colonize	
220	214	44.694187	7.196262	Null	221	55.403015	7.2272725	Colonize	
230	214	44.694187	7.196262	Null	231	57.321793	7.2434783	Colonize	
240	214	44.694187	7.196262	Null	241	59.172256	7.266667	Colonize	
250	214	44.694187	7.196262	Null	251	61.454063	7.28	Colonize	
260	214	44.694187	7.196262	Null	261	63.9546	7.3	Colonize	
270	214	44.694187	7.196262	Null	271	66.076935	7.3185186	Colonize	
280	214	44.694187	7.196262	Null	281	67.840775	7.321429	Colonize	
290	214	44.694187	7.196262	Null	291	69.77956	7.337931	Colonize	
300	214	44.694187	7.196262	Null	301	71.409355	7.36	Colonize	
310	214	44.694187	7.196262	Null	311	73.03244	7.3612905	Colonize	
320	214	44.694187	7.196262	Null	321	76.01574	7.35625	Colonize	
330	214	44.694187	7.196262	Null	331	77.67907	7.357576	Colonize	
340	210	43.955647	7.184834	Null	340	77.16237	7.362832	Contest	
350	209	42.15234	7.1674643	Contest	341	75.26761	7.354839	Contest	
360	205	40.162582	7.1512194	Contest	345	74.157745	7.3449273	Contest	
370	200	38.38202	7.114428	Abandon	354	75.22718	7.348442	Contest	
380	188	35.31189	6.957895	Abandon	364	75.96551	7.3002753	Contest	
390	174	31.764473	7.017143	Abandon	374	76.33123	7.2815013	Contest	
400	166	30.560904	7.042424	Colonize	384	76.976524	7.300261	Colonize	
410	159	29.35262	7.0434785	Abandon	394	77.41629	7.3587785	Contest	
420	143	24.681833	6.7724137	Abandon	404	79.59717	7.28536	Contest	
430	127	21.661432	6.859375	Abandon	413	80.175865	7.276699	Colonize	
440	129	21.950737	6.859375	Colonize	423	81.39169	7.3222747	Colonize	
450	127	21.661432	6.859375	Abandon	433	82.13328	7.361111	Colonize	
460	129	22.002314	6.859375	Colonize	437	82.28347	7.374429	Abandon	
470	129	22.002314	6.859375	Colonize	437	82.28347	7.374429	Abandon	
480	129	22.002314	6.859375	Colonize	437	82.28347	7.374429	Abandon	
490	129	22.002314	6.859375	Colonize	437	82.28347	7.374429	Abandon	
500	129	22.002314	6.859375	Colonize	437	82.28347	7.374429	Abandon	
