SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.2389505	4.2	Colonize	11	2.434621	4.4	Colonize	
20	21	5.7080483	5.3	Colonize	21	3.6555617	5.6	Colonize	
30	31	8.442038	5.733333	Colonize	31	5.1137204	6.0	Colonize	
40	41	12.050162	5.9	Colonize	41	7.313445	6.2	Colonize	
50	51	14.219247	6.32	Colonize	51	9.906533	6.36	Colonize	
60	61	16.301693	6.4666667	Colonize	61	12.837512	6.4666667	Colonize	
70	71	18.577381	6.6285715	Colonize	71	15.515122	6.571429	Colonize	
80	81	20.81059	6.725	Colonize	81	16.890856	6.775	Colonize	
90	91	23.871931	6.711111	Colonize	91	18.33202	6.8444443	Colonize	
100	101	25.763033	6.82	Colonize	101	20.30122	6.86	Colonize	
110	111	27.490019	6.8545456	Colonize	111	21.931755	6.9454546	Colonize	
120	121	28.574142	6.9166665	Colonize	121	23.794666	6.983333	Colonize	
130	131	30.947552	6.8615384	Colonize	131	27.21617	7.0153847	Colonize	
140	141	32.476295	6.957143	Colonize	141	30.865463	7.0285716	Colonize	
150	151	33.383724	6.9733334	Colonize	151	34.96077	7.0533333	Colonize	
160	161	34.20689	7.0	Colonize	161	39.350636	7.05	Colonize	
170	169	35.044647	6.994083	Null	171	42.598495	7.070588	Colonize	
180	169	35.044647	6.994083	Null	181	44.887886	7.111111	Colonize	
190	169	35.044647	6.994083	Null	191	46.379112	7.1473684	Colonize	
200	169	35.044647	6.994083	Null	201	47.925545	7.18	Colonize	
210	169	35.044647	6.994083	Null	211	50.425564	7.2	Colonize	
220	169	35.044647	6.994083	Null	221	52.73123	7.2181816	Colonize	
230	169	35.044647	6.994083	Null	231	55.131477	7.2347827	Colonize	
240	169	35.044647	6.994083	Null	241	59.08583	7.233333	Colonize	
250	169	35.044647	6.994083	Null	251	62.755077	7.232	Colonize	
260	169	35.044647	6.994083	Null	261	64.83935	7.2615385	Colonize	
270	169	35.044647	6.994083	Null	271	66.44466	7.2814813	Colonize	
280	169	35.044647	6.994083	Null	281	67.67342	7.3071427	Colonize	
290	169	35.044647	6.994083	Null	291	70.22548	7.317241	Colonize	
300	169	35.044647	6.994083	Null	301	72.72486	7.326667	Colonize	
310	169	35.044647	6.994083	Null	311	74.59998	7.3419356	Colonize	
320	169	35.044647	6.994083	Null	321	76.40605	7.35625	Colonize	
330	169	35.044647	6.994083	Null	331	77.87616	7.369697	Colonize	
340	166	34.59126	7.0	Null	341	78.92445	7.352941	Colonize	
350	160	33.89634	6.9813666	Null	351	78.70211	7.365714	Contest	
360	150	33.120087	6.9342103	Abandon	361	77.85868	7.3722224	Contest	
370	148	30.812668	6.8783784	Contest	363	76.66266	7.355372	Contest	
380	145	28.147163	6.821918	Null	366	76.01937	7.342466	Contest	
390	134	24.378963	6.602941	Abandon	376	77.36289	7.312	Contest	
400	119	21.161457	6.5454545	Abandon	386	77.777885	7.2935066	Contest	
410	109	17.333958	6.309091	Reinforce	396	79.17247	7.2253165	Contest	
420	99	14.258672	5.9	Reinforce	406	79.81484	7.150617	Contest	
430	89	11.466336	5.6	Abandon	415	80.46197	7.135266	Colonize	
440	81	10.632097	5.775	Colonize	425	81.59632	7.1603775	Colonize	
450	81	10.828554	5.756098	Abandon	429	81.80308	7.2102804	Colonize	
460	81	10.828554	5.756098	Abandon	439	83.63523	7.2237444	Colonize	
470	81	10.717411	5.756098	Abandon	449	85.38439	7.236607	Colonize	
480	77	10.046086	5.8974357	Abandon	457	86.46358	7.2982454	Colonize	
490	77	10.046086	5.8974357	Abandon	467	88.36253	7.304721	Colonize	
500	77	10.046086	5.8974357	Abandon	475	91.23857	7.2983193	Abandon	
510	77	10.046086	5.8974357	Abandon	475	91.23857	7.2983193	Abandon	
520	77	10.046086	5.8974357	Abandon	475	91.23857	7.2983193	Abandon	
530	77	10.046086	5.8974357	Abandon	475	91.23857	7.2983193	Abandon	
540	77	10.046086	5.8974357	Abandon	475	91.23857	7.2983193	Abandon	
