SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.2	k_A_bar = 0.6
NATION 1:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	2.530809	4.6	Colonize	11	3.683102	4.4	Colonize	
20	21	5.164837	5.5	Colonize	21	6.1991663	5.5	Colonize	
30	31	7.3662634	5.9333334	Colonize	31	8.405584	5.866667	Colonize	
40	41	9.616061	6.25	Colonize	41	10.872767	6.05	Colonize	
50	51	11.708014	6.4	Colonize	51	13.007336	6.24	Colonize	
60	61	14.397811	6.4666667	Colonize	61	15.058764	6.4333334	Colonize	
70	71	16.966572	6.542857	Colonize	71	16.42841	6.571429	Colonize	
80	81	19.503548	6.675	Colonize	81	20.084885	6.45	Colonize	
90	91	22.692781	6.733333	Colonize	91	24.493057	6.4666667	Colonize	
100	101	25.288717	6.8	Colonize	101	28.771248	6.46	Colonize	
110	111	27.212862	6.8545456	Colonize	111	33.00376	6.5272727	Colonize	
120	121	28.30103	6.9333334	Colonize	121	35.70605	6.7166667	Colonize	
130	131	29.618212	6.9384613	Colonize	131	37.94043	6.7846155	Colonize	
140	141	31.430897	6.9857144	Colonize	141	39.880203	6.857143	Colonize	
150	151	32.693478	7.0133333	Colonize	151	42.094345	6.92	Colonize	
160	161	33.6378	7.0375	Colonize	161	43.75557	7.025	Colonize	
170	165	33.98273	7.0545454	Null	171	46.27981	6.9882355	Colonize	
180	165	33.98273	7.0545454	Null	181	48.531292	6.977778	Colonize	
190	165	33.98273	7.0545454	Null	191	51.104107	6.957895	Colonize	
200	165	33.98273	7.0545454	Null	201	54.394768	6.93	Colonize	
210	165	33.98273	7.0545454	Null	211	59.43496	6.8761907	Colonize	
220	165	33.98273	7.0545454	Null	221	62.134205	6.918182	Colonize	
230	165	33.98273	7.0545454	Null	231	63.48655	6.973913	Colonize	
240	165	33.98273	7.0545454	Null	241	65.011314	7.0583334	Colonize	
250	165	33.98273	7.0545454	Null	251	66.24474	7.128	Colonize	
260	165	33.98273	7.0545454	Null	261	67.862686	7.1769233	Colonize	
270	165	33.98273	7.0545454	Null	271	70.00287	7.2074075	Colonize	
280	165	33.98273	7.0545454	Null	281	71.83966	7.2357144	Colonize	
290	165	33.98273	7.0545454	Null	291	74.395	7.2137933	Colonize	
300	165	33.98273	7.0545454	Null	301	75.75026	7.2533336	Colonize	
310	165	33.98273	7.0545454	Null	311	77.22224	7.2645164	Colonize	
320	165	33.98273	7.0545454	Null	321	78.749504	7.29375	Colonize	
330	165	33.98273	7.0545454	Null	331	80.55157	7.2909093	Colonize	
340	165	33.98273	7.0545454	Null	341	81.922676	7.3352942	Colonize	
350	164	33.80428	7.0609756	Null	351	83.37815	7.3542857	Colonize	
360	164	33.80428	7.0609756	Null	361	85.80462	7.3333335	Colonize	
370	164	33.80428	7.0609756	Null	371	88.44122	7.3189187	Colonize	
380	164	33.80428	7.0609756	Null	381	89.43143	7.3736844	Colonize	
390	164	33.80428	7.0609756	Null	387	90.0877	7.3643413	Null	
400	164	33.80428	7.0609756	Null	387	90.0877	7.3643413	Null	
410	164	33.80428	7.0609756	Null	387	90.0877	7.3643413	Null	
420	164	33.80428	7.0609756	Null	387	90.0877	7.3643413	Null	
430	164	33.80428	7.0609756	Null	387	90.0877	7.3643413	Null	
