SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
NATION 1:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.0973878	4.0	Colonize	11	3.6133347	4.6	Colonize	
20	21	7.5692234	4.5	Colonize	21	6.8164577	5.5	Colonize	
30	31	11.900982	5.2	Colonize	31	9.089927	5.866667	Colonize	
40	41	13.7631645	5.9	Colonize	41	10.987462	6.3	Colonize	
50	51	15.83738	6.2	Colonize	51	13.820479	6.44	Colonize	
60	61	18.410051	6.233333	Colonize	61	15.7651005	6.6	Colonize	
70	71	20.55108	6.4	Colonize	71	17.856941	6.714286	Colonize	
80	81	22.248001	6.525	Colonize	81	20.379665	6.8	Colonize	
90	91	26.128345	6.4444447	Colonize	91	22.591667	6.866667	Colonize	
100	101	30.469934	6.48	Colonize	101	25.323507	6.88	Colonize	
110	111	34.673866	6.581818	Colonize	111	27.43184	6.8727274	Colonize	
120	121	38.894157	6.616667	Colonize	121	28.495665	6.9333334	Colonize	
130	131	41.5304	6.707692	Colonize	131	30.007484	6.9384613	Colonize	
140	141	43.79422	6.8142858	Colonize	141	32.217575	6.9857144	Colonize	
150	151	45.80819	6.84	Colonize	151	33.190693	7.04	Colonize	
160	161	47.96231	6.8875	Colonize	161	35.62047	7.0375	Colonize	
170	171	50.034805	6.9058824	Colonize	171	37.168957	7.070588	Colonize	
180	181	51.931496	6.9333334	Colonize	181	40.154404	7.111111	Colonize	
190	191	54.249035	6.905263	Colonize	191	41.4292	7.1684213	Colonize	
200	201	56.676476	6.97	Colonize	201	43.072308	7.19	Colonize	
210	211	57.97114	7.0571427	Colonize	211	45.276424	7.1904764	Colonize	
220	221	59.47643	7.1	Colonize	221	46.88994	7.181818	Colonize	
230	231	60.86209	7.1130433	Colonize	231	48.658012	7.1652174	Colonize	
240	241	62.581898	7.141667	Colonize	241	49.810944	7.1583333	Colonize	
250	251	64.525215	7.144	Colonize	251	50.697533	7.144	Colonize	
260	261	65.72818	7.230769	Colonize	255	50.885296	7.145098	Null	
270	271	69.02655	7.1555557	Colonize	255	50.885296	7.145098	Null	
280	281	70.44279	7.25	Colonize	255	50.885296	7.145098	Null	
290	291	71.92554	7.2827587	Colonize	255	50.885296	7.145098	Null	
300	298	72.61468	7.239057	Contest	252	48.681286	7.1225295	Reinforce	
310	308	73.564476	7.140065	Contest	242	45.298553	6.9547324	Reinforce	
320	318	74.47155	7.0347004	Contest	232	41.95854	6.806867	Reinforce	
330	328	74.97394	6.9847093	Contest	224	39.46952	6.6222224	Reinforce	
340	338	74.65228	6.949555	Contest	214	37.35823	6.5023255	Reinforce	
350	348	74.00046	6.9740634	Contest	213	36.778683	6.4788733	Reinforce	
360	358	73.609436	6.97479	Contest	208	34.597237	6.4114833	Reinforce	
370	368	75.56104	6.893733	Contest	198	30.212694	6.1306534	Reinforce	
380	378	76.11317	6.8594165	Contest	188	27.227661	5.904762	Reinforce	
390	388	77.12733	6.7751937	Contest	178	23.780586	5.575419	Reinforce	
400	398	78.41667	6.6952143	Contest	168	20.058332	5.3136096	Reinforce	
410	402	78.16559	6.699752	Abandon	159	18.163048	5.175	Abandon	
420	412	79.27179	6.812652	Colonize	149	16.674774	5.4	Abandon	
430	418	79.95302	6.916067	Colonize	139	15.039634	5.6	Abandon	
440	426	81.11603	7.0070586	Colonize	129	13.467643	5.8153844	Abandon	
450	432	82.41888	7.117783	Abandon	121	12.03397	6.0	Abandon	
460	432	82.41888	7.117783	Abandon	121	12.03397	6.0	Abandon	
470	432	82.41888	7.117783	Abandon	121	12.03397	6.0	Abandon	
480	432	82.41888	7.117783	Abandon	121	12.03397	6.0	Abandon	
490	432	82.41888	7.117783	Abandon	121	12.03397	6.0	Abandon	
