SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	2.5415254	4.6	Colonize	11	3.256687	4.4	Colonize	
20	21	4.235146	5.5	Colonize	21	5.3826056	5.5	Colonize	
30	31	7.505134	5.8	Colonize	31	7.806022	5.9333334	Colonize	
40	41	9.814422	6.1	Colonize	41	10.454867	6.2	Colonize	
50	51	11.141414	6.4	Colonize	51	13.427022	6.4	Colonize	
60	61	13.307009	6.5666666	Colonize	61	15.876228	6.5666666	Colonize	
70	71	16.008667	6.6571426	Colonize	71	18.037859	6.6857142	Colonize	
80	81	17.27369	6.775	Colonize	81	20.342968	6.75	Colonize	
90	91	18.575346	6.8444443	Colonize	91	23.283062	6.822222	Colonize	
100	101	20.874016	6.88	Colonize	101	25.032017	6.88	Colonize	
110	111	23.12935	6.927273	Colonize	111	27.281683	6.890909	Colonize	
120	121	26.31144	6.9666667	Colonize	121	28.57414	6.9166665	Colonize	
130	131	30.499704	6.9846153	Colonize	131	30.115656	6.923077	Colonize	
140	141	34.970936	6.9857144	Colonize	141	32.476295	6.957143	Colonize	
150	151	39.22493	6.9866667	Colonize	151	33.383724	6.9733334	Colonize	
160	161	42.066097	7.0375	Colonize	161	34.20689	7.0	Colonize	
170	171	44.163883	7.070588	Colonize	167	34.785423	6.982036	Null	
180	181	45.317223	7.1222224	Colonize	167	34.785423	6.982036	Null	
190	191	46.88258	7.1578946	Colonize	167	34.785423	6.982036	Null	
200	201	48.803757	7.19	Colonize	167	34.785423	6.982036	Null	
210	211	51.19453	7.2095237	Colonize	167	34.785423	6.982036	Null	
220	221	53.52228	7.2181816	Colonize	167	34.785423	6.982036	Null	
230	231	55.379047	7.2347827	Colonize	167	34.785423	6.982036	Null	
240	241	59.333405	7.233333	Colonize	167	34.785423	6.982036	Null	
250	251	63.228287	7.224	Colonize	167	34.785423	6.982036	Null	
260	261	65.097595	7.253846	Colonize	167	34.785423	6.982036	Null	
270	271	66.65951	7.2814813	Colonize	167	34.785423	6.982036	Null	
280	281	67.776825	7.3071427	Colonize	167	34.785423	6.982036	Null	
290	291	70.15885	7.324138	Colonize	167	34.785423	6.982036	Null	
300	301	72.94107	7.326667	Colonize	167	34.785423	6.982036	Null	
310	311	74.76883	7.3419356	Colonize	167	34.785423	6.982036	Null	
320	321	76.540085	7.35625	Colonize	167	34.785423	6.982036	Null	
330	331	78.07884	7.369697	Colonize	167	34.785423	6.982036	Null	
340	341	79.79543	7.3764706	Colonize	167	34.785423	6.982036	Null	
350	351	81.73614	7.3885713	Colonize	167	34.785423	6.982036	Null	
360	361	83.34677	7.3944445	Colonize	167	34.785423	6.982036	Null	
370	371	82.78502	7.3297296	Contest	159	34.001976	6.975	Null	
380	377	81.34688	7.3031917	Contest	153	32.702602	6.961039	Null	
390	381	80.00131	7.2913384	Contest	147	30.789616	6.911565	Contest	
400	383	78.97188	7.293194	Contest	145	28.315615	6.9041095	Null	
410	393	80.62933	7.25	Contest	133	24.224892	6.716418	Reinforce	
420	403	81.20421	7.223881	Contest	121	20.89867	6.504065	Abandon	
430	413	82.226524	7.1796117	Contest	109	17.120657	6.4727273	Reinforce	
440	423	82.63288	7.1469193	Contest	96	13.809407	6.2474227	Reinforce	
450	431	83.61205	7.2325583	Colonize	90	12.89183	6.224719	Colonize	
460	441	85.29423	7.2818184	Colonize	90	12.89183	6.224719	Colonize	
470	451	86.63576	7.288889	Colonize	90	12.89183	6.224719	Colonize	
480	461	89.9531	7.291304	Contest	89	12.419344	6.2222223	Reinforce	
490	469	90.77249	7.286325	Colonize	85	11.686099	6.139535	Abandon	
500	467	90.1503	7.3004293	Colonize	85	11.686099	6.139535	Abandon	
510	467	90.1503	7.3004293	Colonize	85	11.686099	6.139535	Abandon	
520	467	90.1503	7.3004293	Colonize	85	11.686099	6.139535	Abandon	
530	467	90.1503	7.3004293	Colonize	85	11.686099	6.139535	Abandon	
