SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.2	k_A_bar = 0.6
NATION 1:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	2.7425468	4.6	Colonize	11	3.1513605	4.6	Colonize	
20	21	5.0645113	5.5	Colonize	21	6.8356366	5.6	Colonize	
30	31	7.0138235	5.9333334	Colonize	31	9.089928	5.866667	Colonize	
40	41	8.667395	6.2	Colonize	41	10.987463	6.3	Colonize	
50	51	10.377027	6.4	Colonize	51	13.82048	6.44	Colonize	
60	61	12.30266	6.5333333	Colonize	61	15.765101	6.6	Colonize	
70	71	14.1810875	6.6857142	Colonize	71	17.856945	6.714286	Colonize	
80	81	15.846513	6.775	Colonize	81	20.37967	6.8	Colonize	
90	91	18.114302	6.8444443	Colonize	91	22.591671	6.866667	Colonize	
100	101	21.711145	6.9	Colonize	101	25.323511	6.88	Colonize	
110	111	24.586123	6.9454546	Colonize	111	27.431845	6.8727274	Colonize	
120	121	27.896338	6.983333	Colonize	121	28.495668	6.9333334	Colonize	
130	131	30.295717	7.0	Colonize	131	30.007488	6.9384613	Colonize	
140	141	31.917677	7.0571427	Colonize	141	32.21758	6.9857144	Colonize	
150	151	33.70242	7.1066666	Colonize	151	33.190697	7.04	Colonize	
160	161	35.496082	7.15	Colonize	161	35.620472	7.0375	Colonize	
170	171	37.170532	7.1647058	Colonize	171	37.16896	7.070588	Colonize	
180	181	39.741055	7.177778	Colonize	181	40.154408	7.111111	Colonize	
190	191	41.439632	7.2	Colonize	191	41.773197	7.1473684	Colonize	
200	201	43.383152	7.22	Colonize	201	43.62036	7.18	Colonize	
210	211	46.342693	7.247619	Colonize	211	44.917206	7.2285714	Colonize	
220	221	48.974243	7.2727275	Colonize	221	47.178276	7.2363634	Colonize	
230	231	51.571213	7.2869563	Contest	231	50.85595	7.2347827	Colonize	
240	241	54.708946	7.2916665	Contest	240	52.389538	7.246862	Colonize	
250	243	53.80249	7.292181	Contest	241	50.477818	7.253112	Contest	
260	244	52.266186	7.292181	Contest	241	48.381584	7.253112	Colonize	
270	254	54.676582	7.2964425	Contest	245	46.929737	7.2622952	Colonize	
280	264	55.482624	7.3155894	Contest	248	47.478355	7.25	Colonize	
290	274	55.576595	7.3333335	Contest	250	47.19831	7.232	Colonize	
300	284	56.209286	7.3427563	Contest	250	46.00855	7.176	Colonize	
310	294	57.115276	7.34471	Colonize	247	44.784443	7.121951	Colonize	
320	304	58.810658	7.3465347	Colonize	247	44.784443	7.121951	Colonize	
330	311	60.418224	7.3504825	Contest	246	44.63865	7.1093116	Abandon	
340	319	61.983765	7.3333335	Colonize	243	43.369175	7.0826445	Colonize	
350	319	61.983765	7.3333335	Colonize	243	43.369175	7.0826445	Colonize	
360	319	61.983765	7.3333335	Colonize	243	43.369175	7.0826445	Colonize	
370	319	61.983765	7.3333335	Colonize	243	43.369175	7.0826445	Colonize	
380	319	61.983765	7.3333335	Colonize	243	43.369175	7.0826445	Colonize	
