SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.2	k_R = 0.6	k_A_bar = 0.2
NATION 1:	k_S = 0.6	k_R = 0.2	k_A_bar = 0.2
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.4272304	4.2	Colonize	11	3.4192095	4.4	Colonize	
20	21	5.765026	5.4	Colonize	21	7.737341	5.4	Colonize	
30	31	9.281877	5.6	Colonize	31	11.248711	5.9333334	Colonize	
40	41	12.276379	5.95	Colonize	41	12.869318	6.25	Colonize	
50	51	14.447592	6.32	Colonize	51	15.256778	6.4	Colonize	
60	61	16.418583	6.5	Colonize	61	17.004944	6.5666666	Colonize	
70	71	18.620296	6.6	Colonize	71	18.614256	6.6571426	Colonize	
80	81	20.928757	6.725	Colonize	81	20.581335	6.725	Colonize	
90	91	23.932995	6.7555556	Colonize	91	22.481878	6.8	Colonize	
100	101	25.775692	6.84	Colonize	101	24.06962	6.86	Colonize	
110	111	27.552513	6.8545456	Colonize	111	27.562086	6.8545456	Colonize	
120	121	28.549307	6.9333334	Colonize	121	31.648487	6.866667	Colonize	
130	131	30.922718	6.876923	Colonize	131	36.405613	6.876923	Colonize	
140	141	32.53071	6.9714284	Colonize	141	40.047626	6.9142857	Colonize	
150	151	34.693523	6.9066668	Colonize	151	43.128143	6.9466667	Colonize	
160	161	37.434784	6.8875	Colonize	161	44.769985	7.0125	Colonize	
170	171	38.38491	6.964706	Colonize	171	46.541203	7.0588236	Colonize	
180	181	39.379986	7.0444446	Colonize	181	48.215145	7.1	Colonize	
190	191	40.951584	7.063158	Colonize	191	49.872234	7.1473684	Colonize	
200	201	42.967377	7.1	Colonize	201	51.616093	7.19	Colonize	
210	211	44.782436	7.2095237	Colonize	211	53.953754	7.2	Colonize	
220	221	47.024128	7.2	Colonize	221	56.864986	7.2181816	Colonize	
230	231	48.699966	7.208696	Colonize	231	58.631805	7.252174	Colonize	
240	241	49.904675	7.2166667	Colonize	241	60.07887	7.275	Colonize	
250	251	50.627045	7.208	Colonize	251	62.007977	7.28	Colonize	
260	256	51.023468	7.1875	Null	261	63.948685	7.3	Colonize	
270	256	51.023468	7.1875	Null	271	65.55931	7.311111	Colonize	
280	256	51.023468	7.1875	Null	281	67.25912	7.3142858	Colonize	
290	256	51.023468	7.1875	Null	291	70.24242	7.3103447	Colonize	
300	252	50.65692	7.209486	Null	301	70.48567	7.306667	Contest	
310	246	49.230453	7.2064776	Null	311	71.659454	7.322581	Contest	
320	236	47.766964	7.21519	Null	321	71.176605	7.29375	Contest	
330	227	46.00561	7.1929827	Null	331	71.289665	7.2909093	Contest	
340	219	43.322765	7.163636	Null	339	71.63691	7.272189	Contest	
350	209	40.226612	7.095238	Reinforce	349	72.73807	7.2586207	Contest	
360	197	36.83663	7.070707	Reinforce	359	73.53876	7.2234635	Contest	
370	183	33.803562	7.0	Reinforce	369	73.7557	7.1630435	Contest	
380	174	31.59241	6.8735633	Reinforce	378	73.533905	7.116402	Contest	
390	170	31.04558	6.9122806	Abandon	385	74.537605	7.203125	Colonize	
400	170	31.04558	6.9122806	Abandon	391	75.35786	7.244898	Abandon	
410	170	31.04558	6.9122806	Abandon	391	75.35786	7.244898	Abandon	
420	170	31.04558	6.9122806	Abandon	391	75.35786	7.244898	Abandon	
430	170	31.04558	6.9122806	Abandon	391	75.35786	7.244898	Abandon	
440	170	31.04558	6.9122806	Abandon	391	75.35786	7.244898	Abandon	
