SIMULATION PARAMETERS:
n = 18
m = 32
p = 2
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	
10	11	3.3290904	4.6	Colonize	11	4.7584305	4.6	Colonize	
20	21	6.2085495	5.5	Colonize	21	8.95511	5.5	Colonize	
30	31	8.404554	6.0	Colonize	31	11.461104	6.0	Colonize	
40	41	10.38346	6.25	Colonize	41	13.682262	6.15	Colonize	
50	51	12.722563	6.48	Colonize	51	15.124753	6.36	Colonize	
60	61	15.358241	6.5666666	Colonize	61	17.266026	6.4666667	Colonize	
70	71	17.29405	6.714286	Colonize	71	18.749552	6.6285715	Colonize	
80	81	19.39021	6.8	Colonize	81	20.58915	6.725	Colonize	
90	91	21.74095	6.8444443	Colonize	91	22.441633	6.7777777	Colonize	
100	101	23.825047	6.92	Colonize	101	24.015543	6.84	Colonize	
110	111	26.511774	6.927273	Colonize	111	26.914625	6.8545456	Colonize	
120	121	28.355251	6.9333334	Colonize	121	30.577887	6.866667	Colonize	
130	131	29.390694	6.9846153	Colonize	131	35.1444	6.876923	Colonize	
140	141	31.457914	7.0	Colonize	141	38.84075	6.9142857	Colonize	
150	151	33.87081	7.0	Colonize	151	42.505108	6.9333334	Colonize	
160	161	35.127476	7.0625	Colonize	161	44.729794	6.9875	Colonize	
170	171	36.258408	7.105882	Colonize	171	46.332954	7.035294	Colonize	
180	181	38.281483	7.1222224	Colonize	181	48.17206	7.077778	Colonize	
190	191	39.633514	7.1789474	Colonize	191	49.3973	7.1368423	Colonize	
200	201	42.416668	7.21	Colonize	201	51.331287	7.17	Colonize	
210	211	44.189888	7.2380953	Colonize	211	53.31928	7.2	Colonize	
220	221	46.17163	7.2454543	Colonize	221	55.449997	7.2181816	Colonize	
230	231	48.188717	7.2347827	Colonize	231	58.36123	7.2347827	Colonize	
240	241	49.874115	7.225	Colonize	241	59.970505	7.266667	Colonize	
250	251	50.696888	7.216	Colonize	251	62.017452	7.272	Colonize	
260	257	51.13594	7.206226	Null	261	63.980186	7.292308	Colonize	
270	257	51.13594	7.206226	Null	271	65.547424	7.303704	Colonize	
280	257	51.13594	7.206226	Null	281	67.13277	7.3071427	Colonize	
290	257	51.13594	7.206226	Null	291	70.21657	7.3103447	Colonize	
300	254	49.5792	7.192157	Null	298	70.4239	7.292929	Contest	
310	246	48.56318	7.211382	Null	308	70.75593	7.302932	Contest	
320	239	47.463493	7.1833334	Null	318	70.94941	7.324921	Contest	
330	229	44.710083	7.0608697	Null	328	71.756485	7.284404	Contest	
340	218	41.163837	6.977169	Reinforce	338	72.93495	7.25816	Contest	
350	205	37.48548	6.9661837	Abandon	348	73.59445	7.239193	Contest	
360	200	36.209354	6.92	Reinforce	358	74.64933	7.2661066	Colonize	
370	186	32.831764	6.86631	Reinforce	368	75.024025	7.19891	Contest	
380	176	29.951828	6.677966	Reinforce	378	75.47102	7.145889	Contest	
390	162	26.20581	6.5365853	Abandon	388	76.14547	7.0801034	Contest	
400	153	23.25957	6.428571	Abandon	397	77.22906	7.0757575	Colonize	
410	148	22.763628	6.557823	Colonize	406	78.366554	7.111111	Colonize	
420	148	22.763628	6.557823	Colonize	412	78.70678	7.142857	Abandon	
430	148	22.763628	6.557823	Colonize	410	78.35265	7.1532845	Abandon	
440	148	22.763628	6.557823	Colonize	410	78.35265	7.1532845	Abandon	
450	148	22.763628	6.557823	Colonize	410	78.35265	7.1532845	Abandon	
460	148	22.763628	6.557823	Colonize	410	78.35265	7.1532845	Abandon	
