SIMULATION PARAMETERS:
n = 18
m = 32
p = 5
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.0	k_R = 0.0	k_A_bar = 1.0
NATION 1:	k_S = 0.3981719	k_R = 0.48939216	k_A_bar = 0.112435974
NATION 2:	k_S = 0.42165953	k_R = 0.31495574	k_A_bar = 0.26338476
NATION 3:	k_S = 0.052224103	k_R = 0.3033036	k_A_bar = 0.64447224
NATION 4:	k_S = 0.4540383	k_R = 0.23920421	k_A_bar = 0.3067575
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	
10	11	4.1030183	4.6	Colonize	11	2.8761237	4.2	Colonize	11	5.5906334	4.6	Colonize	11	2.6037397	4.6	Colonize	11	3.1728249	4.6	Colonize	
20	21	7.969923	5.5	Colonize	21	5.219433	5.4	Colonize	21	9.133486	5.5	Colonize	21	4.6700206	5.6	Colonize	21	5.7099266	5.4	Colonize	
30	31	11.167174	5.866667	Colonize	31	7.7721725	5.733333	Colonize	31	11.738791	5.9333334	Colonize	31	7.0138235	5.9333334	Colonize	31	8.283833	5.9333334	Colonize	
40	38	12.777	6.1538463	Abandon	41	10.8565	5.85	Colonize	41	13.682262	6.15	Colonize	41	8.667395	6.2	Colonize	41	11.110097	6.2	Colonize	
50	36	11.835957	6.1666665	Reinforce	51	12.786704	6.24	Colonize	51	15.124753	6.36	Colonize	51	10.565524	6.4	Colonize	51	14.147858	6.4	Colonize	
60	37	11.795006	6.1666665	Colonize	61	14.672791	6.4333334	Colonize	61	17.071388	6.4666667	Colonize	61	12.384946	6.5	Colonize	61	16.147879	6.5666666	Colonize	
70	41	13.716152	6.243902	Reinforce	71	16.320581	6.542857	Colonize	71	18.808844	6.6	Colonize	71	13.788628	6.6	Colonize	71	18.317265	6.714286	Colonize	
80	42	13.709947	6.243902	Colonize	81	17.47178	6.675	Colonize	81	20.595186	6.65	Contest	81	15.25414	6.725	Colonize	81	20.618723	6.75	Colonize	
90	46	15.734722	6.3555555	Colonize	91	19.75976	6.6666665	Colonize	91	22.052994	6.688889	Contest	91	18.264065	6.7777777	Colonize	91	23.478836	6.8	Colonize	
100	49	16.207014	6.4166665	Contest	101	21.012615	6.74	Colonize	101	23.552044	6.7	Colonize	101	20.801374	6.84	Colonize	101	25.323511	6.9	Colonize	
110	49	15.233828	6.4166665	Contest	111	22.301924	6.8	Colonize	111	23.815193	6.7454543	Contest	104	20.744555	6.8846154	Null	111	26.475693	6.909091	Colonize	
120	52	14.416026	6.4313726	Contest	114	22.027111	6.7017546	Colonize	121	24.000017	6.8166666	Contest	104	20.744555	6.8846154	Null	120	26.827742	6.95	Colonize	
130	52	13.053565	6.4615383	Contest	115	21.605162	6.730435	Reinforce	123	23.47286	6.8292685	Reinforce	104	20.744555	6.8846154	Null	128	26.009027	6.929134	Contest	
140	52	11.107192	6.4615383	Contest	115	21.410528	6.7192984	Colonize	123	21.818445	6.8292685	Contest	105	21.00008	6.8761907	Null	131	25.155546	6.961832	Reinforce	
150	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	19.872072	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
160	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	17.9257	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
170	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	15.979326	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
180	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	14.032953	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
190	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	12.08658	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
200	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	10.140207	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
210	52	9.939368	6.4528303	Abandon	115	21.410528	6.7192984	Colonize	123	8.193834	6.8292685	Contest	105	21.00008	6.8761907	Null	130	24.169722	6.961832	Abandon	
