SIMULATION PARAMETERS:
n = 18
m = 32
p = 5
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.0	k_R = 0.0	k_A_bar = 1.0
NATION 1:	k_S = 0.19095103	k_R = 0.098372035	k_A_bar = 0.7106769
NATION 2:	k_S = 0.47189924	k_R = 0.49431336	k_A_bar = 0.033787422
NATION 3:	k_S = 0.34092152	k_R = 0.37423703	k_A_bar = 0.28484142
NATION 4:	k_S = 0.46003303	k_R = 0.42184255	k_A_bar = 0.1181245
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	
10	11	1.9255728	4.6	Colonize	11	2.1173944	4.6	Colonize	11	3.8275337	3.8	Colonize	11	2.908878	4.6	Colonize	11	3.2959282	4.4	Colonize	
20	21	4.4475884	5.5	Colonize	21	4.3883443	5.5	Colonize	21	6.3021326	5.2	Colonize	21	5.0562544	5.6	Colonize	21	5.8415303	5.5	Colonize	
30	31	7.035208	5.9333334	Colonize	31	7.2001877	5.8	Colonize	31	9.169541	5.2	Colonize	31	7.9821973	5.9333334	Colonize	31	9.196261	5.8	Colonize	
40	39	8.621561	6.25	Abandon	41	9.002707	6.15	Colonize	41	11.530051	5.55	Colonize	41	12.499738	6.05	Colonize	41	12.065293	6.15	Colonize	
50	38	8.071991	6.263158	Reinforce	51	10.929073	6.32	Colonize	51	13.183664	6.16	Colonize	51	17.015306	6.24	Colonize	51	14.339158	6.32	Colonize	
60	38	7.6827164	6.25641	Abandon	61	12.542631	6.5	Colonize	61	15.447622	5.866667	Colonize	61	21.423237	6.366667	Colonize	61	16.261303	6.5333333	Colonize	
70	38	7.6827164	6.25641	Abandon	55	10.078452	6.357143	Abandon	71	17.308533	5.9714284	Colonize	71	23.742283	6.542857	Colonize	71	17.349867	6.5142856	Colonize	
80	38	7.6827164	6.25641	Abandon	47	7.726633	6.12766	Contest	81	18.50601	6.2	Colonize	81	25.786804	6.725	Colonize	81	18.107117	6.6	Colonize	
90	38	6.919183	6.25641	Abandon	41	4.466584	5.714286	Reinforce	91	21.447786	6.0	Contest	91	27.483213	6.822222	Colonize	91	19.214676	6.5111113	Contest	
100	38	4.97281	6.263158	Contest	33	1.6114049	6.0	Contest	101	24.181927	5.9	Colonize	101	29.611372	6.9	Colonize	101	20.528921	6.72	Colonize	
110	38	3.0264368	6.263158	Contest	21	-0.33249766	5.478261	Abandon	111	25.043081	6.0363636	Contest	111	31.560564	6.9636364	Colonize	110	21.406805	6.8727274	Contest	
120	38	1.0800644	6.263158	Contest	13	0.09591753	5.0	Colonize	121	25.798925	6.016667	Colonize	121	34.41492	6.983333	Colonize	120	22.520023	6.890756	Colonize	
130	39	0.25734544	6.263158	Colonize	11	-0.06479109	4.7272725	Colonize	131	26.52142	6.276923	Contest	131	36.321342	7.0307693	Colonize	130	23.229456	6.8992248	Colonize	
140	39	0.25734544	6.263158	Colonize	6	-0.09020846	4.0	Abandon	140	27.43858	6.1438847	Contest	141	38.275703	7.042857	Colonize	127	20.631247	6.734375	Reinforce	
150	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	149	28.10116	6.3378377	Colonize	151	40.14589	7.0666666	Colonize	129	20.876814	6.7384615	Abandon	
160	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	152	26.903423	6.4605265	Colonize	161	41.446606	7.075	Contest	129	20.876814	6.734375	Colonize	
170	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	150	23.926935	6.5466666	Reinforce	171	43.762688	6.952941	Colonize	125	20.503052	6.7619047	Abandon	
180	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	150	22.126541	6.5466666	Contest	181	44.841637	6.9888887	Colonize	126	18.995773	6.7619047	Contest	
190	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	150	20.180168	6.5466666	Contest	191	46.785484	7.010526	Colonize	126	17.0494	6.7619047	Contest	
200	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	150	18.233795	6.5466666	Contest	201	49.849117	7.03	Colonize	126	15.103027	6.7619047	Contest	
210	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	150	16.287422	6.5466666	Contest	211	51.272697	7.0666666	Colonize	126	13.156654	6.7619047	Contest	
220	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	150	16.287422	6.510067	Colonize	221	52.385685	7.072727	Contest	126	11.210281	6.7619047	Contest	
230	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	142	12.769235	6.2797203	Reinforce	231	53.86672	6.9652176	Contest	126	9.263908	6.7619047	Contest	
240	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	132	9.440271	5.9548874	Reinforce	241	54.76272	6.866667	Contest	126	7.3175354	6.7619047	Contest	
250	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	122	6.1545	5.593496	Reinforce	251	55.61553	6.816	Contest	125	5.553161	6.7619047	Abandon	
260	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	116	4.5870185	5.4529915	Reinforce	261	55.437473	6.746154	Contest	125	5.553161	6.7619047	Abandon	
270	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	106	1.7388722	4.915888	Reinforce	271	55.85265	6.6666665	Contest	125	5.553161	6.7619047	Abandon	
280	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	99	0.5621086	4.6	Abandon	281	55.12627	6.6285715	Contest	125	5.553161	6.7619047	Abandon	
290	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	101	0.76187724	4.56	Colonize	275	53.035652	6.7173915	Abandon	125	5.553161	6.7619047	Abandon	
300	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	101	0.89802337	4.56	Colonize	265	50.64225	6.81203	Abandon	125	5.553161	6.7619047	Abandon	
310	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	109	2.649297	4.9636364	Abandon	255	47.761967	6.8671875	Abandon	125	5.553161	6.7619047	Abandon	
320	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	113	3.876168	5.035714	Colonize	245	44.39285	6.9430895	Abandon	125	5.553161	6.7619047	Abandon	
330	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	115	4.5728393	5.140351	Colonize	235	41.52268	7.0084743	Abandon	125	5.553161	6.7619047	Abandon	
340	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	125	6.6380005	5.612903	Colonize	229	40.87094	7.0350876	Colonize	125	5.553161	6.7619047	Abandon	
350	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	125	6.6380005	5.698413	Abandon	227	40.639194	7.026549	Colonize	125	5.553161	6.7619047	Abandon	
360	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	125	6.6380005	5.698413	Abandon	227	40.639194	7.026549	Colonize	125	5.553161	6.7619047	Abandon	
370	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	125	6.6380005	5.698413	Abandon	227	40.639194	7.026549	Colonize	125	5.553161	6.7619047	Abandon	
380	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	125	6.6380005	5.698413	Abandon	227	40.639194	7.026549	Colonize	125	5.553161	6.7619047	Abandon	
390	39	0.25734544	6.263158	Colonize	1	0.0	0.0	Null	125	6.6380005	5.698413	Abandon	227	40.639194	7.026549	Colonize	125	5.553161	6.7619047	Abandon	
