SIMULATION PARAMETERS:
n = 180
m = 320
k = 1
p = 5
recruit_likeliness = 1.0E-4
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.13176157

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
136	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
137	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
138	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
139	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
140	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
141	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
142	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
143	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
144	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
145	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
146	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
147	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
148	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
149	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
150	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
151	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
152	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
153	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
154	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
155	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
156	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
157	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
158	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
159	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
160	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
161	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
162	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
163	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
164	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
165	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
166	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
167	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
168	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
169	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
