SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
239	201	45.017693	7.105	Contest	191	37.84831	6.9157896	Colonize	160	42.989597	7.0434785	Contest	
240	202	45.127205	7.1094527	Contest	191	37.94676	6.9109945	Colonize	160	43.189106	7.05	Contest	
241	203	45.278847	7.1138616	Contest	192	38.31081	6.9005237	Colonize	159	43.037464	7.0375	Contest	
242	203	45.278847	7.1182265	Contest	192	38.511047	6.90625	Colonize	160	43.103745	7.0314465	Contest	
243	204	45.366802	7.1182265	Contest	192	38.602993	6.90625	Colonize	160	43.24983	7.0375	Contest	
244	205	45.504	7.122549	Contest	192	38.68034	6.90625	Colonize	160	43.330215	7.0375	Contest	
245	205	45.504	7.126829	Contest	193	38.905453	6.90625	Colonize	160	43.330215	7.0375	Contest	
246	206	45.78046	7.126829	Contest	193	38.9893	6.911917	Colonize	160	43.296917	7.0375	Contest	
247	206	45.78046	7.1310678	Contest	193	39.393158	6.9015546	Colonize	161	43.33586	7.025	Contest	
248	207	46.077797	7.1310678	Contest	193	39.7339	6.911917	Colonize	161	43.131046	7.031056	Contest	
249	208	46.30346	7.135266	Contest	194	40.129517	6.911917	Colonize	160	42.905384	7.0248446	Contest	
250	208	46.30346	7.139423	Contest	195	40.409336	6.917526	Colonize	160	42.905384	7.0125	Contest	
251	209	46.562714	7.139423	Contest	196	40.64598	6.923077	Colonize	159	42.64613	7.0125	Contest	
252	210	46.69894	7.143541	Contest	196	40.770523	6.928571	Colonize	159	42.590836	7.0	Contest	
253	211	46.823734	7.1476192	Contest	196	40.93383	6.928571	Colonize	159	42.517612	7.0	Contest	
254	211	46.823734	7.1516585	Contest	196	41.032253	6.928571	Colonize	160	42.658474	7.0	Contest	
255	212	46.872982	7.1516585	Contest	196	41.018734	6.9183674	Colonize	160	42.729694	7.00625	Contest	
256	213	47.134666	7.15566	Contest	196	41.237587	6.908163	Colonize	160	42.539326	7.00625	Contest	
257	213	47.134666	7.1596246	Contest	196	41.243504	6.897959	Colonize	161	42.77816	7.00625	Contest	
258	213	47.134666	7.1596246	Contest	196	41.10466	6.897959	Colonize	162	43.10783	7.0124226	Contest	
259	214	47.19634	7.1596246	Contest	196	41.12588	6.897959	Colonize	162	43.196133	7.0185184	Contest	
260	214	47.19634	7.1635513	Contest	197	41.242664	6.897959	Colonize	162	43.196133	7.0185184	Contest	
261	215	47.36147	7.1635513	Contest	197	41.2767	6.9035535	Colonize	162	43.095448	7.0185184	Contest	
262	215	47.36147	7.167442	Contest	198	41.357445	6.893401	Colonize	162	43.095448	7.0185184	Contest	
263	215	47.36147	7.167442	Contest	198	41.282486	6.8989897	Colonize	163	43.235977	7.0185184	Contest	
264	216	47.430386	7.167442	Contest	199	41.322895	6.8989897	Colonize	162	43.16706	7.02454	Contest	
265	217	47.601227	7.171296	Contest	199	40.950447	6.8944726	Contest	162	43.396538	7.0185184	Contest	
266	217	47.601227	7.175115	Contest	199	40.525497	6.8944726	Contest	163	43.834126	7.0185184	Contest	
267	216	47.430386	7.175115	Contest	199	40.525497	6.874372	Contest	164	44.004967	7.01227	Contest	
268	216	47.436096	7.171296	Contest	199	40.525497	6.874372	Contest	164	43.999256	7.018293	Contest	
269	216	47.436096	7.162037	Contest	199	40.525497	6.874372	Contest	164	43.999256	7.006098	Contest	
270	217	47.601227	7.162037	Contest	200	40.963085	6.874372	Contest	162	43.396538	7.006098	Contest	
271	217	47.601227	7.175115	Contest	200	40.963085	6.89	Contest	162	43.396538	7.0185184	Contest	
272	218	47.7411	7.175115	Contest	200	40.963085	6.89	Contest	161	43.256664	7.0185184	Contest	
273	218	47.7411	7.1788993	Contest	200	40.963085	6.89	Contest	161	43.256664	7.0124226	Contest	
274	219	48.04009	7.1788993	Contest	201	41.363403	6.89	Contest	159	42.557358	7.0124226	Contest	
275	220	48.189053	7.173516	Contest	201	41.206245	6.8955226	Contest	158	42.56555	7.0251575	Contest	
276	221	48.425972	7.177273	Contest	200	40.963085	6.8955226	Contest	158	42.571793	7.018987	Contest	
277	221	48.425972	7.1809955	Contest	198	40.51286	6.89	Abandon	159	43.00938	7.018987	Contest	
278	222	48.658882	7.1809955	Contest	199	40.525497	6.878788	Contest	158	42.77647	7.0125785	Contest	
279	223	48.67262	7.175676	Contest	200	40.963085	6.874372	Contest	156	42.325146	7.031646	Contest	
280	224	48.885834	7.1793723	Contest	199	40.525497	6.89	Contest	156	42.54952	7.032051	Contest	
281	224	48.885834	7.183036	Contest	200	40.963085	6.874372	Contest	155	42.11193	7.019231	Contest	
282	225	49.18742	7.183036	Contest	201	41.363403	6.89	Contest	153	41.410027	7.0258064	Contest	
283	225	49.18742	7.1866665	Contest	202	41.606564	6.8955226	Contest	152	41.166866	7.013072	Contest	
284	226	49.43919	7.1866665	Contest	202	41.423832	6.910891	Contest	151	41.097828	7.019737	Contest	
285	227	50.43919	7.1902657	Contest	202	41.606564	6.90099	Contest	150	39.915096	6.9933777	Contest	
286	227	50.43919	7.1938324	Contest	202	41.606564	6.910891	Contest	150	39.915096	7.0	Contest	
287	227	50.43919	7.1938324	Contest	203	41.82415	6.910891	Contest	149	39.69751	7.0	Contest	
288	228	50.553577	7.1938324	Contest	203	41.82415	6.916256	Contest	148	39.583122	6.9932885	Contest	
289	228	50.553577	7.1973686	Contest	203	41.82415	6.916256	Contest	148	39.583122	6.9797297	Contest	
290	229	50.719437	7.1973686	Contest	204	42.13317	6.916256	Contest	146	39.108242	6.9797297	Contest	
291	229	50.719437	7.2008734	Contest	203	41.82415	6.9215684	Contest	147	39.417263	6.9657536	Contest	
292	229	50.719437	7.2008734	Contest	202	41.423832	6.916256	Contest	148	39.81758	6.9727893	Contest	
293	229	50.719437	7.2008734	Contest	202	41.606564	6.90099	Contest	148	39.63485	6.966216	Contest	
294	230	51.015568	7.2008734	Contest	202	41.606564	6.910891	Contest	147	39.33872	6.9797297	Contest	
295	230	51.015568	7.2043476	Contest	201	41.206245	6.910891	Contest	148	39.739037	6.9727893	Contest	
296	230	51.015568	7.2043476	Contest	201	41.363403	6.8955226	Contest	148	39.58188	6.966216	Contest	
297	230	51.015568	7.2043476	Contest	201	41.363403	6.8955226	Contest	148	39.58188	6.966216	Contest	
298	230	51.015568	7.2043476	Contest	202	41.606564	6.8955226	Contest	147	39.33872	6.966216	Contest	
299	230	51.015568	7.2043476	Contest	202	41.606564	6.910891	Contest	147	39.33872	6.9727893	Contest	
300	230	51.015568	7.2043476	Contest	202	41.423832	6.910891	Contest	147	39.52145	6.9727893	Contest	
301	231	51.45683	7.2043476	Contest	201	41.206245	6.90099	Contest	147	39.297775	6.9591837	Contest	
302	232	52.01979	7.2077923	Contest	200	40.963085	6.8955226	Contest	147	38.977974	6.9591837	Contest	
303	233	52.50268	7.211207	Contest	200	40.925816	6.89	Contest	146	38.532352	6.9591837	Contest	
304	233	52.50268	7.2145925	Contest	199	40.525497	6.87	Contest	147	38.93267	6.9246573	Contest	
305	232	52.01979	7.2145925	Contest	199	40.525497	6.874372	Contest	148	39.41556	6.945578	Contest	
306	233	52.50268	7.211207	Contest	199	40.525497	6.874372	Contest	147	38.93267	6.9527025	Contest	
307	233	52.50268	7.2145925	Contest	200	40.963085	6.874372	Contest	146	38.495083	6.945578	Contest	
308	234	53.063293	7.2145925	Contest	200	40.925816	6.89	Contest	145	37.97174	6.952055	Contest	
309	235	53.403076	7.217949	Contest	200	40.963085	6.87	Contest	144	37.59469	6.9172416	Contest	
310	236	53.574947	7.212766	Contest	200	40.963085	6.89	Contest	143	37.422817	6.9652777	Contest	
311	237	53.666294	7.2076273	Contest	199	40.83447	6.89	Contest	143	37.460087	6.972028	Contest	
312	238	53.720978	7.2109704	Contest	197	40.324783	6.874372	Abandon	144	37.860405	6.944056	Contest	
313	239	53.91386	7.2058825	Contest	197	40.427376	6.893401	Contest	143	37.56493	6.9652777	Contest	
314	240	54.01442	7.209205	Contest	197	40.324783	6.883249	Contest	142	37.566963	6.944056	Contest	
315	240	54.01442	7.2125	Contest	198	40.76237	6.893401	Contest	141	37.129375	6.950704	Contest	
316	241	54.08321	7.2125	Contest	199	41.16269	6.909091	Contest	139	36.660267	6.9574466	Contest	
317	241	54.08321	7.215768	Contest	198	40.76237	6.9145727	Contest	140	37.060585	6.942446	Contest	
318	241	54.08321	7.215768	Contest	199	41.16269	6.909091	Contest	139	36.660267	6.95	Contest	
319	242	54.235355	7.215768	Contest	200	41.40585	6.9145727	Contest	137	36.26496	6.942446	Contest	
320	243	54.525383	7.2190084	Contest	199	41.00553	6.93	Contest	137	36.37525	6.941606	Contest	
321	243	54.525383	7.2222223	Contest	199	41.16269	6.9145727	Contest	137	36.218094	6.927007	Contest	
322	243	54.525383	7.2222223	Contest	199	41.00553	6.9145727	Contest	137	36.37525	6.927007	Contest	
323	244	54.876144	7.2222223	Contest	199	41.16269	6.9145727	Contest	136	35.867332	6.927007	Contest	
324	245	55.192703	7.22541	Contest	199	41.00553	6.9145727	Contest	135	35.70793	6.9117646	Contest	
325	246	55.398388	7.2285714	Contest	200	41.40585	6.9145727	Contest	133	35.10193	6.8962965	Contest	
326	246	55.398388	7.231707	Contest	200	41.223118	6.93	Contest	133	35.28466	6.887218	Contest	
327	247	55.622044	7.231707	Contest	200	41.223118	6.92	Contest	132	35.061005	6.8721805	Contest	
328	248	56.086834	7.234818	Contest	200	41.40585	6.92	Contest	131	34.413483	6.8636365	Contest	
329	248	56.086834	7.237903	Contest	200	41.40585	6.93	Contest	131	34.413483	6.8702292	Contest	
330	249	56.498833	7.237903	Contest	199	41.00553	6.93	Contest	131	34.401802	6.8702292	Contest	
331	250	56.885803	7.240964	Contest	198	40.76237	6.9145727	Contest	131	34.25799	6.854962	Contest	
332	251	57.301445	7.244	Contest	198	40.7251	6.909091	Contest	130	33.87962	6.854962	Contest	
333	252	57.746506	7.247012	Contest	199	41.16269	6.888889	Contest	128	32.99697	6.8153844	Contest	
334	252	57.746506	7.25	Contest	200	41.40585	6.9145727	Contest	127	32.75381	6.828125	Contest	
335	253	58.14349	7.25	Contest	200	41.40585	6.93	Contest	126	32.356827	6.8346457	Contest	
336	253	58.14349	7.2450595	Contest	200	41.223118	6.93	Contest	126	32.53956	6.857143	Contest	
337	253	58.14349	7.2450595	Contest	200	41.223118	6.92	Contest	126	32.53956	6.84127	Contest	
338	254	58.45179	7.2450595	Contest	199	41.00553	6.92	Contest	126	32.448845	6.84127	Contest	
339	254	58.45179	7.2401576	Contest	200	41.40585	6.9145727	Contest	125	32.048527	6.857143	Contest	
340	255	58.59983	7.2401576	Contest	198	40.85749	6.93	Contest	126	32.448845	6.864	Contest	
341	255	58.59983	7.2431374	Contest	196	40.490948	6.919192	Abandon	127	32.692005	6.857143	Contest	
342	256	58.723213	7.2431374	Contest	197	40.891266	6.928571	Contest	126	32.291687	6.866142	Contest	
343	257	59.10047	7.2382812	Contest	197	40.891266	6.93401	Contest	125	31.914429	6.857143	Contest	
344	257	59.10047	7.2412453	Contest	198	41.134426	6.93401	Contest	124	31.671267	6.848	Contest	
345	258	59.27358	7.2412453	Contest	198	41.134426	6.949495	Contest	123	31.498158	6.854839	Contest	
346	259	59.34117	7.244186	Contest	197	40.734108	6.949495	Contest	123	31.83088	6.8455286	Contest	
347	260	59.426605	7.247104	Contest	196	40.490948	6.93401	Contest	123	31.988607	6.8292685	Contest	
348	261	59.50955	7.25	Contest	196	40.490948	6.928571	Contest	122	31.905664	6.8292685	Contest	
349	262	59.669464	7.2528734	Contest	196	40.490948	6.928571	Contest	121	31.74575	6.819672	Contest	
350	262	59.669464	7.2557254	Contest	195	40.05336	6.928571	Contest	122	32.18334	6.8099174	Contest	
351	263	59.89273	7.2557254	Contest	195	40.155952	6.9128203	Contest	121	31.85748	6.803279	Contest	
352	263	59.89273	7.258555	Contest	196	40.490948	6.902564	Contest	120	31.522484	6.7768593	Contest	
353	263	59.89273	7.258555	Contest	197	40.891266	6.928571	Contest	119	31.122168	6.8	Contest	
354	263	59.89273	7.258555	Contest	197	40.734108	6.93401	Contest	119	31.279322	6.789916	Contest	
355	264	60.16454	7.258555	Contest	197	40.734108	6.93401	Contest	118	31.007515	6.789916	Contest	
356	264	60.16454	7.2613635	Contest	196	40.490948	6.93401	Contest	119	31.250677	6.779661	Contest	
357	265	60.466423	7.2613635	Contest	197	40.891266	6.928571	Contest	117	30.548477	6.789916	Contest	
358	265	60.466423	7.264151	Contest	197	40.734108	6.93401	Contest	117	30.705631	6.769231	Contest	
359	266	60.79325	7.264151	Contest	197	40.734108	6.93401	Contest	116	30.378803	6.769231	Contest	
360	267	61.085564	7.266917	Contest	196	40.490948	6.93401	Contest	116	30.329653	6.7586207	Contest	
361	267	61.085564	7.269663	Contest	195	40.05336	6.928571	Contest	117	30.76724	6.7586207	Contest	
362	267	61.085564	7.269663	Contest	196	40.490948	6.9128203	Contest	116	30.329653	6.7521367	Contest	
363	268	61.53205	7.269663	Contest	196	40.45368	6.928571	Contest	115	29.920435	6.7586207	Contest	
364	269	61.999325	7.272388	Contest	195	40.05336	6.908163	Contest	115	29.853476	6.7130437	Contest	
365	269	61.999325	7.275093	Contest	195	40.155952	6.9128203	Contest	115	29.750883	6.730435	Contest	
366	270	62.414837	7.275093	Contest	195	40.155952	6.902564	Contest	114	29.335373	6.7130437	Contest	
367	271	62.795162	7.2777777	Contest	196	40.490948	6.902564	Contest	112	28.620052	6.7017546	Contest	
368	271	62.795162	7.2730627	Contest	196	40.490948	6.928571	Contest	112	28.620052	6.75	Contest	
369	272	63.15868	7.2730627	Contest	196	40.45368	6.928571	Contest	111	28.293806	6.75	Contest	
370	273	63.299973	7.2683825	Contest	194	39.912067	6.908163	Contest	112	28.694122	6.720721	Contest	
371	274	63.393005	7.2710624	Contest	192	39.391006	6.917526	Abandon	113	29.029118	6.75	Contest	
372	275	63.694016	7.266423	Contest	192	39.391006	6.9166665	Contest	112	28.728107	6.743363	Contest	
373	275	63.694016	7.269091	Contest	192	39.391006	6.9166665	Contest	112	28.728107	6.732143	Contest	
374	275	63.694016	7.269091	Contest	191	39.028614	6.9166665	Contest	113	29.0905	6.732143	Contest	
375	276	63.79743	7.269091	Contest	191	39.304436	6.9005237	Contest	112	28.711264	6.7256637	Contest	
376	276	63.79743	7.271739	Contest	191	39.68971	6.9109945	Contest	112	28.32599	6.732143	Contest	
377	276	63.79743	7.271739	Contest	192	40.024704	6.9109945	Contest	111	27.990995	6.732143	Contest	
378	276	63.79743	7.271739	Contest	192	40.186665	6.9270835	Contest	111	27.829033	6.7387385	Contest	
379	276	63.79743	7.271739	Contest	193	40.586983	6.9270835	Contest	110	27.428717	6.7387385	Contest	
380	276	63.79743	7.271739	Contest	192	40.186665	6.9326425	Contest	111	27.829033	6.7272725	Contest	
381	276	63.79743	7.271739	Contest	193	40.586983	6.9270835	Contest	110	27.428717	6.7387385	Contest	
382	277	63.849632	7.271739	Contest	192	40.186665	6.9326425	Contest	110	27.776829	6.7272725	Contest	
383	278	63.951893	7.2743683	Contest	192	40.343822	6.9270835	Contest	109	27.517414	6.7272725	Contest	
384	279	64.05602	7.2769785	Contest	192	40.343822	6.9166665	Contest	108	27.413286	6.6972475	Contest	
385	280	64.20483	7.27957	Contest	192	40.186665	6.9166665	Contest	107	27.421637	6.685185	Contest	
386	280	64.20483	7.2821426	Contest	192	40.343822	6.9270835	Contest	107	27.264482	6.691589	Contest	
387	281	64.39114	7.2821426	Contest	193	40.586983	6.9166665	Contest	105	26.835007	6.6728973	Contest	
388	282	64.66199	7.2846975	Contest	194	40.673553	6.9326425	Contest	103	26.477596	6.6666665	Contest	
389	283	64.96657	7.287234	Contest	195	40.89114	6.9484534	Contest	101	25.95543	6.6601944	Contest	
390	283	64.96657	7.2897525	Contest	195	40.982574	6.953846	Contest	101	25.863995	6.633663	Contest	
391	284	65.40235	7.2897525	Contest	194	40.673553	6.9435897	Contest	101	25.73723	6.6138616	Contest	
392	285	65.76831	7.2922535	Contest	195	40.89114	6.9484534	Contest	99	25.153685	6.633663	Contest	
393	285	65.76831	7.294737	Contest	195	40.89114	6.953846	Contest	99	25.153685	6.6060605	Contest	
394	285	65.76831	7.294737	Contest	194	40.673553	6.953846	Contest	100	25.37127	6.6060605	Contest	
395	285	65.76831	7.294737	Contest	195	40.89114	6.9484534	Contest	99	25.153685	6.62	Contest	
396	285	65.76831	7.294737	Contest	196	41.20016	6.953846	Contest	98	24.844666	6.6060605	Contest	
397	285	65.76831	7.294737	Contest	196	41.12518	6.9591837	Contest	98	24.919645	6.591837	Contest	
398	285	65.76831	7.294737	Contest	196	41.12518	6.9591837	Contest	98	24.919645	6.591837	Contest	
399	286	66.16014	7.294737	Contest	196	41.20016	6.9591837	Contest	97	24.452833	6.591837	Contest	
400	287	66.68848	7.2972026	Contest	197	41.4342	6.9591837	Contest	95	23.690458	6.5773196	Contest	
401	287	66.68848	7.2996516	Contest	196	41.12518	6.964467	Contest	96	23.999477	6.5473685	Contest	
402	287	66.68848	7.2996516	Contest	196	41.12518	6.9591837	Contest	96	23.999477	6.5625	Contest	
403	287	66.68848	7.2996516	Contest	196	41.20016	6.9591837	Contest	96	23.924498	6.5625	Contest	
404	288	67.0713	7.2996516	Contest	197	41.4342	6.9591837	Contest	94	23.307636	6.5625	Contest	
405	289	67.35105	7.3020835	Contest	198	41.66486	6.964467	Contest	92	22.797222	6.5319147	Contest	
406	289	67.35105	7.297578	Contest	199	41.80539	6.969697	Contest	90	21.65669	6.5434785	Abandon	
407	290	68.35105	7.269896	Colonize	199	41.627045	6.9748745	Contest	90	21.835033	6.6	Contest	
408	291	68.90345	7.3	Contest	198	41.393005	6.984925	Contest	90	21.516674	6.6222224	Contest	
409	292	69.445244	7.2955327	Contest	198	41.393005	6.979798	Contest	89	20.974876	6.6	Contest	
410	293	69.935486	7.297945	Contest	199	41.474205	6.979798	Contest	87	20.403435	6.5842695	Contest	
411	294	70.40452	7.300341	Contest	198	41.165184	6.994975	Contest	87	20.243422	6.5747128	Contest	
412	294	70.40452	7.302721	Contest	199	41.474205	6.979798	Contest	86	19.934402	6.551724	Contest	
413	294	70.40452	7.302721	Contest	200	41.708244	6.994975	Contest	85	19.700363	6.5581393	Contest	
414	295	70.93288	7.302721	Contest	201	41.938904	7.0	Contest	83	18.94135	6.5411763	Contest	
415	295	70.93288	7.3050847	Contest	201	41.938904	7.0049753	Contest	83	18.94135	6.506024	Contest	
416	295	70.93288	7.3050847	Contest	202	42.14866	7.0049753	Contest	82	18.731596	6.506024	Contest	
417	296	71.1995	7.3050847	Contest	201	41.938904	7.009901	Contest	82	18.674728	6.487805	Contest	
418	297	71.51297	7.300676	Contest	202	42.14866	7.0049753	Contest	80	18.151508	6.5365853	Contest	
419	297	71.51297	7.3030305	Contest	202	42.00335	7.009901	Contest	80	18.296818	6.5	Contest	
420	297	71.51297	7.3030305	Contest	202	41.982445	7.009901	Contest	80	18.31772	6.5	Contest	
421	297	71.51297	7.3030305	Contest	203	42.213104	7.009901	Contest	79	18.087063	6.5	Contest	
422	298	71.718414	7.3030305	Contest	203	42.213104	7.0246305	Contest	78	17.881615	6.506329	Contest	
423	298	71.718414	7.305369	Contest	204	42.36308	7.0246305	Contest	77	17.73164	6.4871793	Contest	
424	298	71.718414	7.305369	Contest	204	42.542774	7.029412	Contest	77	17.551945	6.4675326	Contest	
425	298	71.718414	7.305369	Contest	204	42.36308	7.019608	Contest	77	17.73164	6.4415584	Contest	
426	299	71.926704	7.305369	Contest	203	42.213104	7.029412	Contest	77	17.673328	6.4675326	Contest	
427	300	72.13862	7.3076925	Contest	204	42.36308	7.0246305	Contest	75	17.31144	6.4675326	Contest	
428	301	72.41675	7.31	Contest	203	42.213104	7.029412	Contest	75	17.183285	6.4266667	Contest	
429	301	72.41675	7.3122926	Contest	203	42.12904	7.0246305	Contest	75	17.26735	6.4266667	Contest	
430	302	72.64616	7.3122926	Contest	204	42.36308	7.014778	Contest	73	16.803904	6.4	Contest	
431	302	72.64616	7.3145695	Contest	204	42.36308	7.029412	Contest	73	16.803904	6.3835616	Contest	
432	302	72.64616	7.3145695	Contest	203	42.213104	7.029412	Contest	74	16.95388	6.3835616	Contest	
433	302	72.64616	7.3145695	Contest	202	41.979065	7.0246305	Contest	75	17.18792	6.4054055	Contest	
434	303	73.64616	7.3145695	Contest	202	41.982445	7.009901	Contest	74	16.18454	6.4	Contest	
435	303	73.64616	7.3036304	Contest	201	41.748405	7.009901	Contest	75	16.41858	6.324324	Contest	
436	304	73.82078	7.3036304	Contest	200	41.53865	7.0049753	Contest	75	16.453709	6.346667	Contest	
437	305	74.216	7.3125	Contest	200	41.708244	7.0	Contest	74	15.88889	6.3733335	Contest	
438	305	74.216	7.314754	Contest	201	41.938904	7.0	Contest	73	15.658233	6.3513513	Contest	
439	305	74.216	7.314754	Contest	202	42.14866	7.0049753	Contest	72	15.448477	6.3287673	Contest	
440	306	74.5346	7.314754	Contest	202	42.14866	7.009901	Contest	71	15.129882	6.3055553	Contest	
441	307	74.799545	7.316993	Contest	203	42.213104	7.009901	Contest	69	14.80049	6.28169	Contest	
442	307	74.799545	7.3127036	Contest	203	42.12904	7.0246305	Contest	69	14.884553	6.231884	Contest	
443	308	74.92144	7.3127036	Contest	204	42.36308	7.014778	Contest	67	14.528616	6.2028985	Contest	
444	309	75.121376	7.321429	Contest	204	42.542774	7.029412	Contest	66	14.148985	6.2089553	Contest	
445	309	75.121376	7.3236246	Contest	205	42.69275	7.019608	Contest	64	13.834704	6.151515	Abandon	
446	310	75.28568	7.3236246	Contest	206	42.931583	7.0341463	Contest	62	13.529591	6.1875	Abandon	
447	311	75.42472	7.3258066	Contest	206	42.832684	7.038835	Contest	61	13.489452	6.193548	Contest	
448	311	75.42472	7.3279743	Contest	206	42.78536	7.038835	Contest	61	13.536776	6.163934	Contest	
449	311	75.42472	7.3279743	Contest	207	43.11503	7.029126	Contest	60	13.207106	6.1311474	Contest	
450	311	75.42472	7.3279743	Contest	206	42.832684	7.0434785	Contest	61	13.489452	6.133333	Contest	
451	312	76.0843	7.3279743	Contest	206	42.832684	7.038835	Contest	60	12.829875	6.163934	Contest	
452	313	76.58242	7.323718	Contest	206	42.832684	7.038835	Contest	59	12.331756	6.1	Contest	
453	313	76.58242	7.3258786	Contest	207	43.11503	7.038835	Contest	58	12.049409	6.0677967	Contest	
454	313	76.58242	7.3258786	Contest	207	43.308712	7.0434785	Contest	58	11.855727	6.034483	Contest	
455	313	76.58242	7.3258786	Contest	207	43.308712	7.0241547	Contest	58	11.855727	5.965517	Contest	
456	314	76.99249	7.3258786	Contest	207	43.11503	7.0241547	Contest	57	11.6393385	5.965517	Contest	
457	314	76.99249	7.3280253	Contest	207	43.308712	7.0434785	Contest	57	11.445657	6.0	Contest	
458	314	76.99249	7.3280253	Contest	207	43.11503	7.0241547	Contest	57	11.6393385	5.9298244	Contest	
459	315	77.42125	7.3280253	Contest	207	43.11503	7.0434785	Contest	56	11.210586	6.0	Contest	
460	316	77.871315	7.3301587	Contest	208	43.591057	7.0434785	Contest	54	10.284491	5.964286	Contest	
461	316	77.871315	7.3322783	Contest	209	43.82989	7.0384617	Contest	52	9.850548	5.851852	Abandon	
462	317	78.06642	7.3322783	Contest	209	43.82989	7.0526314	Contest	52	9.850548	5.8846154	Contest	
463	317	78.06642	7.328076	Contest	209	43.82989	7.0526314	Contest	52	9.850548	5.8846154	Contest	
464	317	78.06642	7.328076	Contest	210	44.22345	7.0526314	Contest	51	9.45699	5.8846154	Contest	
465	318	78.44294	7.328076	Contest	211	44.43097	7.047619	Contest	49	8.872953	5.8039217	Contest	
466	318	78.44294	7.3301888	Contest	211	44.43097	7.0521326	Contest	49	8.872953	5.714286	Contest	
467	318	78.44294	7.3301888	Contest	212	44.703426	7.0521326	Contest	48	8.600497	5.714286	Contest	
468	318	78.44294	7.3301888	Contest	212	44.703426	7.056604	Contest	48	8.600497	5.6666665	Contest	
469	318	78.44294	7.3301888	Contest	213	45.122845	7.056604	Contest	47	8.181078	5.6666665	Contest	
470	319	78.56762	7.3301888	Contest	214	45.6042	7.061033	Contest	45	7.5750465	5.617021	Contest	
471	320	78.65782	7.3322883	Contest	215	45.923122	7.0654206	Contest	42	7.045638	5.5111113	Abandon	
472	320	78.65782	7.340625	Contest	215	45.923122	7.0604653	Contest	41	6.867496	5.428571	Abandon	
473	321	78.78028	7.340625	Contest	215	45.923122	7.0604653	Contest	39	6.4192266	5.512195	Abandon	
474	322	78.84656	7.342679	Contest	215	45.923122	7.0604653	Contest	38	6.24128	5.6410255	Abandon	
475	323	79.17237	7.338509	Contest	215	45.923122	7.0604653	Contest	37	6.019802	5.736842	Abandon	
476	324	79.35051	7.3343654	Contest	215	45.923122	7.0604653	Contest	36	5.751629	5.891892	Abandon	
477	325	79.61868	7.3364196	Contest	216	45.99444	7.0604653	Contest	35	5.6803136	5.9444447	Contest	
478	326	79.73897	7.3384614	Contest	216	45.99444	7.0740743	Contest	35	5.6803136	5.9428573	Contest	
479	327	79.96045	7.340491	Contest	216	45.99444	7.0740743	Contest	35	5.6803136	5.9428573	Contest	
480	328	80.1384	7.342508	Contest	216	45.99444	7.0740743	Contest	35	5.6803136	5.9428573	Contest	
481	328	80.1384	7.344512	Contest	216	45.99444	7.0740743	Contest	35	5.6803136	5.9428573	Contest	
482	328	80.1384	7.344512	Contest	217	46.114906	7.0740743	Contest	34	5.5598454	5.9428573	Contest	
483	328	80.1384	7.344512	Contest	218	46.255768	7.078341	Contest	33	5.418983	5.882353	Contest	
484	328	80.1384	7.344512	Contest	218	46.255768	7.0825686	Contest	33	5.418983	5.818182	Contest	
485	328	80.1384	7.344512	Contest	218	46.255768	7.0825686	Contest	33	5.418983	5.818182	Contest	
486	328	80.1384	7.344512	Contest	218	46.255768	7.0825686	Contest	33	5.418983	5.818182	Contest	
487	328	80.1384	7.344512	Contest	219	46.340343	7.0825686	Contest	32	5.3344054	5.818182	Contest	
488	328	80.1384	7.344512	Contest	220	46.429504	7.0958905	Contest	31	5.245246	5.8125	Contest	
489	328	80.1384	7.344512	Contest	221	46.603485	7.1	Contest	30	5.0712657	5.7419353	Contest	
490	328	80.1384	7.344512	Contest	221	46.603485	7.0950227	Contest	30	5.0712657	5.6	Contest	
491	328	80.1384	7.344512	Contest	222	46.655056	7.0950227	Contest	29	5.019695	5.6	Contest	
492	328	80.1384	7.344512	Contest	223	46.75904	7.108108	Contest	28	4.91571	5.586207	Contest	
493	328	80.1384	7.344512	Contest	224	46.839973	7.103139	Contest	27	4.834779	5.428571	Contest	
494	328	80.1384	7.344512	Contest	224	46.839973	7.116071	Contest	27	4.834779	5.4074073	Contest	
495	329	80.24627	7.344512	Contest	225	47.01675	7.116071	Contest	25	4.5501275	5.4074073	Contest	
496	329	80.24627	7.3465047	Contest	226	47.109272	7.111111	Contest	23	4.358497	5.2	Abandon	
497	330	80.363266	7.3465047	Contest	226	47.109272	7.1238937	Contest	22	4.2415023	5.2173915	Contest	
498	330	80.363266	7.348485	Contest	227	47.20474	7.1238937	Contest	20	4.0442944	5.181818	Abandon	
499	330	80.363266	7.348485	Contest	228	47.243683	7.1189427	Contest	19	4.005349	5.0	Contest	
500	330	80.363266	7.348485	Contest	228	47.231358	7.131579	Contest	19	4.0176764	4.9473686	Contest	
501	331	80.620834	7.348485	Contest	228	47.243683	7.114035	Contest	18	3.747784	4.736842	Contest	
