SIMULATION PARAMETERS:
n = 450
m = 800
k = 1
p = 50
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.016666668

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	NATION 10 SIZE	NATION 10 RESOURCES	NATION 11 SIZE	NATION 11 RESOURCES	NATION 12 SIZE	NATION 12 RESOURCES	NATION 13 SIZE	NATION 13 RESOURCES	NATION 14 SIZE	NATION 14 RESOURCES	NATION 15 SIZE	NATION 15 RESOURCES	NATION 16 SIZE	NATION 16 RESOURCES	NATION 17 SIZE	NATION 17 RESOURCES	NATION 18 SIZE	NATION 18 RESOURCES	NATION 19 SIZE	NATION 19 RESOURCES	NATION 20 SIZE	NATION 20 RESOURCES	NATION 21 SIZE	NATION 21 RESOURCES	NATION 22 SIZE	NATION 22 RESOURCES	NATION 23 SIZE	NATION 23 RESOURCES	NATION 24 SIZE	NATION 24 RESOURCES	NATION 25 SIZE	NATION 25 RESOURCES	NATION 26 SIZE	NATION 26 RESOURCES	NATION 27 SIZE	NATION 27 RESOURCES	NATION 28 SIZE	NATION 28 RESOURCES	NATION 29 SIZE	NATION 29 RESOURCES	NATION 30 SIZE	NATION 30 RESOURCES	NATION 31 SIZE	NATION 31 RESOURCES	NATION 32 SIZE	NATION 32 RESOURCES	NATION 33 SIZE	NATION 33 RESOURCES	NATION 34 SIZE	NATION 34 RESOURCES	NATION 35 SIZE	NATION 35 RESOURCES	NATION 36 SIZE	NATION 36 RESOURCES	NATION 37 SIZE	NATION 37 RESOURCES	NATION 38 SIZE	NATION 38 RESOURCES	NATION 39 SIZE	NATION 39 RESOURCES	NATION 40 SIZE	NATION 40 RESOURCES	NATION 41 SIZE	NATION 41 RESOURCES	NATION 42 SIZE	NATION 42 RESOURCES	NATION 43 SIZE	NATION 43 RESOURCES	NATION 44 SIZE	NATION 44 RESOURCES	NATION 45 SIZE	NATION 45 RESOURCES	NATION 46 SIZE	NATION 46 RESOURCES	NATION 47 SIZE	NATION 47 RESOURCES	NATION 48 SIZE	NATION 48 RESOURCES	NATION 49 SIZE	NATION 49 RESOURCES	
66	359469.0	79140.96	8.0	2.8035595	33.0	4.79223	40.0	4.231848	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1063684	1.0	1.0	11.0	3.1272798	9.0	2.144341	1.0	1.0	35.0	7.529304	58.0	8.53689	1.0	1.0	21.0	10.905231	2.0	1.0900701	2.0	1.1954703	4.0	1.5763785	3.0	1.3034939	2.0	1.2928292	1.0	1.0	73.0	28.867142	1.0	1.0	3.0	1.4754962	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3545127	2.0	1.1984837	33.0	13.706218	2.0	1.0487967	23.0	5.2358894	6.0	2.2270024	1.0	1.0	16.0	8.72686	13.0	2.3699756	1.0	1.0	1.0	1.0	2.0	1.3199172	22.0	6.004146	18.0	5.7612286	1.0	1.0	53.0	11.7205105	6.0	1.4719963	1.0	1.0	5.0	1.8595959	2.0	1.5490067	
67	359276.0	79090.14	14.0	4.299789	43.0	6.0667305	49.0	5.132171	1.0	1.0	2.0	1.2012193	2.0	1.2931517	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1063684	1.0	1.0	15.0	3.9405403	17.0	3.2937095	2.0	1.2172091	46.0	9.578519	70.0	10.080492	1.0	1.0	37.0	18.690044	2.0	1.0900701	2.0	1.1954703	7.0	2.1681142	3.0	1.3034939	6.0	2.4827483	1.0	1.0	90.0	35.520638	1.0	1.0	3.0	1.4754962	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.3545127	2.0	1.1984837	45.0	18.106203	2.0	1.0487967	35.0	7.4813704	12.0	3.714102	1.0	1.0	28.0	14.895547	19.0	3.0474122	1.0	1.0	1.0	1.0	2.0	1.3199172	36.0	9.335939	24.0	7.625219	1.0	1.0	72.0	15.797773	7.0	1.5595108	1.0	1.0	7.0	2.2346206	2.0	1.5490067	
68	359024.0	79026.766	22.0	6.1090984	56.0	7.76104	61.0	6.414525	1.0	1.0	4.0	1.6130737	5.0	2.179694	1.0	1.0	2.0	1.27746	1.0	1.0	3.0	1.2277842	1.0	1.0	23.0	5.520291	28.0	4.7892547	2.0	1.2172091	57.0	11.586952	82.0	11.605961	1.0	1.0	56.0	27.882215	2.0	1.0900701	2.0	1.1954703	12.0	3.1743934	3.0	1.3034939	11.0	3.9369526	1.0	1.0	110.0	43.265785	1.0	1.0	3.0	1.4754962	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.53333	2.0	1.1984837	56.0	22.023592	2.0	1.0487967	52.0	10.599421	23.0	6.359599	1.0	1.0	38.0	20.01724	25.0	3.771562	1.0	1.0	1.0	1.0	2.0	1.3199172	59.0	14.496537	34.0	10.625221	1.0	1.0	96.0	21.239233	8.0	1.6418	1.0	1.0	14.0	3.731946	2.0	1.5490067	
69	358792.0	78967.445	24.0	6.5516257	71.0	9.834566	73.0	7.5790567	1.0	1.0	8.0	2.416962	10.0	3.6680906	1.0	1.0	3.0	1.5582682	1.0	1.0	4.0	1.3481765	1.0	1.0	31.0	7.124592	38.0	6.24808	2.0	1.2172091	65.0	13.155651	88.0	12.37099	1.0	1.0	68.0	33.67616	2.0	1.0900701	2.0	1.1954703	19.0	4.559586	3.0	1.3034939	23.0	7.3650384	1.0	1.0	124.0	48.747536	1.0	1.0	3.0	1.4754962	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.53333	2.0	1.1984837	66.0	25.576157	2.0	1.0487967	56.0	11.347717	39.0	10.2618	1.0	1.0	52.0	27.162695	30.0	4.436148	1.0	1.0	1.0	1.0	2.0	1.3199172	86.0	20.592127	44.0	13.585496	1.0	1.0	119.0	26.53297	9.0	1.7277131	1.0	1.0	19.0	4.771858	2.0	1.5490067	
70	358510.0	78896.28	29.0	7.641645	83.0	11.514427	88.0	9.176046	1.0	1.0	10.0	2.818576	19.0	6.4376426	1.0	1.0	5.0	2.140129	1.0	1.0	4.0	1.3481765	1.0	1.0	42.0	9.192123	55.0	8.652687	2.0	1.2172091	81.0	16.290718	97.0	13.546069	1.0	1.0	82.0	40.42563	2.0	1.0900701	2.0	1.1954703	24.0	5.5576186	3.0	1.3034939	39.0	11.904845	1.0	1.0	150.0	58.952835	1.0	1.0	3.0	1.4754962	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.7159336	2.0	1.1984837	74.0	28.252146	2.0	1.0487967	64.0	12.838202	48.0	12.515857	1.0	1.0	67.0	34.920513	40.0	5.769165	1.0	1.0	1.0	1.0	2.0	1.3199172	107.0	25.240122	51.0	15.673669	1.0	1.0	148.0	32.687706	10.0	1.8325226	1.0	1.0	33.0	7.851553	2.0	1.5490067	
71	358219.0	78823.96	32.0	8.268159	101.0	13.831868	103.0	10.836994	1.0	1.0	13.0	3.3863397	26.0	8.399397	1.0	1.0	7.0	2.744256	1.0	1.0	4.0	1.3481765	1.0	1.0	52.0	11.111565	77.0	11.965577	2.0	1.2172091	89.0	17.981552	109.0	15.096742	1.0	1.0	96.0	47.127655	3.0	1.184644	2.0	1.1954703	29.0	6.5663486	3.0	1.3034939	58.0	17.208109	2.0	1.094239	175.0	68.46988	1.0	1.0	3.0	1.4754962	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.7159336	2.0	1.1984837	81.0	30.828568	3.0	1.0963033	71.0	14.15539	63.0	16.265814	1.0	1.0	82.0	42.803253	48.0	6.7865486	1.0	1.0	1.0	1.0	2.0	1.3199172	121.0	28.28445	64.0	19.575466	1.0	1.0	178.0	39.14115	11.0	1.9241792	1.0	1.0	48.0	11.176739	2.0	1.5490067	
72	357939.0	78754.52	32.0	8.268159	115.0	15.7656145	129.0	13.555691	1.0	1.0	15.0	3.7862978	35.0	11.326667	1.0	1.0	13.0	4.5416403	1.0	1.0	4.0	1.3481765	1.0	1.0	63.0	13.16261	95.0	14.80721	2.0	1.2172091	103.0	20.86588	120.0	16.58134	1.0	1.0	117.0	57.18887	3.0	1.184644	3.0	1.3877139	34.0	7.526415	3.0	1.3034939	76.0	22.276663	2.0	1.094239	197.0	77.32088	2.0	1.507662	4.0	1.7027595	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.7159336	2.0	1.1984837	83.0	31.478882	3.0	1.0963033	75.0	14.937875	72.0	18.422161	1.0	1.0	91.0	47.784264	63.0	8.704138	1.0	1.0	1.0	1.0	2.0	1.3199172	135.0	31.234922	70.0	21.637983	1.0	1.0	205.0	45.167423	11.0	1.9241792	1.0	1.0	62.0	14.2307415	2.0	1.5490067	
73	357636.0	78677.03	34.0	8.637026	137.0	18.881649	151.0	15.909008	1.0	1.0	14.0	3.539685	43.0	14.113431	1.0	1.0	20.0	6.657667	1.0	1.0	4.0	1.3481765	1.0	1.0	70.0	14.580116	112.0	17.521826	2.0	1.2172091	120.0	24.481007	133.0	18.35647	1.0	1.0	142.0	69.13568	3.0	1.184644	3.0	1.3877139	41.0	8.859238	3.0	1.3034939	93.0	27.069101	2.0	1.094239	224.0	87.716225	2.0	1.507662	4.0	1.7027595	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.7159336	3.0	1.4029646	83.0	31.478882	3.0	1.0963033	81.0	16.133297	81.0	20.64774	1.0	1.0	107.0	56.66515	73.0	9.98355	1.0	1.0	1.0	1.0	2.0	1.3199172	159.0	36.303993	74.0	22.981035	1.0	1.0	227.0	49.3819	11.0	1.9241792	1.0	1.0	83.0	18.798899	2.0	1.5490067	
74	357313.0	78592.57	36.0	9.045048	159.0	21.669373	172.0	18.138802	1.0	1.0	15.0	3.635834	50.0	16.551823	1.0	1.0	31.0	10.075443	1.0	1.0	4.0	1.3481765	1.0	1.0	79.0	16.47685	136.0	21.292639	2.0	1.2172091	128.0	26.277386	149.0	20.573654	1.0	1.0	175.0	84.8326	3.0	1.184644	3.0	1.3877139	48.0	10.163712	3.0	1.3034939	113.0	32.647858	2.0	1.094239	259.0	101.006065	2.0	1.507662	4.0	1.7027595	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.8989332	4.0	1.6138244	83.0	31.478882	4.0	1.1431088	86.0	17.137688	89.0	22.530188	1.0	1.0	119.0	63.394817	79.0	10.873864	1.0	1.0	1.0	1.0	2.0	1.3199172	175.0	39.62764	81.0	25.509565	1.0	1.0	262.0	56.765324	11.0	1.9241792	1.0	1.0	98.0	22.08325	2.0	1.5490067	
75	356979.0	78504.73	36.0	9.045048	178.0	24.111786	186.0	19.759323	1.0	1.0	15.0	3.5139704	53.0	17.699905	1.0	1.0	43.0	13.818422	1.0	1.0	4.0	1.3481765	2.0	1.2705089	90.0	19.116232	162.0	25.332335	2.0	1.2172091	139.0	28.810246	169.0	23.301386	1.0	1.0	195.0	94.325966	3.0	1.184644	3.0	1.3877139	58.0	11.973536	3.0	1.3034939	148.0	42.623558	2.0	1.094239	303.0	117.696335	2.0	1.507662	5.0	1.9434109	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.8989332	6.0	2.045088	86.0	32.624233	4.0	1.1431088	95.0	18.946922	101.0	25.337275	1.0	1.0	131.0	69.98556	84.0	11.635732	1.0	1.0	1.0	1.0	2.0	1.3199172	190.0	42.659336	89.0	28.53843	1.0	1.0	283.0	61.716057	12.0	2.035008	1.0	1.0	117.0	26.011154	2.0	1.5490067	
