SIMULATION PARAMETERS:
n = 225
m = 400
k = 1
p = 5
recruit_likeliness = 0.001
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.033333335

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
39	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
40	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
41	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
42	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
43	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
44	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
45	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
46	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
47	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
48	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
49	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
50	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
51	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
52	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
53	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
54	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
55	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
56	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
57	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
58	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
59	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
60	89995.0	19812.39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
61	89994.0	19812.18	1.0	1.0	2.0	1.2114267	1.0	1.0	1.0	1.0	1.0	1.0	
62	89994.0	19812.18	1.0	1.0	2.0	1.2114267	1.0	1.0	1.0	1.0	1.0	1.0	
63	89993.0	19811.969	1.0	1.0	3.0	1.4227552	1.0	1.0	1.0	1.0	1.0	1.0	
64	89991.0	19811.523	1.0	1.0	5.0	1.8695915	1.0	1.0	1.0	1.0	1.0	1.0	
65	89988.0	19810.816	1.0	1.0	8.0	2.5771813	1.0	1.0	1.0	1.0	1.0	1.0	
66	89984.0	19809.836	1.0	1.0	12.0	3.5552614	1.0	1.0	1.0	1.0	1.0	1.0	
67	89975.0	19807.594	1.0	1.0	21.0	5.797172	1.0	1.0	1.0	1.0	1.0	1.0	
68	89963.0	19804.621	1.0	1.0	33.0	8.76756	1.0	1.0	1.0	1.0	1.0	1.0	
69	89955.0	19802.68	1.0	1.0	41.0	10.709261	1.0	1.0	1.0	1.0	1.0	1.0	
70	89944.0	19799.734	2.0	1.2151855	51.0	13.438413	1.0	1.0	1.0	1.0	1.0	1.0	
71	89931.0	19796.52	4.0	1.6378124	62.0	16.230955	1.0	1.0	1.0	1.0	1.0	1.0	
72	89924.0	19794.746	6.0	2.061215	67.0	17.579332	1.0	1.0	1.0	1.0	1.0	1.0	
73	89914.0	19792.332	10.0	2.9337013	73.0	19.123972	1.0	1.0	1.0	1.0	1.0	1.0	
74	89901.0	19789.371	14.0	3.8218718	81.0	21.033934	1.0	1.0	2.0	1.163436	1.0	1.0	
75	89891.0	19787.164	18.0	4.750849	87.0	22.315845	1.0	1.0	2.0	1.163436	1.0	1.0	
76	89872.0	19782.895	28.0	7.122092	96.0	24.212748	1.0	1.0	2.0	1.163436	1.0	1.0	
77	89866.0	19781.52	30.0	7.6656723	100.0	25.04637	1.0	1.0	2.0	1.163436	1.0	1.0	
78	89850.0	19777.906	35.0	8.984254	111.0	27.336832	1.0	1.0	2.0	1.163436	1.0	1.0	
79	89826.0	19772.492	48.0	12.156721	122.0	29.5728	1.0	1.0	2.0	1.163436	1.0	1.0	
80	89808.0	19768.7	55.0	13.781046	133.0	31.741276	1.0	1.0	2.0	1.163436	1.0	1.0	
81	89782.0	19763.262	63.0	15.7283125	151.0	35.227573	1.0	1.0	2.0	1.163436	1.0	1.0	
