SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
126	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
127	230395.0	52739.273	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.1955804	
128	230394.0	52739.04	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.4317105	
129	230393.0	52738.848	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.6248196	
130	230393.0	52738.848	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.6248196	
131	230392.0	52738.65	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.8246218	
132	230391.0	52738.473	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.9989109	
133	230389.0	52738.12	1.0	1.0	1.0	1.0	1.0	1.0	8.0	2.3496745	
134	230385.0	52737.49	1.0	1.0	1.0	1.0	1.0	1.0	12.0	2.9847147	
135	230383.0	52737.16	1.0	1.0	1.0	1.0	1.0	1.0	14.0	3.3129706	
136	230381.0	52736.87	1.0	1.0	1.0	1.0	1.0	1.0	16.0	3.6027555	
137	230377.0	52736.324	1.0	1.0	1.0	1.0	1.0	1.0	20.0	4.1472545	
138	230373.0	52735.793	1.0	1.0	1.0	1.0	1.0	1.0	24.0	4.676217	
139	230369.0	52735.26	1.0	1.0	1.0	1.0	1.0	1.0	28.0	5.204522	
140	230367.0	52735.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	5.4658537	
141	230365.0	52734.727	1.0	1.0	1.0	1.0	1.0	1.0	32.0	5.7371554	
142	230359.0	52733.973	1.0	1.0	1.0	1.0	1.0	1.0	38.0	6.497108	
143	230352.0	52732.785	2.0	1.4837253	1.0	1.0	1.0	1.0	44.0	7.201179	
144	230346.0	52731.766	3.0	1.9407874	1.0	1.0	1.0	1.0	49.0	7.7698307	
145	230340.0	52730.242	5.0	2.9054124	1.0	1.0	1.0	1.0	53.0	8.325373	
146	230333.0	52729.07	6.0	3.3957217	1.0	1.0	1.0	1.0	59.0	9.014107	
147	230327.0	52728.387	6.0	3.3957217	1.0	1.0	1.0	1.0	65.0	9.694591	
148	230321.0	52727.39	7.0	3.8576465	1.0	1.0	1.0	1.0	70.0	10.229815	
149	230315.0	52726.668	7.0	3.8576465	1.0	1.0	1.0	1.0	76.0	10.949379	
150	230306.0	52724.71	9.0	4.840513	1.0	1.0	1.0	1.0	83.0	11.922715	
151	230300.0	52723.082	11.0	5.76999	1.0	1.0	1.0	1.0	87.0	12.620045	
152	230296.0	52722.406	11.0	5.76999	1.0	1.0	1.0	1.0	91.0	13.291544	
153	230288.0	52720.562	12.0	6.235243	2.0	1.0880657	1.0	1.0	97.0	14.572755	
154	230282.0	52719.14	13.0	6.7056093	2.0	1.0880657	1.0	1.0	102.0	15.534265	
155	230272.0	52716.32	16.0	8.195203	2.0	1.0880657	1.0	1.0	109.0	16.863504	
156	230261.0	52713.29	19.0	9.643152	2.0	1.0880657	1.0	1.0	117.0	18.450928	
157	230254.0	52711.32	21.0	10.637861	2.0	1.0880657	1.0	1.0	122.0	19.420301	
158	230244.0	52708.652	24.0	11.928315	2.0	1.0880657	1.0	1.0	129.0	20.805367	
159	230231.0	52705.617	27.0	13.142556	2.0	1.0880657	1.0	1.0	139.0	22.616533	
160	230222.0	52703.26	30.0	14.306538	2.0	1.0880657	1.0	1.0	145.0	23.808064	
161	230212.0	52700.945	33.0	15.327463	2.0	1.0880657	1.0	1.0	152.0	25.098871	
162	230204.0	52698.99	34.0	15.823301	3.0	1.1689806	1.0	1.0	158.0	26.476034	
163	230199.0	52697.82	34.0	15.823301	3.0	1.1689806	1.0	1.0	163.0	27.645487	
164	230190.0	52695.316	37.0	17.060482	3.0	1.1689806	1.0	1.0	169.0	28.922411	
165	230174.0	52691.98	38.0	17.37511	3.0	1.1689806	1.0	1.0	184.0	31.950012	
166	230160.0	52688.957	39.0	17.840006	3.0	1.1689806	1.0	1.0	197.0	34.51309	
167	230149.0	52685.46	42.0	19.172626	3.0	1.1689806	1.0	1.0	205.0	36.67357	
168	230132.0	52680.406	47.0	21.25787	3.0	1.1689806	1.0	1.0	217.0	39.636703	
169	230119.0	52677.105	49.0	22.010353	3.0	1.1689806	1.0	1.0	228.0	42.185257	
170	230105.0	52673.348	53.0	23.624893	3.0	1.1689806	1.0	1.0	238.0	44.331276	
171	230086.0	52668.47	58.0	25.37183	3.0	1.1689806	2.0	1.1251283	251.0	47.32905	
172	230067.0	52663.59	64.0	27.528711	3.0	1.1689806	4.0	1.4597857	262.0	49.721096	
173	230049.0	52658.996	69.0	29.2472	3.0	1.1689806	6.0	1.8127232	273.0	52.24408	
174	230021.0	52651.66	78.0	31.837229	3.0	1.1689806	9.0	2.3218553	289.0	56.472782	
175	229997.0	52645.234	86.0	34.37112	3.0	1.1689806	12.0	2.895455	302.0	59.784405	
176	229964.0	52636.46	95.0	36.891766	3.0	1.1689806	13.0	3.1450987	325.0	65.78526	
177	229934.0	52628.613	103.0	39.166187	3.0	1.1689806	16.0	3.8914235	344.0	70.620514	
178	229912.0	52622.35	110.0	40.980534	3.0	1.1689806	16.0	3.8914235	359.0	75.05602	
179	229893.0	52616.574	115.0	41.901134	3.0	1.1689806	16.0	3.8914235	373.0	79.92057	
180	229869.0	52610.438	124.0	43.52099	3.0	1.1689806	17.0	4.179338	387.0	84.14882	
181	229838.0	52601.96	134.0	45.83955	3.0	1.1689806	18.0	4.523854	407.0	89.95714	
182	229811.0	52594.73	142.0	47.1586	3.0	1.1689806	21.0	5.632296	423.0	94.75931	
183	229777.0	52585.914	154.0	49.1169	3.0	1.1689806	24.0	6.7808375	442.0	100.46753	
184	229748.0	52578.58	161.0	50.138893	4.0	1.2619058	27.0	7.8642488	460.0	105.59538	
185	229728.0	52574.31	165.0	50.56582	4.0	1.2619058	28.0	7.9937077	475.0	109.30729	
186	229703.0	52568.137	167.0	50.89457	4.0	1.2619058	29.0	8.40877	497.0	114.72952	
187	229682.0	52564.133	175.0	52.158524	5.0	1.397411	30.0	8.8166685	508.0	116.92941	
188	229659.0	52559.598	176.0	52.20204	7.0	1.7409098	31.0	9.266869	527.0	120.624374	
189	229631.0	52553.836	180.0	52.873665	12.0	2.6698303	31.0	9.266869	546.0	124.78377	
190	229605.0	52548.58	186.0	54.086292	16.0	3.3580403	33.0	9.85748	560.0	127.552414	
191	229586.0	52544.34	186.0	54.086292	20.0	4.153	34.0	10.340854	574.0	130.50906	
192	229568.0	52539.844	187.0	54.268627	21.0	4.4025707	37.0	11.778248	587.0	133.13968	
193	229540.0	52532.543	191.0	55.04179	24.0	5.2037797	41.0	13.551205	604.0	137.09381	
194	229515.0	52524.973	196.0	56.218338	28.0	6.3899074	44.0	15.064062	617.0	140.78426	
195	229492.0	52518.582	199.0	56.78493	31.0	7.4247804	47.0	16.792572	631.0	143.82556	
196	229470.0	52510.14	199.0	56.78493	35.0	8.966419	51.0	19.048824	645.0	148.46973	
197	229434.0	52496.188	202.0	57.50089	42.0	11.891116	60.0	24.301876	662.0	153.53447	
198	229397.0	52482.52	202.0	57.50089	48.0	14.592826	67.0	28.458485	686.0	160.34428	
199	229363.0	52469.145	203.0	57.643536	53.0	16.833704	80.0	35.57966	701.0	164.21927	
200	229331.0	52457.45	203.0	57.643536	56.0	18.514832	91.0	42.148933	719.0	167.65002	
201	229302.0	52445.746	207.0	58.573387	60.0	20.474947	98.0	46.37298	733.0	172.24513	
202	229255.0	52426.344	208.0	58.825798	71.0	25.957695	110.0	53.0622	756.0	179.221	
203	229211.0	52408.74	210.0	59.372444	77.0	29.183683	124.0	60.801537	778.0	185.33102	
204	229168.0	52392.195	212.0	60.208588	86.0	33.15826	134.0	66.18884	800.0	191.67683	
205	229145.0	52384.84	212.0	60.208588	89.0	34.31363	140.0	68.80112	814.0	195.27133	
206	229101.0	52366.45	214.0	60.752937	99.0	38.40231	158.0	77.7709	828.0	200.0615	
207	229040.0	52343.918	215.0	61.083267	106.0	40.978508	173.0	86.2326	866.0	211.22937	
208	228995.0	52327.266	218.0	61.67775	113.0	43.296307	187.0	93.4901	887.0	217.7072	
209	228951.0	52310.13	221.0	62.689938	118.0	44.807957	205.0	102.38904	905.0	223.43198	
210	228909.0	52295.75	225.0	63.504147	122.0	46.08775	218.0	109.29785	926.0	228.81123	
211	228874.0	52284.293	231.0	65.06305	125.0	47.06912	224.0	112.431725	946.0	234.5901	
212	228841.0	52272.152	236.0	66.428116	130.0	48.61356	237.0	118.48539	956.0	237.74553	
213	228806.0	52261.117	246.0	68.93444	142.0	52.201714	242.0	120.813805	964.0	240.3668	
214	228761.0	52247.223	255.0	71.33311	149.0	54.22192	252.0	126.17086	983.0	244.49362	
215	228722.0	52235.74	264.0	73.099144	157.0	56.353462	261.0	130.60385	996.0	247.6593	
216	228688.0	52225.008	270.0	74.19136	162.0	57.712116	272.0	136.0335	1008.0	250.52351	
217	228655.0	52215.758	274.0	75.07607	170.0	59.670734	279.0	139.19652	1022.0	253.77107	
218	228613.0	52203.98	279.0	76.50176	178.0	61.660522	286.0	142.63048	1044.0	258.71338	
219	228577.0	52193.785	283.0	77.26372	190.0	64.82452	294.0	146.48207	1056.0	261.1438	
220	228536.0	52182.695	285.0	77.725845	201.0	67.75095	305.0	150.5952	1073.0	264.73483	
221	228481.0	52166.06	287.0	78.10181	218.0	71.82627	314.0	154.41231	1100.0	273.10764	
222	228421.0	52147.26	291.0	78.882195	235.0	76.96087	323.0	158.6688	1130.0	281.72482	
223	228364.0	52130.137	296.0	80.03661	255.0	82.08904	334.0	163.55254	1151.0	287.6708	
224	228290.0	52108.094	299.0	80.68629	277.0	87.58983	352.0	171.03877	1182.0	296.07242	
225	228231.0	52090.06	305.0	81.69469	291.0	91.34864	363.0	176.22978	1210.0	304.15112	
226	228164.0	52070.367	311.0	82.89447	306.0	95.394066	375.0	181.3101	1244.0	313.51733	
227	228102.0	52052.285	314.0	83.3973	318.0	98.354805	388.0	186.4128	1278.0	323.02875	
228	228027.0	52029.645	321.0	85.067764	331.0	101.62851	406.0	193.8133	1315.0	333.32712	
229	227951.0	52007.625	326.0	86.08427	345.0	104.68746	427.0	201.40346	1351.0	343.67404	
230	227876.0	51985.92	331.0	87.04484	356.0	107.09975	445.0	207.43118	1392.0	355.95358	
231	227813.0	51968.805	334.0	87.69841	370.0	110.369774	455.0	210.65686	1428.0	365.92154	
232	227743.0	51948.434	337.0	88.37159	383.0	113.3125	465.0	214.26257	1472.0	379.0682	
233	227673.0	51930.125	345.0	90.08074	395.0	115.86459	476.0	218.07198	1511.0	389.3121	
234	227601.0	51909.53	355.0	92.21573	405.0	118.437775	490.0	223.23003	1549.0	400.0389	
235	227522.0	51885.64	363.0	94.06682	423.0	122.65775	511.0	230.22331	1581.0	410.8644	
236	227456.0	51866.71	369.0	95.66342	438.0	126.28663	528.0	236.10074	1609.0	418.7032	
237	227365.0	51840.156	385.0	99.56433	450.0	129.32762	551.0	244.23572	1649.0	430.1996	
238	227280.0	51815.973	401.0	104.04343	460.0	131.53949	572.0	251.44836	1687.0	440.47528	
239	227197.0	51794.758	419.0	108.44047	477.0	135.2147	588.0	255.70006	1719.0	449.37747	
240	227107.0	51771.344	442.0	114.03146	494.0	138.88762	600.0	259.46603	1757.0	459.73434	
241	227014.0	51746.89	460.0	118.8122	511.0	142.3191	623.0	266.34082	1792.0	469.11685	
242	226929.0	51726.52	473.0	122.060776	529.0	146.60648	648.0	272.49594	1821.0	475.78674	
243	226837.0	51703.77	499.0	127.7839	538.0	148.76884	671.0	279.82776	1855.0	483.31693	
244	226753.0	51684.77	518.0	131.40833	551.0	151.50482	702.0	287.407	1876.0	488.3922	
245	226667.0	51663.85	537.0	134.99162	568.0	155.63391	728.0	294.96167	1900.0	494.03427	
246	226594.0	51648.113	557.0	138.77473	583.0	158.92357	744.0	298.8592	1922.0	498.80292	
247	226502.0	51625.777	583.0	145.21436	598.0	162.16994	768.0	305.96368	1949.0	504.3356	
248	226413.0	51603.016	605.0	151.00854	610.0	165.30705	795.0	312.8177	1977.0	511.32614	
249	226323.0	51581.16	625.0	155.94197	622.0	167.9788	818.0	318.2065	2012.0	520.2053	
250	226204.0	51552.105	650.0	161.27203	652.0	174.82909	856.0	328.19043	2038.0	527.08685	
251	226113.0	51530.363	676.0	167.05003	669.0	178.69778	882.0	334.89276	2060.0	532.4427	
252	226000.0	51503.887	710.0	175.38179	694.0	184.14767	911.0	342.033	2085.0	538.01196	
253	225893.0	51478.816	733.0	180.1015	726.0	191.54315	933.0	347.72845	2115.0	545.275	
254	225782.0	51452.52	753.0	184.38246	753.0	198.52301	961.0	354.35742	2151.0	553.69775	
255	225672.0	51427.508	774.0	188.8142	785.0	206.25177	986.0	359.69568	2183.0	561.1935	
256	225548.0	51396.6	798.0	195.13629	806.0	211.60541	1021.0	367.94937	2227.0	572.15	
257	225407.0	51363.613	831.0	202.0448	844.0	221.34853	1056.0	375.2112	2262.0	581.2346	
258	225291.0	51336.74	853.0	206.94604	872.0	228.20192	1084.0	381.89557	2300.0	589.66345	
259	225175.0	51311.176	876.0	211.84927	911.0	237.63919	1109.0	386.8186	2329.0	595.97473	
260	225066.0	51287.918	897.0	216.96857	939.0	242.85869	1133.0	392.40897	2365.0	603.3002	
261	224947.0	51262.992	918.0	222.29698	967.0	248.84142	1157.0	397.00516	2411.0	612.3246	
262	224822.0	51236.15	942.0	228.71446	1005.0	256.45956	1183.0	402.3677	2448.0	619.76154	
263	224689.0	51208.133	967.0	234.75023	1028.0	261.0208	1218.0	409.5967	2498.0	629.9549	
264	224567.0	51183.156	993.0	241.12395	1057.0	266.74686	1238.0	412.9129	2545.0	639.5144	
265	224439.0	51157.37	1020.0	247.70842	1087.0	272.40067	1268.0	417.56955	2586.0	648.41095	
266	224305.0	51129.35	1041.0	253.21379	1114.0	277.23492	1311.0	425.7745	2629.0	657.882	
267	224159.0	51097.65	1076.0	261.63638	1154.0	284.78134	1338.0	430.3277	2673.0	669.06165	
268	224032.0	51071.992	1104.0	268.25198	1187.0	290.6019	1360.0	434.68478	2717.0	677.91614	
269	223901.0	51044.47	1141.0	275.44107	1212.0	295.33228	1380.0	439.25977	2766.0	688.9143	
270	223764.0	51014.207	1177.0	283.96124	1228.0	298.2609	1405.0	443.42398	2826.0	703.5676	
271	223617.0	50983.473	1215.0	292.77112	1256.0	302.5197	1422.0	446.41434	2890.0	718.2403	
272	223485.0	50953.742	1250.0	301.12134	1271.0	304.42953	1444.0	450.83923	2950.0	733.299	
273	223335.0	50921.88	1289.0	310.83542	1297.0	307.92883	1465.0	454.42303	3014.0	748.37335	
274	223191.0	50888.887	1318.0	317.46603	1316.0	311.35907	1490.0	459.09607	3085.0	766.6188	
275	223059.0	50856.99	1341.0	322.79434	1331.0	313.53903	1514.0	464.5136	3155.0	785.60315	
276	222918.0	50825.773	1367.0	328.19885	1352.0	316.20477	1536.0	468.359	3227.0	804.924	
277	222776.0	50796.117	1394.0	333.4434	1371.0	318.64667	1564.0	473.50375	3295.0	821.731	
278	222631.0	50764.98	1425.0	339.96298	1396.0	322.13815	1591.0	478.69736	3357.0	837.6673	
279	222474.0	50732.74	1456.0	346.37128	1416.0	325.12332	1619.0	483.36035	3435.0	855.88837	
280	222340.0	50706.703	1485.0	352.08136	1441.0	328.4635	1636.0	486.1792	3498.0	870.06366	
281	222212.0	50681.89	1513.0	356.7616	1464.0	331.70886	1664.0	490.99567	3547.0	882.14154	
282	222081.0	50657.5	1538.0	361.16626	1492.0	335.58298	1691.0	495.49362	3598.0	893.7672	
283	221944.0	50632.367	1571.0	366.48575	1518.0	339.2773	1721.0	500.9425	3646.0	904.4444	
284	221800.0	50606.152	1604.0	372.0186	1546.0	343.32272	1754.0	506.8451	3696.0	915.1908	
285	221642.0	50575.6	1632.0	377.06516	1572.0	347.92072	1795.0	514.4847	3759.0	928.4601	
286	221490.0	50546.844	1663.0	382.53976	1601.0	352.01276	1827.0	520.5784	3819.0	941.5747	
287	221346.0	50519.336	1685.0	386.27005	1627.0	356.38348	1869.0	529.2179	3873.0	952.3573	
288	221204.0	50490.797	1708.0	389.92978	1654.0	361.2834	1911.0	538.18915	3923.0	963.38837	
289	221061.0	50462.57	1736.0	395.3148	1686.0	366.66272	1951.0	546.94965	3966.0	972.08875	
290	220914.0	50432.305	1763.0	400.6435	1718.0	372.06287	1994.0	557.13824	4011.0	981.40765	
291	220762.0	50399.69	1801.0	408.5625	1736.0	375.36652	2039.0	568.0543	4062.0	991.9029	
292	220605.0	50365.21	1835.0	416.36832	1760.0	379.38675	2088.0	579.2133	4112.0	1003.4151	
293	220441.0	50327.8	1862.0	422.055	1789.0	385.6482	2134.0	589.44336	4174.0	1018.6437	
294	220266.0	50290.96	1896.0	429.06497	1819.0	390.64523	2184.0	600.074	4235.0	1032.8591	
295	220086.0	50248.594	1940.0	438.60364	1846.0	395.85794	2236.0	613.48755	4292.0	1047.0768	
296	219889.0	50203.582	1975.0	444.8297	1871.0	401.20862	2294.0	627.0267	4371.0	1066.9636	
297	219704.0	50162.547	2005.0	450.51038	1898.0	407.08133	2355.0	640.6004	4438.0	1082.8696	
298	219519.0	50115.41	2041.0	457.60782	1920.0	413.0737	2413.0	656.05963	4507.0	1101.4456	
299	219360.0	50077.684	2064.0	461.943	1961.0	422.8195	2459.0	666.1539	4556.0	1114.9877	
300	219147.0	50030.586	2103.0	469.0024	1988.0	429.2493	2531.0	682.73206	4631.0	1132.0013	
