SIMULATION PARAMETERS:
n = 180
m = 320
k = 1
p = 4
recruit_likeliness = 0.001
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.13176157

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
253	57596.0	13181.852	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
254	57596.0	13181.852	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
255	57595.0	13181.355	2.0	1.4958384	1.0	1.0	1.0	1.0	1.0	1.0	
256	57593.0	13180.442	4.0	2.4087057	1.0	1.0	1.0	1.0	1.0	1.0	
257	57593.0	13180.442	4.0	2.4087057	1.0	1.0	1.0	1.0	1.0	1.0	
258	57593.0	13180.442	4.0	2.4087057	1.0	1.0	1.0	1.0	1.0	1.0	
259	57593.0	13180.442	4.0	2.4087057	1.0	1.0	1.0	1.0	1.0	1.0	
260	57592.0	13179.976	5.0	2.8757308	1.0	1.0	1.0	1.0	1.0	1.0	
261	57592.0	13179.976	5.0	2.8757308	1.0	1.0	1.0	1.0	1.0	1.0	
262	57591.0	13179.547	6.0	3.3034782	1.0	1.0	1.0	1.0	1.0	1.0	
263	57590.0	13179.101	7.0	3.7501576	1.0	1.0	1.0	1.0	1.0	1.0	
264	57589.0	13178.717	8.0	4.1347523	1.0	1.0	1.0	1.0	1.0	1.0	
265	57586.0	13177.566	11.0	5.284705	1.0	1.0	1.0	1.0	1.0	1.0	
266	57583.0	13176.577	14.0	6.2739167	1.0	1.0	1.0	1.0	1.0	1.0	
267	57581.0	13175.979	16.0	6.873255	1.0	1.0	1.0	1.0	1.0	1.0	
268	57577.0	13174.802	20.0	8.049833	1.0	1.0	1.0	1.0	1.0	1.0	
269	57575.0	13174.385	22.0	8.466076	1.0	1.0	1.0	1.0	1.0	1.0	
270	57573.0	13173.979	24.0	8.872096	1.0	1.0	1.0	1.0	1.0	1.0	
271	57570.0	13173.254	27.0	9.597649	1.0	1.0	1.0	1.0	1.0	1.0	
272	57568.0	13172.717	29.0	10.13546	1.0	1.0	1.0	1.0	1.0	1.0	
273	57566.0	13172.412	31.0	10.438448	1.0	1.0	1.0	1.0	1.0	1.0	
274	57566.0	13172.412	31.0	10.438448	1.0	1.0	1.0	1.0	1.0	1.0	
275	57565.0	13172.097	32.0	10.755336	1.0	1.0	1.0	1.0	1.0	1.0	
276	57565.0	13172.097	32.0	10.755336	1.0	1.0	1.0	1.0	1.0	1.0	
277	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
278	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
279	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
280	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
281	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
282	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
283	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
284	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
285	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
286	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
287	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
288	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
289	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
290	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
291	57564.0	13171.744	33.0	11.107444	1.0	1.0	1.0	1.0	1.0	1.0	
292	57563.0	13171.413	34.0	11.4389515	1.0	1.0	1.0	1.0	1.0	1.0	
293	57563.0	13171.413	34.0	11.4389515	1.0	1.0	1.0	1.0	1.0	1.0	
294	57563.0	13171.413	34.0	11.4389515	1.0	1.0	1.0	1.0	1.0	1.0	
295	57563.0	13171.413	34.0	11.4389515	1.0	1.0	1.0	1.0	1.0	1.0	
296	57562.0	13171.225	34.0	11.4389515	1.0	1.0	2.0	1.188964	1.0	1.0	
297	57562.0	13171.225	34.0	11.4389515	1.0	1.0	2.0	1.188964	1.0	1.0	
298	57562.0	13171.225	34.0	11.4389515	1.0	1.0	2.0	1.188964	1.0	1.0	
299	57562.0	13171.225	34.0	11.4389515	1.0	1.0	2.0	1.188964	1.0	1.0	
300	57562.0	13171.225	34.0	11.4389515	1.0	1.0	2.0	1.188964	1.0	1.0	
301	57561.0	13170.9795	34.0	11.4389515	1.0	1.0	3.0	1.4339986	1.0	1.0	
302	57560.0	13170.682	34.0	11.4389515	1.0	1.0	4.0	1.7321551	1.0	1.0	
303	57559.0	13170.3	34.0	11.4389515	1.0	1.0	5.0	2.113753	1.0	1.0	
304	57558.0	13169.909	34.0	11.4389515	1.0	1.0	6.0	2.5042365	1.0	1.0	
305	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
306	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
307	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
308	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
309	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
310	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
311	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
312	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
313	57557.0	13169.791	35.0	11.556728	1.0	1.0	6.0	2.5042365	1.0	1.0	
