SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.001
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
106	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
107	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
108	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
109	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
110	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
111	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
112	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
113	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
114	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
115	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
116	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
117	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
118	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
119	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
120	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
121	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
122	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
123	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
124	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
125	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
126	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
127	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
128	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
