SIMULATION PARAMETERS:
n = 225
m = 400
k = 1
p = 5
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.033333335

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
102	87953.0	19253.51	215.0	30.676203	414.0	129.56407	397.0	73.83244	246.0	48.726223	775.0	280.8262	
103	87838.0	19222.281	226.0	32.541054	436.0	135.32611	413.0	77.42234	259.0	51.234432	828.0	298.33032	
104	87726.0	19191.229	242.0	35.223476	450.0	139.07452	434.0	83.72851	273.0	53.700817	875.0	314.18668	
105	87617.0	19162.627	255.0	37.356575	467.0	143.32858	458.0	89.8206	283.0	55.642532	920.0	328.36517	
106	87491.0	19126.537	264.0	38.91937	486.0	148.77988	486.0	97.81654	296.0	58.086784	977.0	346.9978	
107	87339.0	19088.732	278.0	41.239094	506.0	154.42496	531.0	109.01946	310.0	61.02409	1036.0	362.7068	
108	87207.0	19054.22	289.0	43.070786	523.0	159.2273	575.0	120.0314	322.0	63.443832	1084.0	377.14893	
109	87076.0	19019.957	300.0	44.83925	540.0	163.90913	615.0	129.69876	333.0	65.80996	1136.0	392.92	
110	86949.0	18987.291	308.0	46.23254	553.0	167.70746	656.0	139.56133	349.0	69.30133	1185.0	407.04645	
111	86815.0	18950.338	315.0	47.40869	574.0	173.61923	699.0	151.38141	371.0	74.03294	1226.0	420.3749	
112	86678.0	18911.959	329.0	50.23553	595.0	179.25366	747.0	165.20917	387.0	77.70609	1264.0	432.78543	
113	86533.0	18873.896	341.0	52.698353	620.0	186.17982	797.0	177.44948	406.0	81.93996	1303.0	444.98776	
114	86401.0	18840.947	353.0	55.119526	650.0	194.68448	835.0	185.90631	427.0	86.544395	1334.0	453.95453	
115	86252.0	18802.63	363.0	57.20843	681.0	203.77606	879.0	196.17476	452.0	92.40469	1373.0	464.97055	
116	86097.0	18764.922	384.0	61.535038	706.0	210.99239	927.0	207.33417	480.0	98.800026	1406.0	473.5897	
117	85929.0	18727.623	405.0	65.47635	737.0	219.5127	984.0	217.98315	511.0	105.73452	1434.0	480.8411	
118	85755.0	18686.969	427.0	69.96142	775.0	229.43694	1031.0	227.68776	541.0	112.56938	1471.0	490.54053	
119	85598.0	18651.34	445.0	73.647194	807.0	237.92989	1076.0	236.45457	564.0	117.84861	1510.0	499.94534	
120	85444.0	18615.967	460.0	76.80611	839.0	246.62029	1116.0	244.36395	591.0	124.109886	1550.0	509.3153	
121	85267.0	18574.963	481.0	81.878746	871.0	254.73584	1168.0	255.81334	622.0	131.14008	1591.0	518.6571	
122	85091.0	18533.82	500.0	86.762726	894.0	260.68082	1220.0	267.45236	656.0	139.44643	1639.0	529.0267	
123	84916.0	18493.322	529.0	93.96928	915.0	266.0701	1268.0	277.0832	681.0	145.63354	1691.0	541.1088	
124	84731.0	18452.547	549.0	99.013466	939.0	271.33136	1325.0	288.699	700.0	150.40674	1756.0	555.17834	
125	84559.0	18414.707	563.0	102.46159	959.0	276.09573	1376.0	298.49884	728.0	157.70514	1815.0	567.7107	
126	84382.0	18376.982	581.0	106.50387	981.0	281.2644	1432.0	308.85538	757.0	165.8904	1867.0	577.69006	
127	84217.0	18341.324	601.0	111.063095	1002.0	286.17807	1475.0	317.15063	778.0	171.83264	1927.0	589.6482	
128	84053.0	18306.307	622.0	115.92702	1021.0	290.70767	1514.0	323.8413	807.0	179.73436	1983.0	600.6684	
129	83892.0	18273.2	642.0	120.296906	1042.0	295.77206	1553.0	329.22464	840.0	188.7709	2031.0	609.91956	
130	83742.0	18239.912	663.0	124.91803	1060.0	300.3121	1590.0	336.28848	870.0	197.60411	2075.0	618.134	
131	83571.0	18201.242	687.0	129.93883	1080.0	304.7492	1627.0	342.7954	909.0	209.537	2126.0	628.9019	
132	83389.0	18160.236	714.0	136.29977	1104.0	310.42084	1672.0	349.89185	954.0	223.46004	2167.0	636.8479	
133	83214.0	18120.445	741.0	142.92386	1136.0	317.27502	1705.0	354.81964	1004.0	238.28195	2200.0	643.4061	
134	83023.0	18078.795	772.0	151.13034	1174.0	326.16498	1749.0	360.90698	1037.0	248.24246	2245.0	651.91486	
135	82824.0	18032.514	804.0	159.59924	1205.0	333.81973	1789.0	366.39966	1085.0	262.92426	2293.0	661.9081	
136	82608.0	17982.957	827.0	165.72173	1238.0	342.01358	1835.0	372.79224	1136.0	279.4958	2356.0	674.1854	
137	82376.0	17928.053	851.0	172.60503	1283.0	353.15616	1877.0	378.69675	1196.0	297.59384	2417.0	687.06165	
138	82163.0	17877.703	868.0	177.7899	1309.0	359.53418	1921.0	384.6587	1265.0	318.54297	2474.0	698.9239	
139	81924.0	17821.865	904.0	187.42386	1363.0	371.7775	1958.0	389.3412	1330.0	337.92188	2521.0	708.8246	
140	81697.0	17767.963	937.0	195.622	1403.0	381.67947	1993.0	394.46814	1394.0	357.9506	2576.0	719.4587	
141	81474.0	17713.354	974.0	205.60889	1450.0	393.69287	2025.0	398.86465	1449.0	376.12482	2628.0	729.4831	
142	81232.0	17655.324	1001.0	212.57904	1507.0	408.06226	2070.0	405.38577	1514.0	397.51743	2676.0	738.2529	
143	81005.0	17599.209	1021.0	217.89238	1570.0	423.94434	2104.0	409.65408	1585.0	420.6064	2715.0	745.8139	
144	80763.0	17543.516	1052.0	225.58487	1632.0	438.76727	2133.0	413.84866	1650.0	439.8201	2770.0	755.57294	
145	80532.0	17490.365	1078.0	233.04764	1693.0	452.3996	2169.0	418.87848	1711.0	459.01126	2817.0	763.39703	
146	80275.0	17431.299	1106.0	240.88661	1762.0	468.99496	2212.0	424.7242	1781.0	480.17685	2864.0	771.0144	
147	80046.0	17381.598	1127.0	246.19868	1818.0	481.0162	2245.0	429.28177	1848.0	499.34845	2916.0	779.6517	
148	79803.0	17325.848	1145.0	251.39287	1883.0	497.4234	2278.0	433.17725	1919.0	520.94507	2972.0	788.2988	
149	79573.0	17271.2	1166.0	257.70398	1945.0	512.5227	2301.0	436.24673	1994.0	543.6203	3021.0	795.7717	
150	79316.0	17210.176	1189.0	264.98395	2006.0	528.8333	2336.0	440.16235	2073.0	568.29364	3080.0	804.6284	
151	79070.0	17149.486	1220.0	275.85352	2067.0	544.3736	2366.0	443.82687	2147.0	590.8219	3130.0	812.73926	
152	78801.0	17085.32	1244.0	284.63144	2154.0	565.4757	2399.0	447.57574	2218.0	612.6259	3184.0	821.4701	
153	78535.0	17023.46	1277.0	293.60483	2234.0	584.1548	2436.0	452.11606	2296.0	636.23193	3222.0	827.50146	
154	78275.0	16964.283	1317.0	304.86478	2304.0	599.4799	2465.0	455.33405	2362.0	656.8247	3277.0	836.28296	
155	78028.0	16909.383	1336.0	310.8242	2375.0	615.7298	2503.0	460.53717	2427.0	675.3952	3331.0	845.1758	
156	77748.0	16846.854	1366.0	319.95453	2449.0	631.0672	2538.0	465.15958	2486.0	694.5765	3413.0	859.43567	
157	77466.0	16782.291	1398.0	329.9761	2519.0	646.8335	2579.0	470.92444	2559.0	715.83966	3479.0	871.1961	
158	77146.0	16709.254	1437.0	341.69577	2593.0	661.38544	2622.0	476.83545	2629.0	739.2941	3573.0	888.60425	
159	76862.0	16643.219	1466.0	350.6612	2660.0	675.4099	2653.0	480.96207	2710.0	763.486	3649.0	903.30835	
160	76557.0	16574.86	1495.0	358.67596	2740.0	692.9068	2690.0	486.06412	2795.0	789.21106	3723.0	915.3473	
161	76217.0	16498.85	1529.0	368.26843	2818.0	709.8193	2745.0	493.498	2889.0	817.8347	3802.0	928.77606	
