SIMULATION PARAMETERS:
n = 18
m = 32
p = 6
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	NATION 5 S	NATION 5 R	NATION 5 A_BAR	NATION 5 ACTION	
459	295	71.42807	7.292517	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	96	22.962778	6.4375	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.073684	Contest	
460	295	71.42807	7.294915	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	95	22.711254	6.4375	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.100529	Contest	
461	295	71.42807	7.294915	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	95	22.711254	6.463158	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.094737	Contest	
462	296	71.80331	7.294915	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	94	22.297394	6.463158	Contest	0	-0.77104974	0.0	Abandon	190	41.83277	7.094737	Contest	
463	296	71.80331	7.2972975	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	94	22.336018	6.4042554	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.073684	Contest	
464	297	72.18436	7.2972975	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	93	21.916346	6.4468083	Contest	0	-0.77104974	0.0	Abandon	190	41.83277	7.094737	Contest	
465	297	72.18436	7.299663	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	93	21.916346	6.387097	Contest	0	-0.77104974	0.0	Abandon	190	41.83277	7.073684	Contest	
466	297	72.18436	7.299663	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	21.664822	6.387097	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.073684	Contest	
467	297	72.18436	7.299663	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	93	21.95497	6.4347825	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.078534	Contest	
468	297	72.18436	7.299663	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	21.664822	6.4301076	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.094737	Contest	
469	298	72.31466	7.299663	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	21.824669	6.4347825	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.078534	Contest	
470	299	72.34682	7.295302	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	22.044035	6.3913045	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.094737	Contest	
471	300	72.522644	7.304348	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	22.047699	6.3586955	Contest	0	-0.77104974	0.0	Abandon	188	41.363132	7.100529	Contest	
472	300	72.522644	7.3	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	22.047699	6.326087	Contest	0	-0.77104974	0.0	Abandon	188	41.363132	7.0957446	Contest	
473	299	72.34682	7.3	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	92	22.044035	6.326087	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.0957446	Contest	
474	300	72.522644	7.304348	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	90	21.61668	6.3586955	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.100529	Contest	
475	301	73.522644	7.3	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	90	20.868204	6.3333335	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.094737	Contest	
476	302	73.57399	7.2890368	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	88	20.565336	6.2444444	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.100529	Contest	
477	301	72.57399	7.3046355	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	88	21.275188	6.284091	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.094737	Contest	
478	302	73.57399	7.30897	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	88	20.565336	6.3295455	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.078534	Contest	
479	302	72.63914	7.3046355	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	88	21.50019	6.284091	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.094737	Contest	
480	302	72.63914	7.3112583	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	88	21.461567	6.2954545	Contest	0	-0.77104974	0.0	Abandon	190	41.83277	7.094737	Contest	
481	302	72.63914	7.3112583	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	89	21.751715	6.25	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.073684	Contest	
482	303	73.63914	7.3112583	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	88	20.751715	6.269663	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.100529	Contest	
483	304	73.7783	7.3135314	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	87	20.61255	6.25	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.100529	Contest	
484	305	73.91171	7.3157897	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	86	20.479137	6.229885	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.100529	Contest	
485	305	73.91171	7.3180327	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	85	20.227613	6.1976743	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.100529	Contest	
486	306	73.97582	7.3180327	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	84	20.124878	6.2235293	Contest	0	-0.77104974	0.0	Abandon	190	41.83277	7.094737	Contest	
487	306	73.97582	7.3202615	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	83	19.873354	6.154762	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.073684	Contest	
488	306	73.97582	7.3202615	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	83	19.909002	6.204819	Contest	0	-0.77104974	0.0	Abandon	191	42.048653	7.078534	Contest	
489	307	74.087456	7.3202615	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	81	19.50722	6.1566267	Contest	0	-0.77104974	0.0	Abandon	192	42.3388	7.0890055	Contest	
490	307	74.087456	7.315961	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	81	19.50722	6.2098765	Contest	0	-0.77104974	0.0	Abandon	192	42.3388	7.0833335	Contest	
491	308	74.20002	7.315961	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	80	19.394659	6.2098765	Contest	0	-0.77104974	0.0	Abandon	192	42.3388	7.0833335	Contest	
492	309	74.28158	7.318182	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	79	19.291475	6.1875	Contest	0	-0.77104974	0.0	Abandon	192	42.360428	7.0833335	Contest	
493	309	74.28158	7.3203883	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	79	19.291475	6.113924	Contest	0	-0.77104974	0.0	Abandon	192	42.360428	7.0625	Contest	
494	309	74.28158	7.3203883	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	79	19.291475	6.113924	Contest	0	-0.77104974	0.0	Abandon	192	42.360428	7.0625	Contest	
495	310	74.39558	7.3203883	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	78	19.1991	6.113924	Contest	0	-0.77104974	0.0	Abandon	192	42.3388	7.0625	Contest	
496	310	74.39558	7.316129	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	79	19.489248	6.1923075	Contest	0	-0.77104974	0.0	Abandon	191	42.048653	7.0833335	Contest	
497	310	74.39558	7.316129	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	80	19.743748	6.164557	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.0890055	Contest	
498	311	74.573524	7.316129	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	78	19.275654	6.2125	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.094737	Contest	
499	311	74.573524	7.318328	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	79	19.565802	6.1923075	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.078534	Contest	
500	312	74.695984	7.318328	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	78	19.443344	6.189873	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.094737	Contest	
501	313	74.89592	7.320513	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	78	19.49493	6.1666665	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.094737	Contest	
502	314	75.19693	7.322684	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	77	19.19392	6.1153846	Contest	0	-0.77104974	0.0	Abandon	189	41.542625	7.100529	Contest	
503	315	75.57419	7.3248405	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	75	18.565138	6.090909	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.100529	Contest	
504	316	75.76707	7.326984	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.082108	6.0933332	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.094737	Contest	
505	317	75.91871	7.329114	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	72	17.930464	6.0684934	Contest	0	-0.77104974	0.0	Abandon	191	42.084297	7.078534	Contest	
506	318	75.99781	7.33123	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	72	18.141506	6.0416665	Contest	0	-0.77104974	0.0	Abandon	190	41.79415	7.078534	Contest	
507	318	75.99781	7.3333335	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	72	18.102882	6.013889	Contest	0	-0.77104974	0.0	Abandon	190	41.83277	7.094737	Contest	
508	319	76.30683	7.3333335	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.39303	5.9583335	Contest	0	-0.77104974	0.0	Abandon	188	41.233604	7.073684	Contest	
509	319	76.30683	7.3291535	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.321001	5.9863014	Contest	0	-0.77104974	0.0	Abandon	188	41.305637	7.0957446	Contest	
510	320	76.34981	7.3291535	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	72	18.278023	6.0136986	Contest	0	-0.77104974	0.0	Abandon	188	41.305637	7.074468	Contest	
511	321	76.43104	7.33125	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	71	18.26882	5.986111	Contest	0	-0.77104974	0.0	Abandon	188	41.233604	7.074468	Contest	
512	321	76.43104	7.3333335	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	72	18.448315	5.9295774	Contest	0	-0.77104974	0.0	Abandon	187	41.05411	7.0957446	Contest	
513	321	76.43104	7.3333335	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.691477	5.9583335	Contest	0	-0.77104974	0.0	Abandon	186	40.81095	7.090909	Contest	
514	322	76.747246	7.3333335	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.567938	5.9589043	Contest	0	-0.77104974	0.0	Abandon	185	40.61828	7.096774	Contest	
515	323	77.152504	7.335404	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	72	18.16268	5.9315066	Contest	0	-0.77104974	0.0	Abandon	185	40.61828	7.081081	Contest	
516	323	77.152504	7.3374615	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.317247	5.9027777	Contest	0	-0.77104974	0.0	Abandon	184	40.46371	7.081081	Contest	
517	323	77.152504	7.3374615	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	73	18.317247	5.9041095	Contest	0	-0.77104974	0.0	Abandon	184	40.46371	7.097826	Contest	
518	324	77.47401	7.3374615	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	71	17.803074	5.9041095	Contest	0	-0.77104974	0.0	Abandon	185	40.65638	7.097826	Contest	
519	324	77.47401	7.339506	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	71	17.841177	5.8450704	Contest	0	-0.77104974	0.0	Abandon	185	40.618275	7.1027026	Contest	
520	325	77.796776	7.339506	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	69	17.325739	5.8732395	Contest	0	-0.77104974	0.0	Abandon	186	40.810944	7.081081	Contest	
521	325	77.796776	7.3415384	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	70	17.51841	5.826087	Contest	0	-0.77104974	0.0	Abandon	185	40.61827	7.096774	Contest	
522	325	77.796776	7.3415384	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	70	17.51841	5.8285713	Contest	0	-0.77104974	0.0	Abandon	185	40.61827	7.081081	Contest	
523	325	77.796776	7.3415384	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	69	17.325739	5.8285713	Contest	0	-0.77104974	0.0	Abandon	186	40.810944	7.081081	Contest	
524	325	77.796776	7.3415384	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	70	17.51841	5.826087	Contest	0	-0.77104974	0.0	Abandon	185	40.61827	7.096774	Contest	
525	326	78.12086	7.3415384	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	69	17.194326	5.8285713	Contest	0	-0.77104974	0.0	Abandon	185	40.61827	7.081081	Contest	
526	327	78.27457	7.3435583	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	69	17.19518	5.7826085	Contest	0	-0.77104974	0.0	Abandon	184	40.463703	7.081081	Contest	
527	328	78.38813	7.345566	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	68	17.326532	5.7391305	Contest	0	-0.77104974	0.0	Abandon	184	40.21879	7.097826	Contest	
528	328	78.38813	7.347561	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	67	16.888945	5.647059	Contest	0	-0.77104974	0.0	Abandon	185	40.656376	7.0869565	Contest	
529	328	78.38813	7.347561	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	66	16.734377	5.671642	Contest	0	-0.77104974	0.0	Abandon	186	40.810944	7.1027026	Contest	
530	329	78.5641	7.347561	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	65	16.49955	5.6969695	Contest	0	-0.77104974	0.0	Abandon	186	40.869797	7.096774	Contest	
531	329	78.5641	7.349544	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	65	16.49955	5.6307693	Contest	0	-0.77104974	0.0	Abandon	186	40.869797	7.0537634	Contest	
532	329	78.5641	7.349544	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	64	16.306879	5.6307693	Contest	0	-0.77104974	0.0	Abandon	187	41.06247	7.0537634	Contest	
533	329	78.5641	7.349544	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	65	16.558403	5.65625	Contest	0	-0.77104974	0.0	Abandon	186	40.810944	7.080214	Contest	
534	329	78.5641	7.349544	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	64	16.306879	5.6615386	Contest	0	-0.77104974	0.0	Abandon	187	41.06247	7.096774	Contest	
535	329	78.5641	7.349544	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	63	16.127384	5.65625	Contest	0	-0.77104974	0.0	Abandon	188	41.241962	7.080214	Contest	
536	330	78.75087	7.349544	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	62	15.901998	5.6190476	Contest	0	-0.77104974	0.0	Abandon	188	41.280582	7.0851064	Contest	
537	330	78.75087	7.3454547	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	62	15.940619	5.580645	Contest	0	-0.77104974	0.0	Abandon	188	41.241962	7.06383	Contest	
538	330	78.75087	7.3454547	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	61	15.650473	5.645161	Contest	0	-0.77104974	0.0	Abandon	189	41.53211	7.0851064	Contest	
539	330	78.75087	7.3454547	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	61	15.650473	5.639344	Contest	0	-0.77104974	0.0	Abandon	189	41.53211	7.0687833	Contest	
540	330	78.75087	7.3454547	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	62	15.940619	5.639344	Contest	0	-0.77104974	0.0	Abandon	188	41.241962	7.0687833	Contest	
541	331	78.8914	7.3454547	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	61	15.650473	5.645161	Contest	0	-0.77104974	0.0	Abandon	188	41.39158	7.0851064	Contest	
542	332	79.29172	7.347432	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	61	15.686119	5.639344	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.06383	Contest	
543	333	79.73361	7.3433733	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	60	15.208575	5.5409837	Contest	0	-0.77104974	0.0	Abandon	187	40.99126	7.0588236	Contest	
544	333	79.73361	7.3393393	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	60	15.244222	5.5666666	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.0588236	Contest	
545	333	79.73361	7.3393393	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	60	15.208575	5.4666667	Contest	0	-0.77104974	0.0	Abandon	187	40.99126	7.0588236	Contest	
546	333	79.73361	7.3393393	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	59	14.954075	5.5666666	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0588236	Contest	
547	333	79.73361	7.3393393	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	59	14.954075	5.4915257	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
548	334	80.12323	7.3393393	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	58	14.564459	5.4915257	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
549	335	80.51899	7.341317	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	57	14.147072	5.448276	Contest	0	-0.77104974	0.0	Abandon	188	41.26739	7.0531917	Contest	
550	335	80.51899	7.3432837	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	57	14.1687	5.3333335	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0319147	Contest	
551	335	80.51899	7.3432837	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	57	14.1687	5.4035087	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
552	336	80.80505	7.3432837	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	56	13.882637	5.4035087	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
553	336	80.80505	7.345238	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	57	14.172784	5.357143	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.0531917	Contest	
554	337	81.087074	7.345238	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	55	13.600619	5.3333335	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0588236	Contest	
555	337	81.087074	7.347181	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	55	13.600619	5.309091	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
556	338	81.295975	7.347181	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	54	13.370093	5.309091	Contest	0	-0.77104974	0.0	Abandon	188	41.26739	7.0531917	Contest	
557	339	81.44521	7.3491125	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	53	13.220852	5.185185	Contest	0	-0.77104974	0.0	Abandon	188	41.26739	7.0319147	Contest	
558	340	81.59173	7.3510323	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	52	13.07434	5.1320753	Contest	0	-0.77104974	0.0	Abandon	188	41.26739	7.0319147	Contest	
559	341	81.734955	7.352941	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	52	13.242885	5.076923	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.0319147	Contest	
560	342	81.993866	7.354839	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	51	12.98397	5.076923	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.0588236	Contest	
561	342	81.993866	7.3508773	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	50	12.693823	5.098039	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0588236	Contest	
562	342	81.993866	7.3508773	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	49	12.382048	5.12	Contest	0	-0.77104974	0.0	Abandon	189	41.557537	7.0531917	Contest	
563	342	81.993866	7.3508773	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	49	12.474805	5.102041	Contest	0	-0.77104974	0.0	Abandon	189	41.46478	7.037037	Contest	
564	342	81.993866	7.3508773	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	49	12.474805	4.979592	Contest	0	-0.77104974	0.0	Abandon	189	41.46478	7.037037	Contest	
565	343	82.56552	7.3508773	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	48	11.8103895	4.979592	Contest	0	-0.77104974	0.0	Abandon	189	41.557537	7.037037	Contest	
566	344	83.048706	7.3469386	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	48	11.638979	5.0	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.037037	Contest	
567	344	83.048706	7.3488374	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	49	11.929126	4.9583335	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.0531917	Contest	
568	344	83.048706	7.3488374	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	49	11.893479	4.9387755	Contest	0	-0.77104974	0.0	Abandon	187	40.99126	7.0588236	Contest	
569	345	83.547905	7.3488374	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	48	11.429926	5.0612245	Contest	0	-0.77104974	0.0	Abandon	187	40.955616	7.0588236	Contest	
570	346	83.95375	7.3507247	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	48	11.278583	4.875	Contest	0	-0.77104974	0.0	Abandon	186	40.701115	7.0588236	Contest	
571	347	84.33562	7.352601	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	47	10.858098	4.9583335	Contest	0	-0.77104974	0.0	Abandon	186	40.739735	7.0752687	Contest	
572	347	84.33562	7.354467	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	47	10.89672	4.808511	Contest	0	-0.77104974	0.0	Abandon	186	40.701115	7.0537634	Contest	
573	348	85.00645	7.354467	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	46	10.225886	4.893617	Contest	0	-0.77104974	0.0	Abandon	186	40.701115	7.0752687	Contest	
574	349	85.67119	7.3505745	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	46	9.812673	4.9130435	Contest	0	-0.77104974	0.0	Abandon	185	40.44959	7.0752687	Contest	
575	350	86.24008	7.346705	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	45	9.171746	4.9130435	Contest	0	-0.77104974	0.0	Abandon	185	40.52162	7.081081	Contest	
576	351	86.76212	7.3542857	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	44	8.721735	5.111111	Contest	0	-0.77104974	0.0	Abandon	185	40.44959	7.07027	Contest	
577	352	87.26113	7.350427	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	42	7.9712043	5.0454545	Contest	0	-0.77104974	0.0	Abandon	186	40.701115	7.081081	Contest	
578	352	87.26113	7.346591	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	41	7.6810575	5.095238	Contest	0	-0.77104974	0.0	Abandon	187	40.99126	7.0752687	Contest	
579	352	87.26113	7.346591	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	40	7.4265575	5.0731707	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0588236	Contest	
580	352	87.26113	7.346591	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	40	7.4265575	4.95	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
581	353	87.47962	7.346591	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	39	7.208064	4.95	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
582	353	87.47962	7.354108	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	39	7.208064	4.923077	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
583	354	87.72321	7.354108	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	38	6.964473	4.923077	Contest	0	-0.77104974	0.0	Abandon	188	41.24576	7.0531917	Contest	
584	355	87.93889	7.3502827	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	36	6.4370217	4.9473686	Contest	0	-0.77104974	0.0	Abandon	189	41.557537	7.0531917	Contest	
585	355	87.93889	7.352113	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	35	6.2180037	4.8333335	Contest	0	-0.77104974	0.0	Abandon	190	41.776554	7.037037	Contest	
586	356	88.242096	7.352113	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	34	5.914799	4.6857142	Contest	0	-0.77104974	0.0	Abandon	190	41.776554	7.031579	Contest	
587	356	88.242096	7.348315	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	34	5.914799	4.7058825	Contest	0	-0.77104974	0.0	Abandon	190	41.776554	7.031579	Contest	
588	356	88.242096	7.348315	Contest	0	-0.4863743	0.0	Contest	0	-0.18036006	0.0	Contest	33	5.783695	4.7058825	Contest	0	-0.77104974	0.0	Abandon	191	41.907658	7.031579	Contest	
