SIMULATION PARAMETERS:
n = 18
m = 32
p = 6
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	NATION 5 S	NATION 5 R	NATION 5 A_BAR	NATION 5 ACTION	
27	27	9.985085	5.6923075	Colonize	27	8.053535	5.6923075	Colonize	27	5.745548	5.8461537	Colonize	27	10.0986805	5.6923075	Colonize	27	7.824767	5.8461537	Colonize	27	9.611869	5.769231	Colonize	
28	28	10.287336	5.7777777	Colonize	28	8.266751	5.7777777	Colonize	28	5.936648	5.851852	Colonize	28	10.540578	5.7777777	Colonize	28	8.300796	5.851852	Colonize	28	9.841139	5.7777777	Colonize	
29	29	10.382136	5.857143	Colonize	29	8.418898	5.857143	Colonize	29	6.1095505	5.857143	Colonize	29	10.945836	5.857143	Colonize	29	8.6304655	5.928571	Colonize	29	10.075194	5.857143	Colonize	
30	30	10.910471	5.862069	Colonize	30	8.766982	5.862069	Colonize	30	6.2950587	6.0	Colonize	30	11.326883	5.9310346	Colonize	30	8.956277	6.0	Colonize	30	10.313051	5.862069	Colonize	
31	31	11.302302	5.8	Colonize	31	9.009694	5.866667	Colonize	31	6.4737706	6.0	Colonize	31	11.848925	6.0	Colonize	31	9.159937	6.0	Contest	31	10.544213	5.866667	Colonize	
32	32	11.6682625	5.870968	Colonize	32	9.206847	5.935484	Colonize	32	6.7627735	6.0	Colonize	32	12.230787	5.935484	Colonize	32	9.555162	6.0	Colonize	32	10.766507	5.806452	Colonize	
33	33	12.104045	5.9375	Colonize	33	9.294804	6.0	Colonize	33	6.9695063	5.9375	Colonize	33	12.512805	6.0	Colonize	33	9.833676	5.9375	Colonize	33	10.976129	5.9375	Colonize	
34	34	12.4086275	6.0	Colonize	34	9.308542	6.060606	Colonize	34	7.118331	5.939394	Colonize	34	12.829015	6.060606	Colonize	34	10.098622	6.0	Colonize	34	11.151918	6.0	Colonize	
35	35	12.679468	6.0588236	Colonize	35	9.377335	6.117647	Colonize	35	7.3415236	6.0588236	Colonize	35	13.204251	6.117647	Contest	35	10.2233	6.0588236	Colonize	35	11.34716	6.0588236	Colonize	
36	36	12.865782	6.114286	Colonize	36	9.63659	6.114286	Colonize	36	7.5244102	6.114286	Colonize	36	13.47042	6.114286	Contest	36	10.345758	6.114286	Colonize	36	11.452768	6.114286	Colonize	
37	37	13.356025	6.111111	Colonize	37	9.842274	6.111111	Colonize	37	7.8670125	6.111111	Colonize	37	13.773624	6.1666665	Colonize	37	10.412039	6.1666665	Colonize	37	11.7370205	6.111111	Colonize	
38	38	13.806091	6.108108	Colonize	38	9.956663	6.0540543	Colonize	38	8.159125	6.108108	Colonize	38	13.989301	6.108108	Colonize	38	10.690169	6.1621623	Colonize	38	12.014009	6.108108	Colonize	
39	39	14.188913	6.1578946	Colonize	39	10.154297	6.1578946	Colonize	39	8.433497	6.1578946	Colonize	39	14.138542	6.1578946	Colonize	39	10.919577	6.105263	Colonize	39	12.241388	6.1578946	Colonize	
40	40	14.400313	6.1538463	Colonize	40	10.293517	6.205128	Colonize	40	8.601507	6.1538463	Colonize	40	14.219774	6.205128	Colonize	40	11.094201	6.1538463	Colonize	40	12.462875	6.205128	Colonize	
41	41	14.564737	6.2	Colonize	41	10.459867	6.25	Colonize	41	8.80113	6.2	Colonize	41	14.423074	6.25	Colonize	41	11.2161	6.2	Colonize	41	12.626801	6.25	Colonize	
42	42	15.032012	6.195122	Colonize	42	10.704547	6.292683	Colonize	42	9.243932	6.195122	Colonize	42	14.6020155	6.195122	Colonize	42	11.416037	6.243902	Colonize	42	12.806969	6.292683	Colonize	
43	43	15.478501	6.1904764	Colonize	43	10.928204	6.285714	Colonize	43	9.677194	6.1904764	Colonize	43	14.748528	6.2380953	Colonize	43	11.580341	6.285714	Colonize	43	12.958027	6.285714	Colonize	
44	44	15.894012	6.2325583	Colonize	44	11.094062	6.2325583	Colonize	44	10.072813	6.2325583	Colonize	44	14.862093	6.27907	Colonize	44	11.94386	6.27907	Colonize	44	13.325011	6.27907	Colonize	
45	45	16.186325	6.2272725	Colonize	45	11.218857	6.2727275	Colonize	45	10.39982	6.2727275	Colonize	45	14.974653	6.318182	Colonize	45	12.244869	6.2272725	Colonize	45	13.658352	6.2727275	Colonize	
46	46	16.513153	6.266667	Contest	46	11.322714	6.311111	Colonize	46	10.679641	6.266667	Colonize	46	15.113817	6.3555555	Colonize	46	12.348282	6.266667	Colonize	46	13.927517	6.311111	Colonize	
47	47	16.815037	6.304348	Contest	47	11.428637	6.347826	Colonize	47	10.916284	6.2608695	Colonize	47	15.351724	6.347826	Colonize	47	12.400486	6.304348	Colonize	47	14.111939	6.347826	Colonize	
48	48	17.086843	6.3404255	Contest	48	11.638766	6.382979	Colonize	48	11.096421	6.212766	Colonize	48	15.494954	6.2978725	Colonize	48	12.502747	6.3404255	Colonize	48	14.251835	6.382979	Colonize	
49	49	17.31011	6.375	Contest	49	11.823459	6.4166665	Colonize	49	11.25713	6.25	Colonize	49	15.55925	6.2916665	Colonize	49	12.606875	6.375	Colonize	49	14.500915	6.4166665	Colonize	
50	50	17.755173	6.367347	Colonize	50	12.167998	6.408163	Colonize	50	11.425046	6.285714	Colonize	50	15.735224	6.367347	Colonize	50	12.984133	6.367347	Colonize	50	14.591778	6.408163	Colonize	
51	51	18.170813	6.32	Colonize	51	12.462051	6.4	Colonize	51	11.5069685	6.32	Colonize	51	15.816781	6.4	Colonize	51	13.292433	6.36	Colonize	51	15.082967	6.4	Colonize	
52	52	18.557785	6.352941	Colonize	52	12.622599	6.392157	Colonize	52	11.63165	6.352941	Colonize	52	15.880894	6.4313726	Colonize	52	13.465542	6.352941	Contest	52	15.490436	6.392157	Colonize	
53	53	18.969782	6.3846154	Colonize	53	12.797309	6.423077	Colonize	53	11.728496	6.3846154	Colonize	53	16.139809	6.423077	Colonize	53	13.533136	6.3846154	Contest	53	15.854486	6.423077	Colonize	
54	54	19.43457	6.4150944	Contest	54	13.058992	6.4528303	Colonize	54	11.759585	6.4150944	Colonize	54	16.326572	6.4150944	Colonize	54	13.61857	6.4150944	Contest	54	16.121002	6.4528303	Colonize	
55	55	19.997534	6.4444447	Colonize	55	13.43654	6.4814816	Colonize	55	11.969379	6.4444447	Colonize	55	16.441187	6.4444447	Colonize	55	13.873071	6.4444447	Colonize	55	16.446987	6.4814816	Colonize	
56	56	20.558147	6.4363637	Colonize	56	13.566946	6.4363637	Colonize	56	12.175352	6.4363637	Colonize	56	16.591654	6.4727273	Colonize	56	14.092089	6.4363637	Colonize	56	16.741922	6.509091	Colonize	
57	57	21.041039	6.392857	Colonize	57	13.674754	6.428571	Colonize	57	12.380829	6.464286	Colonize	57	16.705656	6.464286	Colonize	57	14.271584	6.464286	Colonize	57	16.84887	6.5	Colonize	
58	58	21.482302	6.4561405	Contest	58	13.806228	6.491228	Colonize	58	12.532136	6.4561405	Colonize	58	16.817291	6.491228	Colonize	58	14.464254	6.491228	Colonize	58	17.139036	6.491228	Colonize	
