SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 20
recruit_likeliness = 0.5
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	NATION 10 SIZE	NATION 10 RESOURCES	NATION 11 SIZE	NATION 11 RESOURCES	NATION 12 SIZE	NATION 12 RESOURCES	NATION 13 SIZE	NATION 13 RESOURCES	NATION 14 SIZE	NATION 14 RESOURCES	NATION 15 SIZE	NATION 15 RESOURCES	NATION 16 SIZE	NATION 16 RESOURCES	NATION 17 SIZE	NATION 17 RESOURCES	NATION 18 SIZE	NATION 18 RESOURCES	NATION 19 SIZE	NATION 19 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
72	230380.0	52735.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
73	230301.0	52718.25	7.0	3.224736	3.0	1.3476264	8.0	2.0288255	6.0	2.597996	3.0	1.6027672	3.0	1.2566463	4.0	1.7923088	2.0	1.1912576	6.0	1.5350335	5.0	1.6820333	5.0	1.7370979	6.0	1.3349637	6.0	2.1235173	3.0	1.6887326	5.0	1.8301066	4.0	2.0839715	7.0	1.6927303	4.0	1.3776963	6.0	1.9172736	6.0	3.4926171	
74	230124.0	52676.652	16.0	6.576991	9.0	2.385467	20.0	3.8361857	16.0	5.8237634	14.0	4.864442	8.0	1.9206067	12.0	3.8735538	7.0	2.1899025	18.0	3.050826	13.0	3.2761917	16.0	3.6226778	12.0	1.8067085	17.0	4.6055994	13.0	5.0209885	15.0	4.082499	10.0	4.2242236	17.0	2.9891598	12.0	2.2896705	12.0	3.103835	19.0	9.601438	
75	229808.0	52605.46	29.0	11.247526	18.0	3.9798796	38.0	6.782972	32.0	10.931457	27.0	8.65898	24.0	3.970828	30.0	7.9723473	19.0	4.9190598	33.0	5.342962	31.0	7.077271	34.0	6.798872	27.0	3.0422735	38.0	9.480067	28.0	10.073031	34.0	8.75969	23.0	8.891733	34.0	5.418635	28.0	4.4098945	32.0	6.7888002	33.0	15.800937	
76	229344.0	52499.875	44.0	16.178076	42.0	8.203266	68.0	11.363977	53.0	17.268974	50.0	15.119863	45.0	6.4528346	50.0	12.402348	40.0	10.35893	58.0	9.410103	49.0	11.342432	55.0	10.017806	48.0	5.003914	67.0	16.56101	52.0	17.467936	61.0	16.07521	51.0	18.73735	59.0	9.206553	52.0	7.5523267	53.0	10.672031	59.0	26.551214	
77	228745.0	52365.676	65.0	23.13957	74.0	14.340413	103.0	16.927206	82.0	25.782776	83.0	23.4873	79.0	10.426164	73.0	17.162336	66.0	17.71933	93.0	15.911838	76.0	17.218267	82.0	14.043576	78.0	7.966146	103.0	24.790613	81.0	26.629585	98.0	26.013582	83.0	30.251556	88.0	13.6626	75.0	11.683138	85.0	15.964237	88.0	37.03597	
78	228041.0	52209.613	89.0	29.824722	109.0	21.485018	144.0	24.495426	125.0	37.904297	113.0	30.953857	120.0	15.05436	96.0	22.013683	99.0	27.475628	133.0	24.43306	107.0	24.132881	121.0	20.283268	118.0	12.185238	136.0	32.378597	118.0	37.85726	130.0	34.79275	115.0	41.472897	131.0	20.647884	109.0	17.41109	122.0	22.066065	124.0	49.34091	
79	227179.0	52016.56	112.0	34.373493	150.0	30.1569	194.0	34.012238	165.0	48.080772	154.0	40.599865	164.0	19.515606	124.0	28.0066	144.0	40.269073	179.0	34.20146	152.0	34.847515	170.0	28.604336	149.0	15.370709	176.0	42.060177	175.0	54.689934	182.0	49.426212	158.0	55.74298	178.0	28.26263	157.0	26.547953	171.0	30.362452	167.0	64.09361	
80	226178.0	51791.594	142.0	41.211224	202.0	41.085594	245.0	45.581448	217.0	60.85312	199.0	51.16705	212.0	24.946194	152.0	34.759655	195.0	55.302864	234.0	45.656414	199.0	46.883095	225.0	37.609154	202.0	20.516117	235.0	55.72427	224.0	67.78039	237.0	65.415726	205.0	71.19245	231.0	37.057316	212.0	36.761623	227.0	40.462513	227.0	84.21451	
81	225082.0	51542.887	174.0	48.154068	257.0	52.748116	308.0	60.211666	274.0	74.99399	245.0	60.651108	267.0	31.118046	191.0	45.04085	249.0	71.517525	299.0	58.61115	253.0	61.169712	280.0	45.90732	259.0	26.92187	299.0	70.77531	276.0	80.80546	300.0	84.05101	266.0	90.4411	282.0	45.95752	277.0	50.07485	277.0	50.64445	285.0	103.1138	
82	223826.0	51265.06	208.0	55.23272	330.0	67.314476	384.0	77.51679	340.0	91.80299	296.0	71.92831	335.0	39.461277	236.0	56.62326	314.0	91.4258	361.0	71.62116	307.0	76.67176	347.0	56.28763	331.0	34.916508	368.0	88.078354	348.0	98.16897	361.0	100.11101	330.0	109.103745	341.0	56.527508	341.0	61.940372	338.0	62.81149	358.0	123.169716	
83	222442.0	50959.477	254.0	62.45965	397.0	80.31275	459.0	95.86035	416.0	111.72553	349.0	81.571465	406.0	48.193195	285.0	69.81896	377.0	110.471886	440.0	88.9874	368.0	94.23567	426.0	67.81932	403.0	42.985344	446.0	107.92583	417.0	115.76434	446.0	121.30177	412.0	133.3004	411.0	69.71084	423.0	78.05275	395.0	74.75825	428.0	141.05608	
84	220977.0	50629.586	294.0	68.804985	480.0	97.34208	536.0	116.77802	500.0	135.09286	402.0	91.04723	483.0	58.803417	319.0	80.00747	465.0	137.60164	517.0	106.86892	433.0	113.398926	504.0	79.27814	477.0	51.41445	524.0	128.78041	497.0	135.0599	530.0	140.81654	500.0	157.86014	497.0	86.48904	506.0	93.07308	449.0	85.63991	510.0	162.07788	
85	219395.0	50279.297	332.0	73.38071	572.0	116.10618	627.0	141.09985	582.0	157.81625	458.0	100.84215	570.0	70.097145	365.0	92.8282	553.0	163.54938	610.0	128.52875	495.0	132.22498	595.0	91.92163	572.0	63.16319	598.0	147.25742	577.0	155.45406	625.0	163.37715	592.0	185.91364	605.0	108.88671	582.0	107.84717	500.0	95.5677	595.0	180.53015	
86	217691.0	49908.91	363.0	77.050026	670.0	134.58133	713.0	163.48569	674.0	183.93814	526.0	111.66523	675.0	86.092804	406.0	103.38282	666.0	195.94775	707.0	151.78593	556.0	150.52359	682.0	104.96464	664.0	74.56204	685.0	169.06332	673.0	178.63034	727.0	186.01143	684.0	212.75948	705.0	129.3754	673.0	124.097176	574.0	110.08939	686.0	198.90834	
87	215853.0	49505.383	409.0	82.08396	771.0	153.63203	824.0	192.07729	772.0	208.72241	591.0	121.01895	785.0	102.93063	458.0	118.02267	758.0	222.60893	818.0	180.20529	626.0	173.38829	793.0	123.34153	763.0	87.491974	775.0	191.90283	787.0	206.69458	841.0	210.96309	788.0	243.97897	802.0	149.37198	790.0	147.13168	632.0	120.78041	764.0	214.18024	
88	213935.0	49082.23	455.0	87.115425	882.0	174.21251	944.0	224.39067	891.0	239.05653	664.0	132.53487	900.0	121.68311	507.0	133.32352	854.0	248.7899	934.0	209.41608	706.0	197.93634	906.0	142.77335	868.0	102.47268	872.0	218.44406	906.0	235.00258	959.0	235.5803	891.0	275.73465	912.0	172.78809	886.0	164.02873	685.0	131.09212	843.0	227.29497	
89	211907.0	48634.727	496.0	91.70528	1000.0	196.01027	1075.0	260.88257	1010.0	271.08032	727.0	142.59831	1001.0	138.04192	555.0	147.11638	969.0	280.78976	1048.0	237.4996	785.0	222.14261	1034.0	166.06981	978.0	118.607956	967.0	245.19675	1027.0	263.8458	1079.0	258.7865	1017.0	312.43872	1031.0	195.16522	1003.0	185.45543	750.0	143.58035	941.0	244.13414	
90	209776.0	48163.96	531.0	96.54307	1124.0	217.94366	1213.0	298.62527	1135.0	304.9417	807.0	155.23273	1106.0	155.12311	605.0	160.33946	1086.0	312.5713	1179.0	271.23663	865.0	247.22818	1160.0	190.27306	1112.0	139.02794	1062.0	269.7777	1155.0	293.62555	1209.0	283.99988	1146.0	352.0603	1151.0	220.10066	1126.0	208.91782	809.0	154.92575	1043.0	259.417	
91	207588.0	47688.96	576.0	102.61154	1249.0	240.70836	1344.0	331.87213	1270.0	339.07196	886.0	169.41682	1222.0	172.43079	653.0	174.27328	1208.0	343.93	1307.0	303.7433	937.0	269.0332	1294.0	218.85822	1244.0	160.38881	1168.0	295.9126	1307.0	329.9496	1348.0	309.96805	1281.0	389.2399	1268.0	244.68997	1245.0	229.71454	873.0	167.44704	1132.0	273.62366	
92	205293.0	47180.383	624.0	109.25944	1374.0	261.54242	1486.0	369.5481	1415.0	375.94223	967.0	185.65875	1325.0	187.52728	708.0	189.61966	1346.0	381.18564	1451.0	340.75174	1023.0	295.2485	1453.0	254.13733	1380.0	181.04655	1271.0	321.74982	1431.0	359.82886	1486.0	335.6379	1443.0	435.3355	1417.0	275.51447	1359.0	250.67198	936.0	181.08185	1212.0	284.25677	
93	202913.0	46666.848	670.0	116.09656	1517.0	284.71298	1631.0	405.89062	1567.0	415.07416	1056.0	203.02298	1439.0	205.90443	766.0	205.82051	1501.0	419.81598	1600.0	377.71536	1108.0	318.146	1604.0	289.25592	1510.0	201.61412	1375.0	349.60974	1584.0	393.1401	1622.0	356.7534	1593.0	476.26953	1558.0	304.79697	1490.0	273.94086	1002.0	196.39458	1294.0	295.07114	
94	200464.0	46137.832	712.0	122.91974	1669.0	309.16507	1781.0	443.2726	1723.0	455.1624	1155.0	221.41266	1552.0	223.2846	839.0	225.92867	1661.0	460.87457	1756.0	418.6877	1199.0	344.82983	1765.0	327.7866	1638.0	223.46892	1493.0	380.93698	1757.0	431.88403	1720.0	369.23407	1749.0	511.78497	1723.0	335.94876	1610.0	296.9539	1061.0	210.35886	1373.0	304.18875	
95	197915.0	45586.348	765.0	130.95706	1838.0	338.05505	1944.0	486.49033	1883.0	495.07657	1260.0	240.74962	1642.0	238.35858	903.0	244.4884	1821.0	502.2429	1937.0	464.52783	1313.0	375.3738	1939.0	372.5406	1774.0	247.01666	1610.0	411.9286	1916.0	466.21432	1832.0	381.6861	1912.0	548.41895	1893.0	369.27582	1714.0	317.57156	1119.0	224.67662	1470.0	313.86575	
96	195390.0	45033.004	814.0	139.54929	2009.0	367.88583	2104.0	528.39484	2050.0	535.67426	1359.0	259.9802	1729.0	253.116	958.0	263.45148	1987.0	546.7819	2119.0	510.6883	1409.0	400.16714	2111.0	414.90244	1912.0	270.6631	1736.0	443.80435	2077.0	500.7988	1938.0	395.96732	2075.0	584.15186	2074.0	405.02835	1822.0	339.79788	1172.0	238.16846	1555.0	323.82983	
97	192828.0	44482.168	874.0	150.67706	2183.0	396.88693	2286.0	573.9028	2244.0	579.0281	1456.0	278.09314	1814.0	267.62375	1026.0	282.22385	2156.0	593.42334	2295.0	557.0939	1496.0	421.09613	2281.0	456.5496	2066.0	299.64575	1862.0	474.9088	2255.0	536.0401	2030.0	407.17	2241.0	618.8811	2238.0	437.43982	1921.0	361.54117	1208.0	247.29237	1640.0	334.16058	
98	190178.0	43911.426	923.0	160.2612	2372.0	429.97446	2481.0	624.62115	2420.0	619.334	1566.0	297.56586	1933.0	287.45554	1092.0	301.8638	2360.0	648.09503	2463.0	600.37494	1571.0	440.86334	2461.0	499.89352	2216.0	329.27643	2002.0	509.0022	2427.0	567.70703	2106.0	416.84113	2431.0	654.51984	2415.0	473.29932	2016.0	382.95193	1242.0	255.422	1725.0	345.07013	
99	187411.0	43302.367	981.0	172.51405	2572.0	466.92734	2706.0	685.6908	2624.0	663.72644	1674.0	316.80106	2038.0	306.43668	1165.0	326.62225	2549.0	699.67413	2653.0	649.9584	1654.0	461.24692	2656.0	546.1599	2372.0	361.48062	2122.0	536.6558	2608.0	601.13477	2199.0	428.75775	2623.0	688.37286	2615.0	517.51196	2099.0	404.7084	1275.0	263.50137	1804.0	355.60516	
100	184632.0	42686.16	1028.0	184.17586	2761.0	501.52377	2907.0	741.64703	2827.0	706.641	1789.0	338.20538	2125.0	322.77957	1245.0	352.83557	2737.0	751.5072	2869.0	702.1164	1739.0	480.41574	2856.0	595.87726	2520.0	391.72147	2269.0	569.9234	2809.0	639.75726	2289.0	440.3851	2820.0	723.9796	2801.0	559.10876	2197.0	431.4062	1298.0	268.65762	1882.0	367.10455	
