SIMULATION PARAMETERS:
n = 225
m = 400
k = 1
p = 5
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.033333335

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
533	89995.0	19812.281	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
534	89994.0	19812.23	1.0	1.0	1.0	1.0	2.0	1.0469253	1.0	1.0	1.0	1.0	
535	89992.0	19811.902	1.0	1.0	1.0	1.0	3.0	1.1019022	2.0	1.2785589	1.0	1.0	
536	89988.0	19811.05	1.0	1.0	1.0	1.0	4.0	1.1449794	5.0	2.089132	1.0	1.0	
537	89982.0	19809.492	1.0	1.0	1.0	1.0	4.0	1.1449794	11.0	3.6430166	1.0	1.0	
538	89974.0	19807.367	1.0	1.0	1.0	1.0	4.0	1.1449794	19.0	5.766503	1.0	1.0	
539	89967.0	19805.418	1.0	1.0	1.0	1.0	4.0	1.1449794	26.0	7.7140455	1.0	1.0	
540	89956.0	19802.305	1.0	1.0	1.0	1.0	4.0	1.1449794	37.0	10.824019	1.0	1.0	
541	89942.0	19798.54	1.0	1.0	1.0	1.0	4.0	1.1449794	51.0	14.590931	1.0	1.0	
542	89922.0	19792.984	2.0	1.2208916	1.0	1.0	4.0	1.1449794	70.0	19.925453	1.0	1.0	
543	89909.0	19789.36	3.0	1.4283069	1.0	1.0	4.0	1.1449794	82.0	23.339909	1.0	1.0	
544	89883.0	19782.547	4.0	1.6505071	1.0	1.0	5.0	1.1884995	106.0	29.895035	1.0	1.0	
545	89854.0	19775.14	7.0	2.236063	1.0	1.0	5.0	1.1884995	132.0	36.71645	1.0	1.0	
546	89836.0	19770.625	10.0	2.762109	1.0	1.0	5.0	1.1884995	147.0	40.70928	1.0	1.0	
547	89819.0	19766.375	15.0	3.6185842	1.0	1.0	5.0	1.1884995	159.0	44.096287	1.0	1.0	
548	89788.0	19758.71	24.0	5.1936526	1.0	1.0	5.0	1.1884995	180.0	50.02604	2.0	1.1546791	
549	89765.0	19752.938	32.0	6.9176283	1.0	1.0	6.0	1.2306813	193.0	53.89213	3.0	1.2962514	
550	89738.0	19746.27	40.0	8.391485	1.0	1.0	7.0	1.304598	210.0	58.867584	4.0	1.4385287	
551	89717.0	19742.086	45.0	9.16132	1.0	1.0	7.0	1.304598	222.0	61.73629	8.0	1.9868475	
552	89691.0	19735.871	50.0	10.05317	1.0	1.0	7.0	1.304598	236.0	66.15921	15.0	2.8864026	
553	89654.0	19727.242	58.0	11.458738	1.0	1.0	7.0	1.304598	259.0	72.62552	21.0	3.6403391	
554	89629.0	19721.953	61.0	11.972146	1.0	1.0	8.0	1.3484501	273.0	76.446945	28.0	4.556332	
555	89595.0	19714.352	64.0	12.498926	1.0	1.0	8.0	1.3484501	293.0	81.96279	39.0	6.119969	
556	89563.0	19706.21	66.0	12.957003	1.0	1.0	8.0	1.3484501	315.0	88.32825	47.0	7.4309216	
557	89532.0	19699.055	72.0	13.996738	1.0	1.0	8.0	1.3484501	333.0	93.29298	54.0	8.575879	
558	89490.0	19689.512	79.0	15.732952	1.0	1.0	8.0	1.3484501	356.0	99.17263	66.0	10.503728	
559	89445.0	19680.066	85.0	17.113579	1.0	1.0	8.0	1.3484501	379.0	104.5378	82.0	13.209481	
560	89409.0	19672.117	90.0	18.758415	1.0	1.0	9.0	1.4196453	401.0	109.58091	90.0	14.396205	
561	89370.0	19664.023	98.0	20.850662	1.0	1.0	9.0	1.4196453	419.0	113.478035	103.0	16.495625	
562	89332.0	19654.879	109.0	24.441973	1.0	1.0	9.0	1.4196453	437.0	117.489204	112.0	18.043139	
563	89287.0	19644.496	117.0	27.13574	1.0	1.0	9.0	1.4196453	466.0	123.8541	120.0	19.357855	
564	89246.0	19634.598	130.0	31.500248	1.0	1.0	9.0	1.4196453	483.0	127.59904	131.0	21.154236	
565	89197.0	19624.223	139.0	34.394253	1.0	1.0	9.0	1.4196453	516.0	134.0136	138.0	22.22957	
566	89157.0	19615.176	150.0	37.818798	2.0	1.2250122	9.0	1.4196453	533.0	137.75578	149.0	23.88839	
567	89109.0	19603.832	163.0	41.976395	4.0	1.654284	9.0	1.4196453	554.0	142.7038	161.0	25.702833	
568	89047.0	19589.855	174.0	46.039284	9.0	2.731984	9.0	1.4196453	583.0	148.84006	178.0	28.388346	
569	89011.0	19580.602	183.0	49.543903	13.0	3.4966624	9.0	1.4196453	599.0	152.73918	185.0	29.47269	
570	88951.0	19566.105	197.0	54.76317	18.0	4.3436556	9.0	1.4196453	626.0	159.06204	199.0	31.576103	
571	88900.0	19553.191	207.0	58.938324	18.0	4.3436556	9.0	1.4196453	648.0	164.86055	218.0	34.52831	
572	88843.0	19538.562	221.0	63.720417	21.0	4.915176	9.0	1.4196453	673.0	171.9802	233.0	36.69075	
573	88779.0	19524.184	232.0	67.50625	24.0	5.468668	10.0	1.4602314	698.0	178.42114	257.0	40.242615	
574	88715.0	19509.273	244.0	71.018135	27.0	6.035953	10.0	1.4602314	728.0	186.22739	276.0	43.265327	
575	88665.0	19499.129	251.0	72.164	32.0	6.94501	11.0	1.5000777	747.0	191.38487	294.0	46.163902	
576	88597.0	19482.992	265.0	76.0829	34.0	7.2795486	12.0	1.5394727	776.0	199.09462	316.0	50.298897	
577	88531.0	19466.016	272.0	78.20878	39.0	8.11474	13.0	1.5796809	814.0	210.44759	331.0	52.927387	
578	88459.0	19449.691	281.0	80.13763	42.0	8.705114	16.0	1.7115362	849.0	219.71106	353.0	57.345207	
579	88362.0	19427.262	293.0	82.88618	51.0	10.403095	19.0	1.8442862	897.0	232.80585	378.0	62.10648	
580	88274.0	19408.418	301.0	84.87778	61.0	12.480722	25.0	2.106846	940.0	244.32573	399.0	65.10943	
581	88176.0	19386.754	311.0	87.53979	70.0	14.36716	29.0	2.2856774	992.0	257.60648	422.0	68.769356	
582	88081.0	19367.398	327.0	90.69994	82.0	16.738802	33.0	2.4523544	1032.0	268.09427	445.0	71.931946	
583	87982.0	19344.46	346.0	95.281555	99.0	20.570639	33.0	2.4523544	1072.0	278.55225	468.0	76.008736	
584	87874.0	19320.922	366.0	100.17457	121.0	25.507296	35.0	2.5461361	1107.0	287.49585	497.0	80.67166	
585	87772.0	19298.035	390.0	106.931015	131.0	27.495981	35.0	2.5461361	1137.0	295.58066	535.0	86.74396	
586	87660.0	19274.02	416.0	113.66548	147.0	31.023083	36.0	2.5949278	1171.0	303.89233	570.0	92.144196	
587	87538.0	19248.527	446.0	121.00499	166.0	35.170612	37.0	2.636961	1201.0	311.2225	612.0	98.77667	
588	87409.0	19219.559	481.0	130.65948	186.0	40.0719	38.0	2.6844478	1228.0	318.37247	658.0	105.98627	
589	87285.0	19192.043	513.0	139.75987	201.0	43.834362	39.0	2.7349668	1258.0	325.46994	704.0	113.491196	
590	87136.0	19161.691	557.0	150.19284	217.0	47.170918	42.0	2.9016738	1289.0	332.71854	759.0	122.6543	
591	86990.0	19128.96	598.0	162.05821	248.0	54.17928	47.0	3.2192137	1322.0	340.0932	795.0	128.83273	
592	86845.0	19100.68	633.0	170.2574	273.0	59.206436	52.0	3.544735	1356.0	347.63632	841.0	135.9875	
593	86682.0	19063.922	679.0	184.62923	305.0	65.94525	56.0	3.809192	1384.0	354.4153	894.0	144.60426	
594	86527.0	19029.672	722.0	198.12634	322.0	69.84347	61.0	4.1417103	1426.0	363.7426	942.0	151.80954	
595	86386.0	19000.75	766.0	208.84077	342.0	74.06736	63.0	4.248973	1460.0	371.4187	983.0	157.99008	
596	86234.0	18968.488	812.0	221.65811	365.0	78.92885	64.0	4.3098574	1496.0	378.995	1029.0	164.93332	
597	86079.0	18936.633	863.0	234.30264	385.0	83.04457	63.0	4.2181244	1538.0	387.81808	1072.0	171.28984	
598	85937.0	18906.316	905.0	243.77448	401.0	86.546165	61.0	4.082389	1583.0	398.65436	1113.0	177.93831	
599	85775.0	18873.047	950.0	252.15266	428.0	92.45818	58.0	3.8872523	1637.0	411.13885	1152.0	184.64969	
600	85612.0	18839.875	991.0	260.82077	452.0	97.70872	58.0	3.8733203	1686.0	421.68945	1201.0	193.38667	
601	85448.0	18807.812	1027.0	266.69437	488.0	105.59664	58.0	3.8706386	1734.0	432.21292	1245.0	201.16383	
602	85257.0	18769.844	1073.0	273.56674	520.0	112.78807	56.0	3.7916417	1797.0	446.9753	1297.0	210.37863	
603	85068.0	18732.39	1115.0	281.4685	558.0	120.593	60.0	4.1116095	1851.0	459.25262	1348.0	219.51927	
604	84858.0	18688.434	1175.0	293.20502	597.0	129.67421	61.0	4.350466	1909.0	472.79294	1400.0	228.89345	
605	84645.0	18646.766	1237.0	304.96283	626.0	136.2056	68.0	5.0847435	1971.0	485.60126	1453.0	238.72598	
606	84429.0	18603.047	1293.0	315.01422	668.0	145.63577	76.0	5.875702	2028.0	498.63416	1506.0	249.14053	
607	84215.0	18560.219	1338.0	322.49048	712.0	155.80229	80.0	6.321931	2091.0	512.61426	1564.0	259.9015	
608	84003.0	18516.52	1397.0	333.0561	749.0	164.4084	91.0	7.443659	2138.0	525.55945	1622.0	270.3543	
609	83788.0	18472.812	1446.0	341.1065	789.0	172.69423	96.0	8.216053	2204.0	541.97406	1677.0	280.53055	
610	83570.0	18427.578	1499.0	350.91476	824.0	180.67708	104.0	8.943489	2269.0	558.7568	1734.0	290.46964	
611	83358.0	18383.996	1547.0	360.69232	852.0	187.2035	109.0	9.749495	2340.0	575.30725	1794.0	300.38766	
612	83144.0	18338.59	1593.0	369.26596	888.0	196.54529	116.0	10.822312	2404.0	590.3202	1855.0	311.78976	
613	82944.0	18297.055	1627.0	376.7413	911.0	202.61717	133.0	12.870355	2466.0	604.9446	1919.0	323.1137	
614	82717.0	18252.824	1681.0	386.0132	942.0	210.39116	137.0	13.88649	2529.0	618.48914	1994.0	335.71317	
