SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.01
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
81	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
82	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
83	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
84	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
85	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
86	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
87	230396.0	52739.47	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
88	230395.0	52739.008	2.0	1.4645329	1.0	1.0	1.0	1.0	1.0	1.0	
89	230392.0	52737.547	5.0	2.926043	1.0	1.0	1.0	1.0	1.0	1.0	
90	230390.0	52736.6	7.0	3.870965	1.0	1.0	1.0	1.0	1.0	1.0	
91	230384.0	52733.844	13.0	6.628391	1.0	1.0	1.0	1.0	1.0	1.0	
92	230380.0	52731.945	17.0	8.522571	1.0	1.0	1.0	1.0	1.0	1.0	
93	230379.0	52731.484	18.0	8.989595	1.0	1.0	1.0	1.0	1.0	1.0	
94	230377.0	52730.516	20.0	9.9542885	1.0	1.0	1.0	1.0	1.0	1.0	
95	230372.0	52728.18	25.0	12.292885	1.0	1.0	1.0	1.0	1.0	1.0	
96	230371.0	52727.742	26.0	12.729361	1.0	1.0	1.0	1.0	1.0	1.0	
97	230368.0	52726.43	29.0	14.039511	1.0	1.0	1.0	1.0	1.0	1.0	
98	230362.0	52723.945	35.0	16.529636	1.0	1.0	1.0	1.0	1.0	1.0	
99	230358.0	52722.297	39.0	18.18166	1.0	1.0	1.0	1.0	1.0	1.0	
100	230353.0	52720.42	44.0	20.051004	1.0	1.0	1.0	1.0	1.0	1.0	
101	230350.0	52719.375	47.0	21.103376	1.0	1.0	1.0	1.0	1.0	1.0	
102	230347.0	52718.07	50.0	22.4072	1.0	1.0	1.0	1.0	1.0	1.0	
103	230341.0	52715.477	56.0	24.993668	1.0	1.0	1.0	1.0	1.0	1.0	
104	230338.0	52714.156	59.0	26.32323	1.0	1.0	1.0	1.0	1.0	1.0	
105	230334.0	52712.65	63.0	27.830791	1.0	1.0	1.0	1.0	1.0	1.0	
106	230330.0	52711.156	67.0	29.31834	1.0	1.0	1.0	1.0	1.0	1.0	
107	230330.0	52711.156	67.0	29.31834	1.0	1.0	1.0	1.0	1.0	1.0	
108	230329.0	52710.742	68.0	29.736004	1.0	1.0	1.0	1.0	1.0	1.0	
109	230326.0	52709.797	71.0	30.680122	1.0	1.0	1.0	1.0	1.0	1.0	
110	230325.0	52709.46	72.0	31.01572	1.0	1.0	1.0	1.0	1.0	1.0	
111	230325.0	52709.46	72.0	31.01572	1.0	1.0	1.0	1.0	1.0	1.0	
112	230324.0	52709.17	73.0	31.298595	1.0	1.0	1.0	1.0	1.0	1.0	
113	230322.0	52708.617	75.0	31.856789	1.0	1.0	1.0	1.0	1.0	1.0	
114	230321.0	52708.39	76.0	32.085888	1.0	1.0	1.0	1.0	1.0	1.0	
115	230320.0	52707.953	77.0	32.51975	1.0	1.0	1.0	1.0	1.0	1.0	
116	230319.0	52707.67	78.0	32.80202	1.0	1.0	1.0	1.0	1.0	1.0	
117	230319.0	52707.67	78.0	32.80202	1.0	1.0	1.0	1.0	1.0	1.0	
118	230317.0	52707.07	80.0	33.401676	1.0	1.0	1.0	1.0	1.0	1.0	
119	230317.0	52707.07	80.0	33.401676	1.0	1.0	1.0	1.0	1.0	1.0	
120	230315.0	52706.36	82.0	34.110622	1.0	1.0	1.0	1.0	1.0	1.0	
121	230315.0	52706.36	82.0	34.110622	1.0	1.0	1.0	1.0	1.0	1.0	
122	230314.0	52706.17	83.0	34.29596	1.0	1.0	1.0	1.0	1.0	1.0	
123	230313.0	52705.89	84.0	34.577003	1.0	1.0	1.0	1.0	1.0	1.0	
124	230313.0	52705.89	84.0	34.577003	1.0	1.0	1.0	1.0	1.0	1.0	
