SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
200	226758.0	51767.64	939.0	199.892	719.0	179.38821	1072.0	401.20673	912.0	195.33664	
201	226595.0	51728.95	973.0	206.15215	750.0	185.53604	1116.0	412.84235	966.0	209.97682	
202	226433.0	51692.766	1008.0	212.8534	794.0	195.06107	1153.0	423.28046	1012.0	219.48286	
203	226258.0	51654.26	1043.0	218.89464	841.0	204.4606	1198.0	435.24127	1060.0	230.5748	
204	226100.0	51617.688	1077.0	225.8535	870.0	210.07245	1248.0	447.7467	1105.0	242.07484	
205	225930.0	51583.266	1113.0	231.94865	909.0	217.4176	1290.0	456.19833	1158.0	254.61705	
206	225740.0	51542.996	1142.0	236.81839	967.0	230.6743	1347.0	469.06778	1204.0	263.87384	
207	225560.0	51503.97	1180.0	243.72092	1013.0	241.61993	1392.0	477.84976	1255.0	276.25586	
208	225361.0	51459.773	1219.0	251.17825	1074.0	256.65143	1447.0	490.35333	1299.0	285.463	
209	225170.0	51415.383	1263.0	260.57266	1119.0	266.64206	1499.0	502.35754	1349.0	298.46338	
210	224959.0	51369.562	1305.0	269.43597	1164.0	275.52063	1551.0	513.0075	1421.0	315.90726	
211	224759.0	51326.793	1354.0	279.3442	1208.0	285.12354	1605.0	523.23737	1474.0	328.93738	
212	224552.0	51283.797	1406.0	289.58994	1255.0	294.85828	1660.0	533.3561	1527.0	341.84882	
213	224355.0	51240.055	1458.0	300.88257	1298.0	304.44788	1711.0	542.38043	1578.0	355.67474	
214	224116.0	51185.953	1515.0	313.98425	1352.0	316.6863	1772.0	553.15924	1645.0	373.63168	
215	223887.0	51137.355	1571.0	325.83417	1405.0	327.78787	1833.0	563.68854	1704.0	388.76477	
216	223642.0	51084.53	1637.0	341.11893	1461.0	337.73062	1897.0	575.9922	1763.0	404.04474	
217	223397.0	51029.758	1690.0	352.45917	1522.0	349.94766	1954.0	587.0775	1837.0	424.15326	
218	223145.0	50978.66	1739.0	362.74728	1577.0	359.42325	2030.0	599.48157	1909.0	443.0974	
219	222870.0	50918.293	1797.0	374.96527	1642.0	370.03476	2107.0	612.94525	1984.0	467.1658	
220	222612.0	50860.59	1869.0	391.54352	1698.0	379.05988	2169.0	624.0794	2052.0	488.13715	
221	222379.0	50807.098	1926.0	405.29727	1746.0	387.45197	2229.0	634.2204	2120.0	509.35287	
222	222109.0	50750.395	1986.0	418.14236	1807.0	396.85135	2305.0	647.424	2193.0	530.6233	
223	221806.0	50689.332	2067.0	435.16003	1880.0	407.896	2380.0	659.77527	2267.0	551.25995	
224	221485.0	50626.543	2156.0	454.85883	1959.0	418.638	2465.0	673.04004	2335.0	570.3308	
225	221193.0	50568.63	2227.0	470.26035	2028.0	427.90796	2550.0	687.71814	2402.0	588.9219	
226	220908.0	50514.18	2297.0	485.6636	2104.0	438.01834	2626.0	700.18024	2465.0	605.4183	
227	220636.0	50462.023	2372.0	500.86478	2177.0	448.08688	2697.0	712.7822	2518.0	619.6972	
228	220334.0	50404.273	2457.0	517.76025	2253.0	458.9676	2770.0	726.2473	2586.0	636.22217	
229	220056.0	50353.324	2532.0	532.9241	2323.0	468.14716	2843.0	738.45886	2646.0	650.6187	
230	219781.0	50299.59	2612.0	549.4249	2372.0	474.77274	2917.0	751.7352	2718.0	667.9206	
231	219509.0	50248.02	2676.0	561.63354	2427.0	482.3067	2997.0	766.022	2791.0	685.4793	
232	219254.0	50201.504	2744.0	573.8568	2486.0	490.52655	3068.0	778.7295	2848.0	698.8614	
233	218964.0	50150.418	2820.0	587.4017	2555.0	500.52515	3131.0	789.0042	2930.0	716.1227	
234	218674.0	50098.227	2887.0	599.82355	2623.0	510.8087	3202.0	800.8906	3014.0	733.7509	
235	218428.0	50055.64	2945.0	609.7839	2683.0	520.8894	3268.0	811.966	3076.0	745.2195	
236	218108.0	50001.152	3031.0	623.9263	2758.0	532.59973	3336.0	822.93787	3167.0	762.89526	
237	217790.0	49944.42	3119.0	639.52264	2844.0	547.5268	3406.0	834.88824	3241.0	777.1356	
238	217467.0	49884.047	3203.0	653.341	2912.0	560.92175	3491.0	849.77985	3327.0	795.4373	
239	217127.0	49822.492	3280.0	665.35504	2998.0	576.94385	3576.0	865.40686	3419.0	813.3347	
240	216778.0	49757.4	3355.0	677.1606	3077.0	593.1319	3671.0	883.57416	3519.0	832.27625	
241	216443.0	49697.2	3428.0	687.9802	3163.0	611.4227	3762.0	899.65643	3604.0	847.2933	
242	216076.0	49628.27	3503.0	700.0262	3252.0	631.8286	3861.0	918.0484	3708.0	865.3854	
243	215709.0	49557.562	3601.0	715.25415	3349.0	653.7445	3953.0	936.63934	3788.0	880.41846	
