SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.01
defeat_likeliness = 0.75
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
234	230396.0	52739.316	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
235	230396.0	52739.316	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
236	230396.0	52739.316	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
237	230395.0	52739.02	2.0	1.2960641	1.0	1.0	1.0	1.0	1.0	1.0	
238	230393.0	52738.387	4.0	1.9293566	1.0	1.0	1.0	1.0	1.0	1.0	
239	230391.0	52737.69	6.0	2.6232984	1.0	1.0	1.0	1.0	1.0	1.0	
240	230389.0	52736.887	7.0	3.003757	2.0	1.4261345	1.0	1.0	1.0	1.0	
241	230385.0	52735.145	9.0	3.7754757	4.0	2.3957913	1.0	1.0	1.0	1.0	
242	230379.0	52732.45	11.0	4.6090364	8.0	4.2510386	1.0	1.0	1.0	1.0	
243	230372.0	52729.387	13.0	5.4662943	13.0	6.4591236	1.0	1.0	1.0	1.0	
244	230365.0	52726.45	15.0	6.3406153	18.0	8.52615	1.0	1.0	1.0	1.0	
245	230353.0	52721.035	18.0	7.764042	27.0	12.514409	1.0	1.0	1.0	1.0	
246	230344.0	52717.082	20.0	8.74253	34.0	15.47737	1.0	1.0	1.0	1.0	
247	230336.0	52713.88	21.0	9.184476	41.0	18.235792	1.0	1.0	1.0	1.0	
248	230324.0	52709.082	24.0	10.79321	49.0	21.319466	2.0	1.0948961	1.0	1.0	
249	230314.0	52705.44	28.0	12.596888	55.0	23.163685	2.0	1.0948961	1.0	1.0	
250	230300.0	52700.574	34.0	14.9671135	62.0	25.55221	3.0	1.2041742	1.0	1.0	
251	230281.0	52694.52	42.0	18.085258	69.0	28.041195	7.0	1.6551267	1.0	1.0	
252	230264.0	52689.184	47.0	19.778353	77.0	31.248981	11.0	2.0887985	1.0	1.0	
253	230242.0	52682.11	56.0	22.915636	86.0	34.71819	15.0	2.566155	1.0	1.0	
254	230224.0	52675.254	60.0	24.931398	97.0	39.191216	18.0	2.9245532	1.0	1.0	
255	230199.0	52666.383	70.0	29.250118	106.0	43.016243	24.0	3.6554394	1.0	1.0	
256	230162.0	52651.5	79.0	33.53097	133.0	53.48272	25.0	3.7849896	1.0	1.0	
257	230135.0	52641.797	85.0	36.2026	150.0	59.9601	29.0	4.3439765	1.0	1.0	
258	230104.0	52631.918	92.0	39.060337	166.0	65.92851	37.0	5.39547	1.0	1.0	
259	230081.0	52624.582	98.0	41.078934	176.0	70.146774	44.0	6.4868903	1.0	1.0	
260	230053.0	52615.875	105.0	43.905518	190.0	74.91279	51.0	7.589719	1.0	1.0	
261	230013.0	52602.76	118.0	48.224747	210.0	82.58816	57.0	8.541542	2.0	1.1657947	
262	229968.0	52588.156	135.0	54.17088	231.0	90.074135	64.0	9.710337	2.0	1.1657947	
263	229930.0	52576.176	152.0	60.18292	245.0	95.123604	71.0	10.639654	2.0	1.1657947	
264	229882.0	52559.73	170.0	67.03681	265.0	103.27253	80.0	11.95021	3.0	1.2959179	
265	229831.0	52541.39	191.0	75.31626	288.0	112.38911	86.0	12.730505	4.0	1.4454641	
266	229777.0	52522.066	212.0	83.4038	313.0	122.68501	93.0	13.470078	5.0	1.6499416	
267	229720.0	52501.375	233.0	91.382645	340.0	133.86285	100.0	14.5427265	7.0	2.1097186	
268	229657.0	52481.18	260.0	101.08994	362.0	142.23184	112.0	16.169388	9.0	2.6082814	
269	229584.0	52457.74	291.0	112.61555	390.0	151.55139	120.0	17.330797	15.0	4.026122	
270	229518.0	52438.01	308.0	118.47923	417.0	161.31252	136.0	19.930536	21.0	5.541233	
271	229448.0	52419.285	328.0	124.435326	440.0	168.672	153.0	22.934269	31.0	7.959503	
272	229375.0	52398.152	344.0	130.18446	470.0	178.36815	172.0	26.71061	39.0	9.883271	
273	229307.0	52380.59	362.0	135.93079	495.0	185.58243	195.0	30.880205	41.0	10.326089	
274	229231.0	52359.418	383.0	143.26884	521.0	193.713	215.0	34.519478	50.0	12.409822	
275	229152.0	52338.656	409.0	151.46768	541.0	199.54105	242.0	39.962906	56.0	13.705534	
276	229073.0	52316.2	437.0	160.4762	566.0	207.77483	263.0	43.926582	61.0	14.965813	
277	228974.0	52288.7	473.0	172.02498	594.0	216.39642	290.0	49.268353	69.0	16.965765	
278	228889.0	52265.605	501.0	180.4421	622.0	224.54192	308.0	53.298084	80.0	19.461582	
279	228792.0	52239.258	534.0	190.37852	651.0	232.99796	330.0	58.213577	93.0	22.508308	
280	228674.0	52206.586	566.0	200.75703	687.0	243.33531	363.0	66.03093	110.0	26.639381	
281	228570.0	52177.96	595.0	209.32475	715.0	251.68285	399.0	75.17065	121.0	29.211325	
282	228468.0	52150.85	622.0	217.39212	746.0	261.24008	428.0	81.34782	136.0	32.513348	
283	228359.0	52119.71	648.0	226.28479	786.0	273.24774	459.0	88.929054	148.0	35.180874	
284	228252.0	52090.01	673.0	234.9589	825.0	285.37576	489.0	95.20361	161.0	37.820896	
285	228124.0	52053.305	711.0	246.62216	868.0	300.27155	530.0	103.92975	167.0	39.22983	
286	228018.0	52022.906	742.0	256.48682	900.0	310.42648	562.0	111.81203	178.0	41.73137	
287	227876.0	51983.273	775.0	266.33545	946.0	325.2788	607.0	122.71521	196.0	45.759556	
288	227740.0	51942.797	814.0	278.02322	986.0	340.357	645.0	131.16875	215.0	51.028248	
289	227580.0	51897.086	855.0	291.50308	1027.0	354.64883	696.0	142.25128	242.0	57.86845	
290	227429.0	51854.105	895.0	304.04037	1069.0	369.73825	734.0	149.90352	273.0	65.56117	
291	227281.0	51811.29	934.0	315.8256	1113.0	386.19193	778.0	158.99245	294.0	71.07211	
292	227108.0	51759.387	981.0	330.39722	1171.0	406.78128	819.0	168.32315	321.0	78.45795	
293	226900.0	51702.242	1027.0	344.84283	1243.0	429.54074	868.0	178.93385	362.0	87.75688	
294	226712.0	51650.59	1075.0	358.6902	1307.0	448.47134	910.0	189.4647	396.0	96.12327	
295	226531.0	51599.977	1124.0	372.58856	1375.0	467.91968	947.0	199.74591	423.0	103.11549	
296	226344.0	51546.5	1176.0	387.47778	1446.0	488.80347	989.0	211.02174	445.0	109.56578	
297	226171.0	51498.562	1216.0	398.97775	1506.0	506.53625	1032.0	222.15154	475.0	117.15191	
298	226009.0	51453.97	1257.0	409.6134	1562.0	523.6661	1070.0	232.04555	502.0	124.078415	
299	225829.0	51404.258	1301.0	421.75232	1630.0	543.495	1115.0	244.25581	525.0	129.58107	
300	225635.0	51350.355	1351.0	434.8512	1689.0	560.24835	1170.0	260.5318	555.0	137.35876	
301	225437.0	51295.637	1415.0	453.57172	1745.0	575.971	1222.0	274.9446	581.0	143.26106	
302	225222.0	51236.836	1491.0	475.59064	1797.0	590.0662	1284.0	291.47458	606.0	149.42224	
303	225027.0	51183.18	1553.0	493.48312	1846.0	602.58685	1338.0	306.7873	636.0	157.32938	
304	224803.0	51124.688	1615.0	511.14078	1918.0	619.3405	1395.0	322.75815	669.0	165.42142	
