SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 10
recruit_likeliness = 0.5
defeat_likeliness = 0.01
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	
85	209404.0	48381.562	2198.0	463.13577	2181.0	428.1518	1831.0	457.9692	2273.0	470.08304	2154.0	526.9364	1648.0	323.05664	2248.0	465.25964	2091.0	380.24457	2164.0	412.4564	2208.0	439.4066	
86	207795.0	48012.508	2363.0	499.48352	2364.0	466.962	1951.0	492.73022	2486.0	520.93567	2286.0	559.2214	1745.0	343.7725	2439.0	516.69836	2219.0	406.00894	2349.0	450.73303	2403.0	479.21057	
87	206182.0	47642.504	2528.0	535.0536	2548.0	502.3075	2081.0	530.7588	2679.0	566.6355	2416.0	592.2247	1829.0	361.83124	2633.0	567.4397	2335.0	429.45865	2565.0	498.50952	2604.0	521.3857	
88	204523.0	47254.887	2680.0	566.4204	2771.0	545.5303	2203.0	568.1164	2894.0	620.28094	2570.0	630.3224	1907.0	379.1328	2838.0	623.1058	2459.0	454.5049	2751.0	541.02045	2804.0	564.7948	
89	202828.0	46858.93	2850.0	600.1419	2975.0	586.3456	2332.0	605.8309	3097.0	672.05817	2705.0	662.88824	2006.0	400.9651	3055.0	684.1496	2583.0	480.25024	2962.0	588.12805	3007.0	608.32166	
90	201114.0	46455.266	3012.0	633.282	3194.0	630.2417	2477.0	647.76044	3306.0	725.5243	2865.0	702.16425	2084.0	418.35712	3261.0	741.6996	2697.0	503.8707	3178.0	637.6875	3212.0	652.09576	
91	199249.0	46011.25	3181.0	666.8629	3433.0	673.48596	2622.0	692.5026	3541.0	785.7354	3021.0	739.2696	2171.0	438.8726	3504.0	813.5641	2826.0	529.27985	3418.0	696.211	3434.0	700.8945	
92	197389.0	45564.688	3345.0	702.5321	3641.0	712.2161	2775.0	737.658	3784.0	848.8444	3189.0	779.5549	2254.0	459.891	3747.0	883.3284	2944.0	553.80994	3658.0	753.04456	3674.0	752.4062	
93	195531.0	45116.684	3496.0	734.22687	3851.0	752.3992	2924.0	781.78076	4032.0	914.3717	3358.0	819.04694	2336.0	481.48557	4010.0	958.97485	3057.0	575.89716	3891.0	808.21173	3914.0	804.96814	
94	193634.0	44658.3	3650.0	765.9882	4086.0	799.4657	3075.0	825.95844	4300.0	987.8295	3522.0	856.4856	2425.0	506.9686	4239.0	1024.4641	3177.0	598.56573	4135.0	867.19366	4157.0	856.8246	
95	191744.0	44197.36	3808.0	798.8062	4299.0	839.6706	3222.0	869.23846	4565.0	1062.7598	3691.0	895.0667	2506.0	531.1043	4482.0	1094.1616	3294.0	620.3152	4368.0	924.01794	4421.0	915.5214	
96	189763.0	43720.152	3944.0	826.96533	4528.0	882.2139	3398.0	920.10425	4837.0	1139.6339	3871.0	933.7578	2590.0	555.5892	4749.0	1168.2783	3410.0	640.22705	4630.0	986.9286	4680.0	974.1171	
97	187792.0	43244.805	4080.0	854.205	4763.0	926.7042	3549.0	962.4639	5105.0	1215.6053	4056.0	975.00354	2669.0	579.74335	5035.0	1244.9363	3526.0	659.3543	4905.0	1055.3088	4920.0	1029.7961	
98	185811.0	42774.727	4223.0	882.8003	4987.0	968.391	3715.0	1009.3978	5408.0	1300.081	4226.0	1010.41626	2742.0	601.9001	5309.0	1314.2482	3641.0	676.292	5184.0	1122.3273	5154.0	1087.3419	
99	183779.0	42285.355	4373.0	916.53345	5208.0	1010.9282	3886.0	1056.6312	5693.0	1383.0005	4428.0	1052.6719	2818.0	625.21326	5607.0	1386.8944	3752.0	691.9739	5471.0	1194.8357	5385.0	1143.894	
100	181717.0	41788.35	4516.0	948.32416	5449.0	1056.7222	4058.0	1104.2272	5989.0	1469.0508	4603.0	1089.0708	2900.0	650.7925	5885.0	1458.3265	3873.0	707.37213	5764.0	1270.6735	5646.0	1205.0488	
101	179640.0	41295.344	4643.0	977.1231	5674.0	1099.8752	4246.0	1154.4556	6302.0	1558.4414	4797.0	1128.0256	2972.0	673.08246	6197.0	1533.0558	3993.0	724.08386	6050.0	1342.1215	5886.0	1262.4473	
102	177540.0	40784.863	4771.0	1005.7534	5908.0	1147.3789	4428.0	1204.7683	6623.0	1651.8867	4982.0	1164.94	3039.0	693.4849	6503.0	1608.2253	4121.0	742.8921	6364.0	1422.0037	6121.0	1321.8431	
103	175393.0	40262.547	4887.0	1034.5883	6154.0	1199.9437	4621.0	1260.4296	6917.0	1737.7797	5204.0	1212.3134	3116.0	714.5196	6828.0	1687.247	4252.0	761.72754	6690.0	1499.9998	6338.0	1376.9904	
104	173252.0	39749.074	5025.0	1067.5225	6391.0	1253.6959	4819.0	1316.1891	7237.0	1829.1707	5401.0	1252.063	3172.0	728.3654	7140.0	1762.6433	4385.0	781.4281	7012.0	1575.9883	6566.0	1431.9089	
105	171079.0	39224.945	5152.0	1096.7491	6651.0	1316.689	5021.0	1374.5358	7536.0	1909.1052	5602.0	1292.5232	3229.0	741.57947	7491.0	1847.625	4510.0	801.18036	7344.0	1656.3124	6785.0	1486.8816	
106	168883.0	38689.027	5271.0	1124.8123	6891.0	1373.4662	5228.0	1436.0002	7862.0	2001.9263	5798.0	1335.8617	3284.0	753.00836	7823.0	1925.1986	4633.0	821.6502	7698.0	1738.1455	7029.0	1549.0499	
107	166688.0	38143.727	5381.0	1152.3462	7163.0	1441.9602	5416.0	1497.0797	8182.0	2092.3816	6000.0	1379.8757	3342.0	764.9019	8182.0	2009.8378	4771.0	845.1628	8025.0	1814.4861	7250.0	1606.2628	
108	164502.0	37595.906	5504.0	1183.0565	7432.0	1508.8667	5613.0	1556.3229	8520.0	2191.4736	6179.0	1419.5652	3398.0	778.4435	8545.0	2095.0742	4889.0	867.92444	8369.0	1892.5729	7449.0	1658.8827	
109	162270.0	37041.395	5620.0	1214.3804	7698.0	1579.4506	5795.0	1608.7045	8853.0	2288.7505	6382.0	1465.7247	3460.0	793.7429	8909.0	2177.14	5022.0	892.5707	8737.0	1976.7827	7654.0	1709.5404	
110	160056.0	36498.04	5724.0	1242.0945	7968.0	1649.6754	5980.0	1662.7535	9169.0	2379.4297	6571.0	1502.7803	3521.0	809.6672	9287.0	2262.3787	5148.0	916.8583	9108.0	2060.8413	7868.0	1763.5613	
111	157866.0	35961.62	5827.0	1268.4633	8246.0	1724.8638	6157.0	1711.0234	9508.0	2476.6045	6750.0	1537.539	3566.0	822.30524	9656.0	2344.3901	5282.0	943.5451	9470.0	2141.3826	8072.0	1816.3824	
112	155686.0	35448.07	5933.0	1295.7112	8512.0	1796.4114	6334.0	1756.2125	9837.0	2566.9612	6924.0	1571.6283	3619.0	835.8976	10036.0	2424.7104	5415.0	967.94635	9842.0	2220.276	8262.0	1864.2749	
113	153446.0	34908.918	6026.0	1318.124	8809.0	1878.8617	6510.0	1801.4618	10172.0	2658.9575	7122.0	1610.6787	3660.0	847.0039	10409.0	2504.6433	5551.0	994.9254	10223.0	2308.798	8472.0	1915.7518	
114	151160.0	34363.926	6136.0	1344.1436	9078.0	1953.5376	6686.0	1844.8845	10511.0	2753.2988	7308.0	1648.4636	3714.0	862.27795	10804.0	2583.6785	5681.0	1020.62756	10627.0	2404.199	8695.0	1969.0614	
115	148820.0	33807.453	6232.0	1367.1434	9366.0	2028.3755	6864.0	1887.3453	10842.0	2842.2778	7517.0	1689.9828	3767.0	879.61536	11217.0	2669.191	5842.0	1050.8625	11039.0	2504.9207	8894.0	2020.946	
116	146495.0	33257.58	6324.0	1388.1978	9654.0	2101.485	7035.0	1924.9384	11167.0	2928.6802	7708.0	1731.3816	3820.0	896.9669	11642.0	2752.2595	5987.0	1080.5299	11459.0	2610.2793	9109.0	2075.8313	
117	144151.0	32698.305	6405.0	1405.3579	9926.0	2169.1907	7229.0	1966.688	11492.0	3015.7173	7904.0	1775.1172	3867.0	913.92706	12078.0	2842.7937	6147.0	1112.4801	11893.0	2717.9849	9308.0	2130.682	
