SIMULATION PARAMETERS:
n = 270
m = 480
k = 1
p = 10
recruit_likeliness = 0.01
defeat_likeliness = 0.1
starting_control = 100
resource_noise_scale = 0.008784105

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	NATION 5 SIZE	NATION 5 RESOURCES	NATION 6 SIZE	NATION 6 RESOURCES	NATION 7 SIZE	NATION 7 RESOURCES	NATION 8 SIZE	NATION 8 RESOURCES	NATION 9 SIZE	NATION 9 RESOURCES	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
439	129590.0	27025.371	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
440	129589.0	27025.207	1.0	1.0	2.0	1.162905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
441	129587.0	27024.809	1.0	1.0	2.0	1.162905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.2225697	1.0	1.0	1.0	1.0	2.0	1.1769059	
442	129585.0	27024.492	2.0	1.10426	2.0	1.162905	1.0	1.0	1.0	1.0	2.0	1.2141426	1.0	1.0	2.0	1.2225697	1.0	1.0	1.0	1.0	2.0	1.1769059	
443	129580.0	27023.879	5.0	1.4195836	2.0	1.162905	1.0	1.0	2.0	1.2277892	2.0	1.2141426	2.0	1.0698826	2.0	1.2225697	1.0	1.0	1.0	1.0	2.0	1.1769059	
444	129577.0	27023.34	6.0	1.5225669	2.0	1.162905	1.0	1.0	3.0	1.456073	3.0	1.4189737	2.0	1.0698826	2.0	1.2225697	1.0	1.0	1.0	1.0	2.0	1.1769059	
445	129574.0	27022.684	6.0	1.5225669	2.0	1.162905	1.0	1.0	5.0	1.9078475	4.0	1.6227833	2.0	1.0698826	2.0	1.2225697	1.0	1.0	1.0	1.0	2.0	1.1769059	
446	129569.0	27021.89	7.0	1.6252714	2.0	1.162905	1.0	1.0	5.0	1.9078475	6.0	2.0222535	3.0	1.1412199	3.0	1.4417713	1.0	1.0	1.0	1.0	2.0	1.1769059	
447	129567.0	27021.652	7.0	1.6252714	2.0	1.162905	1.0	1.0	5.0	1.9078475	6.0	2.0222535	4.0	1.2138385	3.0	1.4417713	1.0	1.0	1.0	1.0	3.0	1.3445778	
448	129562.0	27020.953	8.0	1.7276613	2.0	1.162905	1.0	1.0	6.0	2.1390042	6.0	2.0222535	6.0	1.3593397	4.0	1.6586432	1.0	1.0	1.0	1.0	3.0	1.3445778	
449	129555.0	27020.312	8.0	1.7276613	2.0	1.162905	1.0	1.0	6.0	2.1390042	7.0	2.2232869	12.0	1.7988924	4.0	1.6586432	1.0	1.0	1.0	1.0	3.0	1.3445778	
450	129550.0	27019.559	8.0	1.7276613	2.0	1.162905	1.0	1.0	6.0	2.1390042	9.0	2.6362147	14.0	1.9261478	5.0	1.8722587	1.0	1.0	1.0	1.0	3.0	1.3445778	
451	129540.0	27018.422	10.0	1.9379649	2.0	1.162905	1.0	1.0	6.0	2.1390042	9.0	2.6362147	19.0	2.2540486	7.0	2.3047488	2.0	1.1671495	1.0	1.0	3.0	1.3445778	
452	129530.0	27017.102	12.0	2.1432033	2.0	1.162905	1.0	1.0	6.0	2.1390042	10.0	2.8322268	22.0	2.4561694	8.0	2.5127952	5.0	1.6740158	1.0	1.0	3.0	1.3445778	
453	129516.0	27014.977	12.0	2.1432033	2.0	1.162905	1.0	1.0	6.0	2.1390042	11.0	3.0391417	28.0	2.862724	9.0	2.7188785	10.0	2.5287356	2.0	1.45523	3.0	1.3445778	
454	129510.0	27014.016	13.0	2.2453728	2.0	1.162905	1.0	1.0	7.0	2.3724692	11.0	3.0391417	29.0	2.9439285	9.0	2.7188785	13.0	3.0719113	2.0	1.45523	3.0	1.3445778	
455	129493.0	27011.414	14.0	2.3467667	2.0	1.162905	1.0	1.0	8.0	2.6087193	12.0	3.236942	33.0	3.252649	9.0	2.7188785	22.0	4.6405215	2.0	1.45523	4.0	1.5279912	
456	129476.0	27008.441	15.0	2.4475257	2.0	1.162905	1.0	1.0	10.0	3.0802195	12.0	3.236942	37.0	3.5611763	10.0	2.9214342	30.0	6.06961	3.0	1.9107904	4.0	1.5279912	
457	129458.0	27005.293	17.0	2.6501992	2.0	1.162905	1.0	1.0	10.0	3.0802195	12.0	3.236942	40.0	3.8104594	10.0	2.9214342	41.0	7.857742	5.0	2.8185236	4.0	1.5279912	
458	129439.0	27001.219	17.0	2.6501992	2.0	1.162905	1.0	1.0	12.0	3.5449357	12.0	3.236942	43.0	4.051081	13.0	3.5319674	49.0	9.263153	8.0	4.1692915	4.0	1.5279912	
459	129414.0	26995.89	18.0	2.7491565	2.0	1.162905	1.0	1.0	13.0	3.775379	13.0	3.4495287	45.0	4.2108493	15.0	3.9512498	62.0	11.462893	12.0	5.9892755	5.0	1.7185383	
460	129389.0	26989.79	20.0	2.9480352	2.0	1.162905	1.0	1.0	14.0	4.030277	13.0	3.4495287	50.0	4.584364	16.0	4.170151	70.0	12.922151	20.0	9.589455	5.0	1.7185383	
461	129359.0	26983.176	22.0	3.1511335	2.0	1.162905	1.0	1.0	18.0	5.0648017	13.0	3.4495287	53.0	4.8069444	18.0	4.5743937	83.0	15.239534	25.0	11.812172	6.0	1.9175471	
462	129320.0	26972.797	24.0	3.3532243	2.0	1.162905	1.0	1.0	22.0	6.1185675	13.0	3.4495287	57.0	5.1400356	20.0	4.9774594	96.0	17.548378	38.0	17.702692	7.0	2.1139436	
463	129271.0	26959.512	29.0	3.8767943	2.0	1.162905	1.0	1.0	29.0	8.047688	13.0	3.4495287	59.0	5.2906137	22.0	5.3793206	110.0	20.049067	54.0	24.904602	10.0	2.6843078	
464	129210.0	26943.785	33.0	4.305167	4.0	1.4870414	1.0	1.0	38.0	10.560187	13.0	3.4495287	67.0	5.890265	27.0	6.37215	122.0	22.120018	72.0	33.06758	13.0	3.316328	
465	129154.0	26928.75	34.0	4.413419	4.0	1.4870414	1.0	1.0	55.0	15.446293	13.0	3.4495287	71.0	6.2257767	34.0	7.785581	132.0	23.83457	84.0	38.566708	18.0	4.3853664	
466	129090.0	26911.215	38.0	4.8442183	5.0	1.6507983	1.0	1.0	72.0	20.31387	13.0	3.4495287	75.0	6.5276194	44.0	9.783288	140.0	25.207024	101.0	46.320354	21.0	5.0476637	
467	129022.0	26893.52	43.0	5.3805504	8.0	2.144318	1.0	1.0	85.0	24.187847	13.0	3.4495287	79.0	6.826378	56.0	12.17395	152.0	27.25185	117.0	53.722054	24.0	5.705617	
468	128943.0	26870.293	45.0	5.6133227	9.0	2.3061821	1.0	1.0	101.0	29.15725	13.0	3.4495287	82.0	7.060285	74.0	15.878656	159.0	28.424585	141.0	64.73963	32.0	7.433391	
469	128861.0	26847.129	49.0	6.064776	9.0	2.3061821	1.0	1.0	116.0	33.84158	13.0	3.4495287	88.0	7.5385804	90.0	19.163237	170.0	30.260569	165.0	75.78493	38.0	8.813662	
470	128775.0	26823.074	52.0	6.381227	9.0	2.3061821	1.0	1.0	136.0	39.96929	13.0	3.4495287	94.0	8.064852	108.0	22.868162	178.0	31.670128	186.0	85.44329	48.0	11.104266	
471	128682.0	26795.45	55.0	6.7145653	10.0	2.4682028	1.0	1.0	149.0	44.152718	13.0	3.4495287	96.0	8.224878	127.0	26.734743	189.0	33.49987	217.0	99.57781	61.0	14.056041	
472	128568.0	26764.473	58.0	7.0465503	10.0	2.4682028	1.0	1.0	164.0	49.03102	13.0	3.4495287	101.0	8.669379	154.0	32.42234	204.0	36.065197	243.0	111.50219	84.0	19.198158	
473	128462.0	26735.031	61.0	7.368805	10.0	2.4682028	1.0	1.0	182.0	54.82005	13.0	3.4495287	107.0	9.233242	181.0	38.21454	211.0	37.260498	267.0	122.49785	105.0	23.97166	
474	128358.0	26704.062	64.0	7.658275	10.0	2.4682028	1.0	1.0	198.0	60.228104	13.0	3.4495287	113.0	9.79702	197.0	41.60778	219.0	38.6341	300.0	137.39694	127.0	29.008982	
475	128254.0	26672.37	69.0	8.108132	11.0	2.6326404	1.0	1.0	209.0	63.923393	14.0	3.6370273	118.0	10.227617	214.0	45.209988	222.0	39.124023	339.0	155.07921	149.0	33.992035	
476	128137.0	26637.793	76.0	8.807308	11.0	2.6326404	1.0	1.0	227.0	69.643234	16.0	3.9957814	124.0	10.783432	231.0	48.818405	229.0	40.313076	379.0	172.81693	169.0	38.685226	
477	128004.0	26596.965	80.0	9.221766	11.0	2.6326404	1.0	1.0	246.0	75.957535	18.0	4.3837113	135.0	11.957815	251.0	53.165916	231.0	40.596127	427.0	194.2688	196.0	45.143784	
478	127857.0	26555.36	83.0	9.520471	12.0	2.7966394	1.0	1.0	264.0	81.88906	20.0	4.7417917	149.0	13.381372	278.0	59.032043	241.0	42.153957	469.0	213.15501	226.0	52.276855	
479	127708.0	26514.684	88.0	10.026976	13.0	2.9599388	1.0	1.0	278.0	86.30928	20.0	4.7417917	169.0	15.755687	305.0	64.80805	258.0	44.759895	513.0	232.63387	247.0	57.635635	
480	127561.0	26473.096	92.0	10.404405	13.0	2.9599388	1.0	1.0	295.0	91.56635	20.0	4.7417917	185.0	17.670229	334.0	71.22442	274.0	47.130276	558.0	252.92308	267.0	62.605843	
481	127410.0	26432.541	95.0	10.673745	13.0	2.9599388	1.0	1.0	315.0	97.85991	20.0	4.7417917	199.0	19.43417	373.0	79.31747	291.0	49.62675	594.0	269.02	289.0	68.153145	
482	127247.0	26389.898	106.0	11.776474	13.0	2.9599388	1.0	1.0	334.0	103.91512	22.0	5.099042	215.0	21.320139	407.0	86.53116	312.0	52.62936	634.0	286.96753	309.0	73.2319	
483	127077.0	26345.512	113.0	12.429338	14.0	3.1217456	1.0	1.0	349.0	108.955315	22.0	5.099042	233.0	23.542385	450.0	95.79823	337.0	56.248207	676.0	305.69614	328.0	77.920166	
484	126910.0	26303.068	125.0	13.5478525	17.0	3.609091	1.0	1.0	368.0	115.12781	22.0	5.099042	252.0	26.15646	493.0	104.87553	352.0	58.266315	713.0	321.78238	347.0	82.79741	
485	126744.0	26259.705	134.0	14.460587	21.0	4.2634125	2.0	1.4517844	385.0	120.85366	25.0	5.6243095	276.0	29.472063	527.0	111.978966	368.0	60.537315	755.0	340.02795	363.0	86.976715	
486	126549.0	26207.621	144.0	15.4460335	28.0	5.423628	2.0	1.4517844	411.0	129.18028	26.0	5.7958384	301.0	32.66014	568.0	120.912315	384.0	62.8974	806.0	362.25293	381.0	91.71831	
487	126352.0	26154.367	154.0	16.482553	34.0	6.4115577	2.0	1.4517844	426.0	133.93166	27.0	5.965625	330.0	36.5288	600.0	127.506165	401.0	65.2613	870.0	389.72333	404.0	97.72197	
488	126146.0	26098.44	161.0	17.165714	41.0	7.5824876	3.0	1.8966382	446.0	140.22028	30.0	6.52165	362.0	41.043022	637.0	135.50365	416.0	67.6159	930.0	415.27426	428.0	104.09476	
489	125937.0	26044.104	171.0	18.193405	48.0	8.765149	4.0	2.34906	462.0	145.36235	30.0	6.52165	392.0	45.08559	680.0	144.56758	434.0	70.415726	987.0	438.73886	455.0	111.26389	
490	125727.0	25990.201	179.0	19.0217	56.0	10.12913	4.0	2.34906	477.0	149.86609	31.0	6.6899266	429.0	50.25369	718.0	152.08484	448.0	72.55567	1047.0	463.596	484.0	118.632706	
491	125538.0	25940.434	186.0	19.704247	65.0	11.633732	4.0	2.34906	495.0	155.45268	32.0	6.9013133	444.0	52.22276	762.0	160.87416	461.0	74.50443	1102.0	485.88715	511.0	125.41829	
492	125319.0	25887.205	199.0	20.985092	80.0	14.143319	4.0	2.34906	516.0	162.01666	32.0	6.9013133	467.0	55.238827	816.0	171.3847	472.0	76.12357	1150.0	505.23523	545.0	133.78827	
493	125108.0	25835.139	214.0	22.619085	95.0	16.63042	4.0	2.34906	536.0	168.05223	33.0	7.067472	490.0	58.365604	862.0	179.98398	481.0	77.404366	1200.0	525.8604	577.0	141.91112	
494	124895.0	25781.17	232.0	24.39717	114.0	19.736887	4.0	2.34906	559.0	175.42976	32.0	6.882452	500.0	59.62151	906.0	188.36075	493.0	79.06045	1253.0	548.01715	612.0	150.35739	
495	124677.0	25729.29	247.0	25.926376	130.0	22.46242	4.0	2.34906	585.0	183.61078	34.0	7.2394047	521.0	61.88556	949.0	196.65033	508.0	81.27035	1291.0	564.1122	654.0	160.59914	
496	124462.0	25677.39	260.0	27.221575	146.0	25.149483	4.0	2.34906	615.0	192.98557	34.0	7.2394047	541.0	64.294655	984.0	203.42496	525.0	83.83941	1324.0	578.5041	705.0	172.99536	
497	124258.0	25627.914	275.0	28.808613	162.0	27.861635	4.0	2.34906	638.0	200.4186	35.0	7.424172	558.0	66.517914	1021.0	210.94531	541.0	86.21303	1356.0	592.2927	752.0	184.65701	
498	124037.0	25574.363	298.0	31.160118	175.0	30.034113	4.0	2.34906	660.0	207.69862	36.0	7.5835037	580.0	69.493935	1049.0	216.31691	563.0	89.122635	1395.0	609.3621	803.0	197.91486	
499	123806.0	25516.018	315.0	32.738224	183.0	31.364895	4.0	2.34906	696.0	219.61331	38.0	7.9608393	600.0	72.03845	1083.0	222.99207	583.0	92.18184	1434.0	626.0428	858.0	212.10628	
500	123591.0	25462.15	330.0	34.19051	192.0	32.854084	4.0	2.34906	734.0	232.46619	38.0	7.955225	620.0	74.6846	1106.0	227.63042	608.0	95.77029	1468.0	640.5498	909.0	224.823	
501	123370.0	25406.922	345.0	35.683987	203.0	34.65311	4.0	2.34906	768.0	244.83392	38.0	7.9636273	653.0	79.04303	1129.0	231.8936	626.0	98.040665	1508.0	657.1917	956.0	236.85199	
502	123163.0	25354.672	362.0	37.293606	207.0	35.335644	4.0	2.34906	797.0	255.5537	40.0	8.31566	684.0	83.34715	1146.0	235.38383	645.0	100.51047	1548.0	673.80115	1004.0	248.8668	
503	122930.0	25294.35	374.0	38.504856	214.0	36.45405	3.0	1.8966382	841.0	271.16937	40.0	8.31566	717.0	87.755196	1173.0	240.47319	665.0	103.2923	1593.0	692.0667	1050.0	261.15726	
504	122695.0	25230.672	392.0	40.35856	223.0	37.933426	3.0	1.8966382	889.0	288.8209	41.0	8.480597	750.0	92.41078	1188.0	243.59612	686.0	106.29643	1646.0	713.4306	1087.0	271.52948	
505	122480.0	25173.756	408.0	41.98086	226.0	38.410717	3.0	1.8966382	931.0	304.0561	42.0	8.64499	785.0	96.853424	1206.0	246.95576	702.0	108.59615	1695.0	733.0093	1122.0	281.25806	
506	122235.0	25107.182	425.0	43.70826	229.0	38.903793	3.0	1.8966382	987.0	324.2806	41.0	8.471881	818.0	101.30554	1227.0	250.79652	725.0	111.96139	1750.0	754.91565	1160.0	291.99942	
