SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
240	226822.0	51759.2	813.0	186.10583	789.0	193.7037	976.0	383.65533	1000.0	220.80775	
241	226658.0	51721.324	846.0	191.84154	829.0	202.19008	1024.0	397.3696	1043.0	230.73569	
242	226472.0	51682.016	895.0	199.74557	867.0	209.7357	1071.0	409.6394	1095.0	242.29335	
243	226302.0	51646.23	940.0	206.31183	900.0	216.63629	1121.0	422.5983	1137.0	251.6461	
244	226140.0	51612.66	982.0	212.60835	932.0	223.98154	1165.0	432.71136	1181.0	261.4704	
245	225961.0	51575.586	1025.0	220.91379	971.0	232.13469	1217.0	443.0531	1226.0	271.77768	
246	225775.0	51537.168	1066.0	228.34723	1018.0	241.90073	1263.0	453.0892	1278.0	282.9441	
247	225602.0	51500.492	1112.0	236.90141	1074.0	253.41959	1293.0	459.7244	1319.0	292.89706	
248	225413.0	51457.37	1162.0	246.79112	1121.0	263.75397	1328.0	468.2405	1376.0	307.27222	
249	225210.0	51413.38	1215.0	255.7521	1175.0	275.57883	1373.0	477.71317	1427.0	320.98874	
250	225016.0	51369.08	1265.0	264.7467	1219.0	286.27298	1413.0	485.61948	1487.0	337.6817	
251	224802.0	51324.08	1318.0	274.61227	1269.0	297.38705	1459.0	493.27713	1552.0	354.01862	
252	224574.0	51276.65	1369.0	284.1807	1315.0	308.62463	1534.0	506.23187	1608.0	367.69785	
253	224350.0	51229.69	1429.0	295.34906	1371.0	321.67197	1588.0	515.99744	1662.0	380.67853	
254	224126.0	51183.332	1483.0	305.84988	1421.0	331.5865	1637.0	525.0771	1733.0	397.55624	
255	223916.0	51143.85	1546.0	317.15778	1467.0	339.94955	1689.0	533.2807	1782.0	409.17532	
256	223664.0	51089.7	1602.0	327.6437	1536.0	353.66782	1749.0	543.73834	1849.0	428.6818	
257	223422.0	51037.793	1657.0	338.11914	1593.0	365.7637	1810.0	553.3211	1918.0	448.4356	
258	223200.0	50992.094	1710.0	348.6	1646.0	375.67133	1875.0	562.68713	1969.0	464.39407	
259	222972.0	50944.19	1763.0	359.7674	1695.0	382.8195	1933.0	572.8627	2037.0	483.84027	
260	222740.0	50893.93	1814.0	371.0805	1752.0	392.04004	1983.0	581.79785	2111.0	504.65048	
261	222496.0	50841.734	1862.0	382.76678	1800.0	399.4519	2055.0	593.8323	2187.0	525.7026	
262	222231.0	50786.22	1945.0	401.36246	1861.0	408.084	2113.0	603.6031	2250.0	544.2037	
263	221965.0	50732.77	2021.0	418.49597	1918.0	415.58817	2187.0	615.7257	2309.0	560.87134	
264	221695.0	50679.74	2091.0	434.98334	1984.0	424.9807	2261.0	627.07574	2369.0	576.6719	
265	221408.0	50624.457	2171.0	451.73688	2061.0	436.19437	2326.0	637.94434	2434.0	593.1216	
266	221139.0	50573.152	2238.0	465.7414	2118.0	444.6164	2403.0	649.16766	2502.0	610.78796	
267	220856.0	50520.863	2320.0	481.72125	2184.0	453.31348	2465.0	659.67804	2575.0	627.9091	
268	220583.0	50470.63	2390.0	495.62762	2243.0	461.77002	2537.0	671.3162	2647.0	644.1386	
269	220300.0	50420.97	2466.0	511.12485	2320.0	470.93332	2611.0	683.1923	2703.0	657.25507	
270	220018.0	50370.19	2529.0	523.2837	2389.0	479.80496	2682.0	695.0532	2782.0	675.1654	
271	219708.0	50315.76	2598.0	537.3272	2457.0	487.99536	2773.0	709.5847	2864.0	692.8085	
272	219408.0	50261.05	2661.0	550.2085	2516.0	495.6079	2852.0	722.2662	2963.0	714.32495	
273	219094.0	50204.46	2742.0	567.5985	2580.0	504.54153	2932.0	735.50494	3052.0	731.38214	
274	218794.0	50149.426	2822.0	584.36804	2648.0	514.5077	3007.0	748.8335	3129.0	746.3442	
275	218482.0	50092.426	2898.0	599.49524	2710.0	523.6412	3094.0	764.86804	3216.0	763.0584	
276	218198.0	50039.53	2964.0	612.02356	2772.0	534.095	3171.0	779.2655	3295.0	778.59247	
277	217863.0	49977.4	3039.0	624.93463	2842.0	546.749	3260.0	796.72815	3396.0	797.7028	
278	217520.0	49916.38	3104.0	635.9212	2927.0	562.63153	3353.0	813.63873	3496.0	814.97534	
279	217165.0	49848.74	3169.0	646.35034	3006.0	577.6762	3471.0	838.0254	3589.0	832.77856	
280	216829.0	49787.117	3236.0	657.3192	3083.0	592.4205	3561.0	856.1542	3691.0	850.5889	
281	216480.0	49718.914	3313.0	670.3848	3165.0	608.41376	3657.0	876.959	3785.0	868.9148	
282	216136.0	49652.746	3393.0	682.9611	3248.0	624.3617	3756.0	899.5319	3867.0	884.00665	
283	215773.0	49582.418	3477.0	697.3713	3347.0	646.72253	3843.0	917.01605	3960.0	900.12585	
284	215455.0	49519.27	3559.0	710.50604	3417.0	662.86945	3928.0	935.38055	4041.0	915.6374	
285	215088.0	49444.03	3640.0	724.1377	3516.0	685.3512	4014.0	953.7506	4142.0	936.3576	
286	214733.0	49372.645	3712.0	734.2896	3604.0	707.0309	4102.0	972.23035	4249.0	957.4409	
287	214352.0	49295.93	3797.0	747.8264	3693.0	728.0912	4199.0	991.5393	4359.0	980.26575	
288	213985.0	49223.14	3869.0	759.44244	3776.0	747.082	4296.0	1008.088	4474.0	1005.8888	
289	213613.0	49149.176	3954.0	772.0007	3862.0	767.0278	4389.0	1025.3264	4582.0	1030.1393	
290	213249.0	49076.996	4038.0	783.91595	3942.0	786.1957	4486.0	1042.6509	4685.0	1053.8672	
291	212865.0	48996.195	4124.0	796.3971	4033.0	810.57086	4582.0	1059.328	4796.0	1081.1108	
292	212486.0	48918.555	4211.0	809.8403	4123.0	834.4627	4687.0	1076.0376	4893.0	1104.6709	
293	212081.0	48835.94	4294.0	822.4662	4224.0	860.0923	4784.0	1091.8013	5017.0	1133.249	
294	211689.0	48755.71	4395.0	837.8534	4316.0	884.53754	4883.0	1107.2394	5117.0	1158.1812	
295	211246.0	48662.152	4498.0	856.2888	4422.0	910.751	5010.0	1128.872	5224.0	1185.4784	
296	210800.0	48565.137	4612.0	876.78564	4532.0	937.05865	5116.0	1147.6619	5340.0	1216.9183	
297	210378.0	48476.273	4727.0	897.968	4623.0	958.6246	5212.0	1163.9194	5460.0	1246.7876	
298	209972.0	48389.78	4837.0	920.9822	4706.0	978.97485	5317.0	1181.732	5568.0	1272.113	
299	209590.0	48308.664	4938.0	941.7582	4799.0	1001.24603	5408.0	1197.7598	5665.0	1294.1329	
300	209196.0	48226.312	5040.0	963.8462	4884.0	1019.776	5508.0	1214.3868	5772.0	1319.26	
301	208809.0	48142.98	5153.0	988.2284	4977.0	1039.5436	5591.0	1229.6873	5870.0	1343.1602	
302	208372.0	48050.754	5260.0	1012.06415	5070.0	1058.4819	5701.0	1250.3953	5997.0	1371.8651	
303	207986.0	47969.08	5353.0	1035.7255	5148.0	1073.9742	5811.0	1269.2551	6102.0	1395.5789	
304	207550.0	47872.227	5466.0	1064.6246	5235.0	1092.3206	5922.0	1289.9381	6227.0	1424.5148	
305	207130.0	47780.074	5570.0	1091.3887	5308.0	1108.7932	6039.0	1310.3727	6353.0	1452.9971	
306	206692.0	47687.5	5678.0	1117.5803	5394.0	1125.1241	6169.0	1334.7712	6467.0	1478.6683	
307	206256.0	47597.49	5783.0	1143.057	5502.0	1144.6967	6285.0	1355.576	6574.0	1502.804	
308	205787.0	47492.93	5905.0	1172.7859	5621.0	1169.6622	6400.0	1378.2434	6687.0	1530.0485	
309	205332.0	47392.668	6012.0	1198.9409	5729.0	1192.0664	6518.0	1401.6273	6809.0	1558.3895	
310	204849.0	47284.062	6136.0	1232.2432	5834.0	1213.232	6648.0	1427.853	6933.0	1586.3706	
311	204369.0	47173.91	6269.0	1268.8505	5936.0	1234.956	6745.0	1448.782	7081.0	1617.2965	
312	203891.0	47059.082	6404.0	1305.4789	6041.0	1259.803	6860.0	1472.658	7204.0	1646.8041	
313	203363.0	46934.59	6539.0	1342.2651	6166.0	1289.8629	7000.0	1501.0696	7332.0	1675.993	
314	202878.0	46813.453	6676.0	1380.3671	6290.0	1321.6257	7129.0	1528.1876	7427.0	1700.0808	
315	202315.0	46671.09	6840.0	1424.1818	6434.0	1361.918	7258.0	1556.6348	7553.0	1729.9291	
316	201784.0	46539.156	6990.0	1465.2833	6574.0	1398.8903	7379.0	1582.3876	7673.0	1758.0312	
317	201221.0	46400.35	7112.0	1497.1731	6710.0	1434.8419	7533.0	1616.5012	7824.0	1794.8518	
318	200726.0	46279.375	7242.0	1531.4417	6842.0	1467.4912	7652.0	1642.2719	7938.0	1823.1125	
319	200215.0	46152.383	7375.0	1566.9792	6940.0	1493.1049	7795.0	1672.9176	8075.0	1858.2928	
320	199715.0	46027.914	7498.0	1600.2092	7042.0	1521.0244	7930.0	1701.1455	8215.0	1893.37	
321	199198.0	45890.51	7615.0	1633.9242	7161.0	1555.0608	8065.0	1729.4437	8361.0	1934.6724	
322	198712.0	45763.523	7713.0	1662.315	7285.0	1590.0454	8179.0	1753.865	8511.0	1973.8689	
323	198200.0	45621.055	7841.0	1700.0364	7417.0	1630.0715	8298.0	1780.3527	8644.0	2012.0208	
324	197667.0	45480.094	7967.0	1737.2677	7540.0	1664.5251	8441.0	1811.0972	8785.0	2050.5618	
325	197096.0	45324.637	8103.0	1778.4658	7673.0	1701.0554	8586.0	1845.2996	8942.0	2094.0674	
326	196592.0	45190.63	8215.0	1812.1699	7807.0	1738.276	8700.0	1870.1179	9086.0	2132.2878	
327	196026.0	45040.684	8342.0	1852.2295	7954.0	1775.5917	8829.0	1900.639	9249.0	2174.3726	
328	195475.0	44893.953	8468.0	1889.6025	8091.0	1811.2002	8960.0	1931.1919	9406.0	2217.601	
329	194971.0	44759.54	8586.0	1925.8733	8225.0	1845.9073	9070.0	1956.87	9548.0	2255.345	
330	194440.0	44619.22	8702.0	1961.6074	8349.0	1875.3091	9198.0	1987.8925	9711.0	2299.5117	
331	193882.0	44468.227	8839.0	2003.3325	8471.0	1907.4008	9344.0	2022.7852	9864.0	2341.7502	
332	193321.0	44319.125	8990.0	2045.1788	8588.0	1938.5654	9480.0	2055.0374	10021.0	2385.6145	
333	192760.0	44164.94	9132.0	2089.198	8714.0	1970.8875	9604.0	2084.3262	10190.0	2434.1755	
334	192185.0	44007.785	9282.0	2134.6829	8838.0	2003.8535	9745.0	2119.1301	10350.0	2478.0059	
335	191621.0	43858.062	9437.0	2181.2717	8955.0	2033.106	9870.0	2149.5474	10517.0	2521.4707	
336	191077.0	43719.645	9571.0	2222.791	9106.0	2069.7578	9987.0	2175.7527	10659.0	2555.5305	
337	190515.0	43575.727	9709.0	2262.8325	9246.0	2104.2476	10116.0	2206.434	10814.0	2594.2769	
338	189942.0	43435.7	9848.0	2299.9124	9379.0	2137.2432	10263.0	2241.729	10968.0	2628.899	
339	189373.0	43295.285	9993.0	2341.4404	9526.0	2171.3054	10396.0	2272.7644	11112.0	2662.6802	
340	188763.0	43142.21	10158.0	2391.8643	9672.0	2205.6628	10541.0	2307.1584	11266.0	2696.5957	
341	188138.0	42988.203	10323.0	2439.7932	9814.0	2238.725	10690.0	2343.6729	11435.0	2733.075	
342	187541.0	42834.957	10476.0	2485.279	9954.0	2271.859	10852.0	2387.029	11577.0	2764.372	
343	186952.0	42692.582	10628.0	2525.2202	10095.0	2305.2227	11014.0	2424.3438	11711.0	2796.1377	
344	186363.0	42546.52	10777.0	2564.511	10227.0	2336.9373	11172.0	2464.74	11861.0	2830.791	
345	185772.0	42401.105	10938.0	2607.2913	10372.0	2373.454	11325.0	2502.4563	11993.0	2859.1704	
346	185159.0	42250.742	11093.0	2648.875	10506.0	2405.0933	11503.0	2548.4302	12139.0	2890.3232	
347	184557.0	42097.062	11247.0	2690.9573	10646.0	2441.016	11664.0	2590.6777	12286.0	2923.7283	
348	183877.0	41928.63	11440.0	2744.274	10785.0	2473.407	11850.0	2638.9229	12448.0	2958.229	
