SIMULATION PARAMETERS:
n = 18
m = 32
p = 4
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 3:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	
10	11	2.5907614	4.6	Colonize	11	2.3888333	4.6	Colonize	11	2.857574	4.6	Colonize	11	2.530809	4.6	Colonize	
20	21	5.7026057	5.5	Colonize	21	5.2568655	5.5	Colonize	21	5.460952	5.6	Colonize	21	5.164837	5.5	Colonize	
30	31	8.825751	5.866667	Colonize	31	6.938452	6.0	Colonize	31	8.293992	5.9333334	Colonize	31	7.3662634	5.9333334	Colonize	
40	41	11.070794	6.2	Colonize	41	9.125227	6.25	Colonize	41	12.646004	6.05	Colonize	41	9.59415	6.25	Colonize	
50	51	13.855872	6.4	Contest	51	11.522689	6.44	Colonize	51	15.501081	6.32	Colonize	51	11.380263	6.32	Colonize	
60	61	15.51609	6.5333333	Contest	61	14.046241	6.5666666	Colonize	61	16.867167	6.5666666	Colonize	61	13.667722	6.4666667	Colonize	
70	71	16.4311	6.6571426	Colonize	71	15.936892	6.6857142	Colonize	71	18.836576	6.6571426	Colonize	71	14.968179	6.571429	Colonize	
80	81	17.29942	6.725	Colonize	81	17.438013	6.725	Colonize	81	20.773321	6.725	Colonize	77	15.414313	6.6493506	Null	
90	91	18.39472	6.8	Colonize	91	21.411283	6.711111	Colonize	91	22.602531	6.7777777	Colonize	77	15.414313	6.6493506	Null	
100	101	19.241924	6.86	Colonize	101	25.734585	6.68	Colonize	101	23.933477	6.84	Colonize	77	14.857533	6.6666665	Abandon	
110	103	19.148867	6.8431373	Colonize	111	30.157438	6.672727	Colonize	111	25.417377	6.909091	Colonize	77	14.857533	6.6666665	Abandon	
120	103	18.516296	6.8349514	Reinforce	121	33.14484	6.75	Contest	121	27.298765	6.9666667	Colonize	77	14.857533	6.6666665	Abandon	
130	102	18.174526	6.8349514	Abandon	131	34.952717	6.7846155	Contest	131	29.145462	7.0153847	Colonize	77	14.857533	6.6666665	Abandon	
140	102	17.882576	6.8349514	Abandon	141	35.03329	6.857143	Colonize	141	31.554813	7.0571427	Colonize	77	14.857533	6.6666665	Abandon	
150	102	17.882576	6.8349514	Abandon	151	37.946655	6.8133335	Colonize	151	33.97749	7.0666666	Colonize	77	14.857533	6.6666665	Abandon	
160	102	17.882576	6.8349514	Abandon	161	38.79213	6.8	Colonize	161	36.0806	7.1	Colonize	77	14.857533	6.6666665	Abandon	
170	102	17.882576	6.8349514	Abandon	171	41.18644	6.7411766	Colonize	171	37.398678	7.152941	Colonize	77	14.857533	6.6666665	Abandon	
180	102	17.882576	6.8349514	Abandon	180	42.60032	6.7555556	Contest	180	38.76996	7.1396646	Contest	77	14.857533	6.6666665	Abandon	
190	102	17.882576	6.8349514	Abandon	181	40.819805	6.773481	Contest	180	36.949497	7.133333	Contest	77	14.857533	6.6666665	Abandon	
200	102	17.882576	6.8349514	Abandon	185	39.723984	6.8	Contest	178	35.314304	7.1299434	Contest	77	14.857533	6.6666665	Abandon	
210	102	17.882576	6.8349514	Abandon	195	40.174618	6.876289	Contest	170	33.152386	7.111111	Null	77	14.857533	6.6666665	Abandon	
220	102	17.882576	6.8349514	Abandon	205	40.408142	6.9117646	Contest	160	30.583214	7.0559006	Reinforce	77	14.857533	6.6666665	Abandon	
230	102	17.882576	6.8349514	Abandon	206	39.906837	6.927536	Abandon	157	30.237823	7.037975	Abandon	77	14.857533	6.6666665	Abandon	
240	102	17.882576	6.8349514	Abandon	206	39.906837	6.927536	Abandon	157	30.237823	7.037975	Abandon	77	14.857533	6.6666665	Abandon	
250	102	17.882576	6.8349514	Abandon	206	39.906837	6.927536	Abandon	157	30.237823	7.037975	Abandon	77	14.857533	6.6666665	Abandon	
260	102	17.882576	6.8349514	Abandon	206	39.906837	6.927536	Abandon	157	30.237823	7.037975	Abandon	77	14.857533	6.6666665	Abandon	
270	102	17.882576	6.8349514	Abandon	206	39.906837	6.927536	Abandon	157	30.237823	7.037975	Abandon	77	14.857533	6.6666665	Abandon	
