SIMULATION PARAMETERS:
n = 18
m = 32
p = 4
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 3:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	
10	11	4.3965263	4.6	Colonize	11	2.5605643	4.6	Colonize	11	4.540535	4.4	Colonize	11	3.5990329	4.2	Colonize	
20	21	8.2748165	5.6	Colonize	21	4.4709983	5.5	Colonize	21	8.777532	5.3	Colonize	21	6.2945657	5.3	Colonize	
30	31	12.645294	6.0666666	Colonize	31	6.562022	5.9333334	Colonize	31	11.41689	5.866667	Colonize	31	8.043884	5.9333334	Colonize	
40	41	16.874495	6.3	Colonize	41	9.108116	6.15	Colonize	41	13.682263	6.15	Colonize	41	10.453787	6.2	Colonize	
50	51	19.7194	6.48	Colonize	51	10.866374	6.4	Colonize	51	15.124754	6.36	Colonize	51	12.551099	6.4	Colonize	
60	61	21.795914	6.6	Colonize	61	13.150467	6.5666666	Colonize	61	17.266027	6.4666667	Colonize	61	15.46362	6.5666666	Colonize	
70	71	23.551676	6.6857142	Colonize	71	14.39891	6.6285715	Colonize	71	18.749554	6.6285715	Colonize	71	16.878687	6.6571426	Contest	
80	81	25.017355	6.75	Colonize	76	15.05766	6.5866666	Colonize	81	20.223803	6.75	Colonize	81	17.35329	6.775	Colonize	
90	91	26.6847	6.822222	Colonize	80	15.451234	6.556962	Colonize	91	21.86303	6.8	Colonize	90	17.39879	6.8314605	Colonize	
100	101	29.418468	6.86	Colonize	90	17.409395	6.6067414	Colonize	101	23.527256	6.86	Colonize	100	18.324448	6.888889	Colonize	
110	111	31.290415	6.909091	Colonize	99	19.197205	6.6530614	Colonize	111	25.364046	6.8727274	Colonize	110	19.898699	6.880734	Colonize	
120	121	33.28275	6.9333334	Colonize	99	18.64724	6.66	Reinforce	121	26.059923	6.9166665	Contest	112	20.009815	6.864865	Colonize	
130	131	35.105473	6.9692307	Colonize	98	18.147772	6.597938	Colonize	131	27.258413	6.9384613	Colonize	112	20.009815	6.864865	Colonize	
140	141	36.687996	6.9857144	Contest	98	18.147772	6.597938	Colonize	140	28.487627	6.9496403	Colonize	112	20.009815	6.864865	Colonize	
150	151	37.159977	7.0266666	Contest	98	18.147772	6.597938	Colonize	144	28.412252	6.9370627	Colonize	112	20.009815	6.864865	Colonize	
160	161	37.40008	7.1	Contest	98	18.147772	6.597938	Colonize	146	28.349438	6.8707485	Contest	112	20.009815	6.864865	Colonize	
170	171	37.529846	7.117647	Contest	98	18.147772	6.597938	Colonize	138	26.487314	6.7391305	Colonize	112	20.009815	6.864865	Colonize	
180	181	39.17618	7.0666666	Contest	98	18.147772	6.597938	Colonize	128	22.894613	6.515625	Colonize	112	20.009815	6.864865	Colonize	
190	191	42.176643	7.021053	Contest	98	18.147772	6.597938	Colonize	118	17.947777	6.440678	Colonize	112	20.009815	6.864865	Colonize	
200	201	42.807293	7.05	Contest	98	18.147772	6.597938	Colonize	108	15.370754	6.314815	Colonize	112	20.009815	6.864865	Colonize	
210	211	42.265186	7.0857143	Contest	98	18.147772	6.597938	Colonize	98	13.966486	6.244898	Colonize	112	20.009815	6.864865	Colonize	
220	221	42.592495	7.090909	Colonize	98	18.147772	6.597938	Colonize	91	12.898406	6.1086955	Abandon	112	20.009815	6.864865	Colonize	
230	231	45.189747	7.0869565	Colonize	98	18.147772	6.597938	Colonize	91	12.828046	6.1555557	Colonize	112	20.009815	6.864865	Colonize	
240	240	46.575085	7.116667	Contest	98	18.147772	6.597938	Colonize	88	12.611589	6.1149426	Colonize	112	20.009815	6.864865	Colonize	
250	242	46.948124	7.111111	Abandon	98	18.147772	6.597938	Colonize	86	12.397578	6.1149426	Abandon	112	20.009815	6.864865	Colonize	
260	242	46.948124	7.111111	Abandon	98	18.147772	6.597938	Colonize	86	12.397578	6.1149426	Abandon	112	20.009815	6.864865	Colonize	
270	242	46.948124	7.111111	Abandon	98	18.147772	6.597938	Colonize	86	12.397578	6.1149426	Abandon	112	20.009815	6.864865	Colonize	
280	242	46.948124	7.111111	Abandon	98	18.147772	6.597938	Colonize	86	12.397578	6.1149426	Abandon	112	20.009815	6.864865	Colonize	
290	242	46.948124	7.111111	Abandon	98	18.147772	6.597938	Colonize	86	12.397578	6.1149426	Abandon	112	20.009815	6.864865	Colonize	
