SIMULATION PARAMETERS:
n = 18
m = 32
p = 4
resource_noise_scale = 0.41666666
q = 0.12566859
E_C = 0.12566859
E_R = 0.031417146
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 3:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	
10	11	5.14347	4.6	Colonize	11	4.2909293	4.6	Colonize	11	3.3152606	4.6	Colonize	11	2.55142	4.6	Colonize	
20	21	9.446568	5.6	Colonize	21	9.184641	5.4	Colonize	21	5.84153	5.5	Colonize	21	4.2014933	5.5	Colonize	
30	31	13.919832	6.0	Colonize	31	11.738792	5.9333334	Colonize	31	8.283833	5.9333334	Colonize	31	6.1803665	5.866667	Colonize	
40	41	17.389875	6.3	Colonize	41	13.682263	6.15	Colonize	41	11.110097	6.2	Colonize	41	8.657325	6.15	Colonize	
50	51	19.894451	6.44	Colonize	51	15.124754	6.36	Colonize	51	14.147858	6.4	Colonize	51	10.682976	6.32	Colonize	
60	61	21.795914	6.6	Colonize	61	17.266027	6.4666667	Colonize	61	16.147879	6.5666666	Colonize	61	12.079687	6.5333333	Colonize	
70	71	23.620644	6.6857142	Colonize	71	18.749554	6.6285715	Colonize	71	17.885029	6.6857142	Colonize	71	14.282553	6.6285715	Colonize	
80	81	25.086323	6.75	Colonize	81	20.223803	6.75	Colonize	81	18.793442	6.775	Colonize	81	16.229906	6.7	Colonize	
90	91	26.753668	6.822222	Colonize	91	21.86303	6.8	Colonize	91	19.9246	6.7777777	Colonize	91	17.529028	6.7777777	Colonize	
100	101	29.487436	6.86	Colonize	101	23.527256	6.86	Colonize	101	22.283804	6.76	Colonize	101	19.849197	6.78	Colonize	
110	111	31.359385	6.909091	Colonize	111	24.752117	6.909091	Colonize	111	23.769558	6.7818184	Contest	111	20.876308	6.818182	Contest	
120	121	33.35172	6.9333334	Colonize	121	26.32075	6.9333334	Colonize	113	23.206625	6.79646	Contest	112	19.769474	6.821429	Contest	
130	131	35.243412	6.9692307	Colonize	131	27.737171	6.9846153	Colonize	113	21.94993	6.79646	Contest	112	18.51278	6.821429	Contest	
140	141	36.98766	6.9714284	Contest	141	29.83661	7.0	Colonize	113	20.693235	6.79646	Contest	112	17.256084	6.821429	Contest	
150	151	38.629845	6.9866667	Colonize	151	30.495962	6.9866667	Contest	113	19.43654	6.79646	Contest	110	15.810653	6.810811	Contest	
160	161	42.005886	7.0125	Colonize	161	31.315218	7.0	Contest	116	18.830053	6.8173914	Contest	98	12.537953	6.7	Null	
170	171	43.152645	7.0235295	Contest	169	32.36689	6.9761906	Contest	126	19.62722	6.896	Contest	81	7.3631196	6.4578314	Reinforce	
180	181	44.356544	7.0555553	Contest	172	31.592907	6.918605	Contest	136	21.094282	6.9333334	Contest	60	2.4784744	6.322581	Reinforce	
190	191	45.099327	7.105263	Contest	175	31.041079	6.9142857	Contest	143	21.255146	6.951049	Contest	45	-0.06727646	6.0434785	Abandon	
200	201	46.07114	7.14	Contest	176	30.716803	6.875	Contest	145	18.52005	6.9103446	Contest	29	-0.07462938	5.6	Abandon	
210	211	47.794067	7.1238093	Contest	176	28.138968	6.784091	Contest	143	17.346455	6.9370627	Reinforce	23	-0.22929901	5.52	Abandon	
220	221	51.626087	7.072727	Contest	176	23.858625	6.693182	Contest	146	17.621515	6.917808	Reinforce	8	-0.48160896	4.4	Abandon	
230	231	53.36718	7.078261	Contest	170	20.64487	6.6549706	Reinforce	146	17.63625	6.92517	Abandon	3	0.0	3.0	Abandon	
240	241	53.675426	7.1	Contest	161	18.991089	6.6049385	Reinforce	148	17.888174	6.92517	Colonize	3	0.0	3.0	Abandon	
250	251	54.068382	7.128	Contest	152	17.20331	6.496732	Reinforce	146	17.63625	6.92517	Abandon	3	0.0	3.0	Abandon	
260	261	55.246895	7.1153846	Contest	142	14.775594	6.4895105	Reinforce	148	17.888174	6.92517	Colonize	3	0.0	3.0	Abandon	
270	271	57.478786	7.0	Contest	128	10.135574	6.230769	Abandon	148	17.888174	6.92517	Colonize	3	0.0	3.0	Abandon	
280	281	59.02409	6.957143	Contest	118	7.176513	5.932773	Reinforce	148	17.888174	6.92517	Colonize	3	0.0	3.0	Abandon	
290	291	60.14741	6.889655	Contest	107	4.359193	5.611111	Reinforce	148	17.888174	6.92517	Colonize	3	0.0	3.0	Abandon	
300	301	60.75222	6.86	Contest	92	1.6193331	5.4042554	Abandon	148	17.888174	6.92517	Colonize	3	0.0	3.0	Abandon	
310	311	61.922134	6.8129034	Contest	79	-0.023615453	5.525	Abandon	148	17.888174	6.92517	Colonize	0	-0.15191211	0.0	Null	
320	321	63.684227	6.7125	Contest	69	-0.05519933	5.6857142	Abandon	136	14.180012	6.9117646	Colonize	0	-0.15191211	0.0	Null	
330	331	65.23274	6.6484847	Contest	59	-0.06444579	5.7	Abandon	127	11.080853	6.75	Reinforce	0	-0.15191211	0.0	Null	
340	341	66.83794	6.6	Contest	49	-0.13916373	5.88	Abandon	116	7.707777	6.6034484	Colonize	0	-0.15191211	0.0	Null	
350	351	69.03103	6.5542855	Contest	47	0.082584925	5.87234	Reinforce	105	4.174236	6.1682243	Abandon	0	-0.15191211	0.0	Null	
360	361	70.90506	6.5666666	Contest	47	0.082584925	5.87234	Reinforce	95	1.0434879	5.876289	Abandon	0	-0.15191211	0.0	Null	
370	371	71.820946	6.5945945	Contest	47	0.11400207	5.869565	Colonize	81	-0.22199325	5.7108436	Abandon	0	-0.15191211	0.0	Null	
380	381	73.41632	6.5789475	Contest	47	0.11400207	5.869565	Colonize	71	-0.37360033	5.1232877	Abandon	0	-0.15191211	0.0	Null	
390	391	73.95037	6.6153846	Contest	47	0.11400207	5.869565	Colonize	61	-0.06901994	4.7540984	Colonize	0	-0.15191211	0.0	Null	
400	401	74.640076	6.64	Contest	47	0.11400207	5.869565	Colonize	45	-0.3475876	4.5957446	Abandon	0	-0.15191211	0.0	Null	
410	411	74.59207	6.6731706	Contest	47	0.11400207	5.869565	Colonize	33	-0.14357081	4.1714287	Abandon	0	-0.15191211	0.0	Null	
420	421	74.34051	6.6857142	Contest	47	0.11400207	5.869565	Colonize	20	-0.15687047	3.3636363	Abandon	0	-0.15191211	0.0	Null	
430	431	74.9261	6.7674417	Contest	47	0.11400207	5.869565	Colonize	11	0.038231343	2.7272727	Colonize	0	-0.15191211	0.0	Null	
440	441	75.855316	6.8772726	Contest	47	0.11400207	5.869565	Colonize	10	0.0	2.5454545	Abandon	0	-0.15191211	0.0	Null	
