SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.19463721
E_C = 0.19463721
E_R = 0.048659302
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
10	11	5.14347	4.6	Colonize	11	2.906563	4.6	Colonize	11	3.5225213	4.2	Colonize	
20	21	9.446568	5.6	Colonize	21	5.5089083	5.5	Colonize	21	7.577187	5.3	Colonize	
30	31	13.919832	6.0	Colonize	31	7.7786193	6.0	Colonize	31	10.775947	5.866667	Colonize	
40	41	17.389875	6.3	Colonize	41	9.791608	6.25	Colonize	41	13.104276	6.2	Colonize	
50	51	19.894451	6.44	Colonize	51	12.538226	6.36	Colonize	51	14.924692	6.4	Colonize	
60	61	21.795914	6.6	Colonize	61	15.152318	6.5	Colonize	61	16.58403	6.5333333	Colonize	
70	71	23.551676	6.6857142	Colonize	71	17.821875	6.6285715	Colonize	71	18.701252	6.6285715	Colonize	
80	81	25.017355	6.75	Colonize	81	21.369087	6.7	Colonize	81	20.150923	6.75	Colonize	
90	91	26.6847	6.822222	Colonize	91	23.711946	6.7777777	Colonize	91	21.891027	6.822222	Colonize	
100	101	29.418468	6.86	Colonize	101	25.64471	6.84	Colonize	101	23.532228	6.86	Colonize	
110	111	31.290415	6.909091	Colonize	111	27.431847	6.8727274	Colonize	111	25.364046	6.8727274	Colonize	
120	121	33.28275	6.9333334	Colonize	121	28.49567	6.9333334	Colonize	121	28.02535	6.866667	Colonize	
130	131	35.33443	6.953846	Colonize	131	30.00749	6.9384613	Colonize	131	30.761864	6.876923	Colonize	
140	141	36.93129	6.9857144	Colonize	141	32.21758	6.9857144	Colonize	141	32.36395	6.9142857	Colonize	
150	151	38.265854	6.9866667	Colonize	151	33.190697	7.04	Colonize	151	34.402508	6.96	Colonize	
160	161	39.935364	7.0125	Colonize	161	34.35684	7.05	Colonize	161	36.484287	6.975	Colonize	
170	171	42.918667	7.0235295	Colonize	171	34.82308	7.047059	Contest	171	37.924927	6.9882355	Colonize	
180	181	44.71705	7.0333333	Contest	171	34.82308	7.0526314	Null	181	39.30992	7.022222	Colonize	
190	191	44.789257	7.073684	Contest	172	34.212284	7.0465117	Contest	182	38.289173	6.9945354	Contest	
200	201	45.61613	7.1	Contest	169	33.02417	7.0238094	Contest	181	35.504166	6.978022	Null	
210	211	46.411964	7.0857143	Contest	169	32.634895	7.035714	Colonize	172	32.289295	6.8439307	Reinforce	
220	221	48.472504	7.0272727	Contest	169	32.634895	7.035714	Colonize	162	27.795801	6.6380367	Reinforce	
230	231	50.947666	6.982609	Contest	169	32.634895	7.035714	Colonize	152	23.228294	6.605263	Reinforce	
240	241	51.73931	7.0	Contest	169	32.634895	7.035714	Colonize	147	20.996742	6.4864864	Reinforce	
250	251	52.525986	6.976	Contest	169	32.634895	7.035714	Colonize	138	18.0222	6.304348	Reinforce	
260	261	53.07171	6.9384613	Contest	169	32.634895	7.035714	Colonize	128	15.092176	6.0	Reinforce	
270	271	53.6087	6.9333334	Contest	169	32.537575	7.035714	Colonize	118	12.170883	5.7815127	Reinforce	
280	273	53.042797	6.9264708	Colonize	169	32.537575	7.035714	Colonize	108	10.358723	5.7981653	Abandon	
290	278	53.925056	6.9458485	Colonize	171	32.878258	7.047059	Colonize	98	8.164007	6.060606	Abandon	
300	278	53.92581	6.953405	Abandon	173	33.011772	7.0465117	Colonize	96	7.936907	6.1894736	Colonize	
310	278	53.92581	6.953405	Abandon	173	33.011772	7.0465117	Colonize	96	7.936907	6.1894736	Colonize	
320	278	53.92581	6.953405	Abandon	173	33.011772	7.0465117	Colonize	96	7.936907	6.1894736	Colonize	
330	278	53.92581	6.953405	Abandon	173	33.011772	7.0465117	Colonize	96	7.936907	6.1894736	Colonize	
340	278	53.92581	6.953405	Abandon	173	33.011772	7.0465117	Colonize	96	7.936907	6.1894736	Colonize	
