SIMULATION PARAMETERS:
n = 18
m = 32
p = 4
resource_noise_scale = 0.41666666
q = 0.12566859
E_C = 0.12566859
E_R = 0.031417146
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 3:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	
10	11	3.573838	4.2	Colonize	11	3.2885983	4.6	Colonize	11	4.470366	4.6	Colonize	11	3.4475644	4.6	Colonize	
20	21	7.7604966	5.3	Colonize	21	5.4071693	5.5	Colonize	21	8.795156	5.5	Colonize	21	6.334902	5.5	Colonize	
30	31	10.919437	5.8	Colonize	31	7.737649	6.0	Colonize	31	13.175891	6.0	Colonize	31	8.440124	6.0	Colonize	
40	41	13.19763	6.15	Colonize	41	9.922352	6.2	Colonize	41	17.319786	6.25	Colonize	41	10.607541	6.3	Colonize	
50	51	15.406406	6.32	Colonize	51	11.841447	6.36	Colonize	51	19.894451	6.44	Colonize	51	13.303925	6.4	Colonize	
60	61	17.03278	6.4666667	Colonize	61	13.2541275	6.4666667	Colonize	61	21.795914	6.6	Colonize	61	14.224854	6.5	Colonize	
70	71	18.594307	6.6	Colonize	70	14.481145	6.521739	Colonize	71	23.904482	6.6857142	Colonize	71	15.1852	6.6	Colonize	
80	81	19.877428	6.725	Colonize	79	16.09141	6.6666665	Colonize	81	25.803974	6.775	Colonize	81	17.320068	6.575	Colonize	
90	91	21.217745	6.822222	Colonize	89	17.579796	6.75	Colonize	91	27.813631	6.822222	Colonize	91	18.657345	6.5555553	Colonize	
100	101	22.650326	6.88	Colonize	99	18.864079	6.7959185	Contest	101	28.937197	6.88	Colonize	101	21.153564	6.52	Colonize	
110	111	24.32207	6.9454546	Colonize	100	17.891636	6.8	Contest	111	30.94283	6.909091	Colonize	101	19.957306	6.4950495	Contest	
120	121	26.140745	6.983333	Colonize	100	16.634941	6.8	Contest	121	33.534832	6.9333334	Colonize	101	18.700611	6.4950495	Contest	
130	131	28.107023	7.0307693	Colonize	100	15.378254	6.8	Contest	131	35.33301	6.9846153	Colonize	101	17.443916	6.4950495	Contest	
140	141	30.489588	7.0285716	Colonize	100	14.121569	6.8	Contest	141	37.23272	6.9714284	Contest	94	14.109756	6.357895	Contest	
150	151	31.819517	7.0533333	Colonize	100	12.864883	6.8	Contest	151	38.024544	6.9733334	Contest	87	11.490092	6.2272725	Contest	
160	161	35.094685	7.0125	Colonize	108	13.571089	6.851852	Contest	161	38.88646	6.9875	Contest	75	8.429884	6.16	Colonize	
170	171	36.9959	7.0117645	Colonize	108	12.69141	6.851852	Contest	171	40.387863	6.964706	Contest	74	7.048365	6.3733335	Abandon	
180	181	38.30317	7.022222	Contest	108	11.528976	6.851852	Contest	181	40.917995	7.022222	Contest	74	6.7341914	6.4594593	Reinforce	
190	184	37.604393	7.0434785	Contest	108	10.460794	6.851852	Contest	185	40.27353	7.037838	Contest	74	5.6660085	6.4594593	Contest	
200	184	36.347717	7.0434785	Contest	108	9.204109	6.851852	Contest	185	39.016853	7.037838	Contest	74	4.409323	6.4594593	Contest	
210	184	35.09104	7.0434785	Contest	108	7.947424	6.851852	Contest	185	37.760178	7.037838	Contest	74	3.152638	6.4594593	Contest	
220	184	33.834366	7.0434785	Contest	108	6.6907387	6.851852	Contest	185	36.5035	7.037838	Contest	74	1.8959527	6.4594593	Contest	
230	184	32.57769	7.0434785	Contest	108	5.4340534	6.851852	Contest	185	35.246826	7.037838	Contest	74	0.63926727	6.4594593	Contest	
240	184	31.321001	7.0434785	Contest	108	4.177368	6.851852	Contest	185	33.99015	7.037838	Contest	71	0.0	6.4722223	Abandon	
250	184	30.064306	7.0434785	Contest	108	2.920683	6.851852	Contest	185	32.733475	7.037838	Contest	71	0.0	6.4722223	Abandon	
260	184	28.807611	7.0434785	Contest	108	1.6639977	6.851852	Contest	185	31.47679	7.037838	Contest	71	0.0	6.4722223	Abandon	
270	184	27.550917	7.0434785	Contest	108	0.4073121	6.851852	Contest	185	30.220095	7.037838	Contest	71	0.0	6.4722223	Abandon	
280	184	26.294222	7.0434785	Contest	105	0.0	6.8490567	Abandon	185	28.9634	7.037838	Contest	71	0.0	6.4722223	Abandon	
290	184	25.037527	7.0434785	Contest	105	0.0	6.8490567	Abandon	185	27.706705	7.037838	Contest	71	0.0	6.4722223	Abandon	
300	184	23.780832	7.0434785	Contest	105	0.0	6.8490567	Abandon	185	26.45001	7.037838	Contest	71	0.0	6.4722223	Abandon	
310	179	21.652233	6.949721	Colonize	105	0.0	6.8490567	Abandon	191	26.91227	6.989474	Contest	71	0.0	6.4722223	Abandon	
320	169	19.426939	6.852071	Colonize	105	0.0	6.8490567	Abandon	201	27.880869	6.99	Contest	71	0.0	6.4722223	Abandon	
330	160	16.898403	6.65	Colonize	105	0.0	6.8490567	Abandon	211	29.450047	6.895238	Contest	71	0.0	6.4722223	Abandon	
340	152	14.590472	6.605263	Colonize	105	0.0	6.8490567	Abandon	221	30.761591	7.0	Contest	71	0.0	6.4722223	Abandon	
350	141	9.441736	6.3776226	Abandon	105	0.0	6.8490567	Abandon	231	34.466354	6.8956523	Contest	71	0.0	6.4722223	Abandon	
360	132	5.6446095	6.3007517	Reinforce	105	0.0	6.8490567	Abandon	241	36.942753	6.9166665	Contest	71	0.0	6.4722223	Abandon	
370	122	3.0282993	6.113821	Reinforce	105	0.0	6.8490567	Abandon	251	38.05105	6.896	Contest	71	0.0	6.4722223	Abandon	
380	111	-0.32297373	5.857143	Reinforce	105	0.0	6.8490567	Abandon	261	39.745304	6.792308	Contest	71	0.0	6.4722223	Abandon	
390	101	-0.08590845	5.7623763	Colonize	105	0.0	6.8490567	Abandon	271	40.89332	6.7555556	Contest	71	0.0	6.4722223	Abandon	
400	89	-0.041674845	5.4606743	Colonize	105	0.0	6.8490567	Abandon	281	41.279423	6.7285714	Contest	71	0.0	6.4722223	Abandon	
410	77	-0.28065136	5.291139	Abandon	105	0.0	6.8490567	Abandon	291	42.132183	6.7172413	Contest	71	0.0	6.4722223	Abandon	
420	63	0.0056204647	5.2063494	Colonize	105	0.0	6.8490567	Abandon	301	42.381725	6.7533336	Contest	71	0.0	6.4722223	Abandon	
430	49	-0.17872727	4.8235292	Abandon	105	0.0	6.8490567	Abandon	311	42.534306	6.767742	Contest	71	0.0	6.4722223	Abandon	
440	31	-0.27342504	4.909091	Abandon	105	0.0	6.8490567	Abandon	321	42.55906	6.81875	Contest	71	0.0	6.4722223	Abandon	
450	17	-0.05150432	3.2941177	Colonize	105	0.0	6.8490567	Abandon	331	43.124218	6.7818184	Contest	71	0.0	6.4722223	Abandon	
460	2	0.0	1.0	Null	105	0.0	6.8490567	Abandon	341	43.090416	6.8235292	Colonize	71	0.0	6.4722223	Abandon	
470	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	351	44.398487	7.0057144	Colonize	71	0.0	6.4722223	Abandon	
480	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	359	45.24	7.1396646	Colonize	71	0.0	6.4722223	Abandon	
490	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	367	45.88789	7.2131147	Colonize	71	0.0	6.4722223	Abandon	
500	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	377	46.831665	7.324468	Colonize	71	0.0	6.4722223	Abandon	
510	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	385	47.795155	7.3523316	Abandon	71	0.0	6.4722223	Abandon	
520	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	385	47.795155	7.3523316	Abandon	71	0.0	6.4722223	Abandon	
530	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	385	47.795155	7.3523316	Abandon	71	0.0	6.4722223	Abandon	
540	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	385	47.795155	7.3523316	Abandon	71	0.0	6.4722223	Abandon	
550	1	0.0	0.0	Null	105	0.0	6.8490567	Abandon	385	47.795155	7.3523316	Abandon	71	0.0	6.4722223	Abandon	
