SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.12566859
E_C = 0.12566859
E_R = 0.031417146
P_HF = 0.95
R_t = 253.65135
NATION PARAMETERS:
NATION 0:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 1:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
NATION 2:	k_S = 0.33333334	k_R = 0.33333334	k_A_bar = 0.33333334
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
10	11	3.5990329	4.2	Colonize	11	2.5036454	4.6	Colonize	11	2.238902	4.6	Colonize	
20	21	6.619011	5.2	Colonize	21	4.235146	5.5	Colonize	21	4.2473707	5.5	Colonize	
30	31	8.937331	5.733333	Colonize	31	7.505134	5.8	Colonize	31	6.562022	5.9333334	Colonize	
40	41	10.453785	6.25	Colonize	41	9.814422	6.1	Colonize	41	9.108116	6.15	Colonize	
50	51	12.551097	6.4	Colonize	51	11.141414	6.4	Colonize	51	10.866374	6.4	Colonize	
60	61	15.478363	6.5666666	Colonize	61	13.307009	6.5666666	Colonize	61	13.150466	6.5666666	Colonize	
70	71	17.191137	6.6285715	Contest	71	16.008665	6.6571426	Colonize	71	14.390751	6.6285715	Colonize	
80	81	18.093601	6.75	Colonize	78	16.613031	6.717949	Colonize	80	14.602017	6.658228	Contest	
90	91	19.377678	6.822222	Colonize	78	15.356344	6.6923075	Contest	80	13.345332	6.625	Contest	
100	101	23.014324	6.78	Colonize	78	14.099659	6.6923075	Contest	80	12.088647	6.625	Contest	
110	111	26.46284	6.7636366	Contest	80	13.593666	6.734177	Colonize	78	10.3731365	6.6410255	Null	
120	121	28.412048	6.766667	Colonize	90	15.944375	6.764045	Colonize	72	8.410158	6.361111	Reinforce	
130	131	31.792246	6.8	Contest	100	18.053026	6.8080807	Colonize	71	7.9418974	6.3943663	Reinforce	
140	141	36.26551	6.8142858	Colonize	110	19.7227	6.880734	Colonize	71	6.9679656	6.3943663	Contest	
150	151	38.77933	6.88	Colonize	120	22.091623	6.907563	Colonize	71	5.7112803	6.3943663	Contest	
160	161	40.50969	6.9625	Colonize	130	24.657808	6.9302325	Colonize	71	4.454595	6.3943663	Contest	
170	171	42.171406	6.964706	Contest	139	25.889149	6.992806	Colonize	71	3.2921612	6.3943663	Contest	
180	181	43.328087	6.977778	Contest	142	27.896542	6.8732395	Colonize	71	2.035476	6.3943663	Contest	
190	191	44.416485	6.989474	Contest	145	30.086744	6.8965516	Colonize	71	0.7787906	6.3943663	Contest	
200	201	45.371857	7.01	Contest	149	31.04956	6.9054055	Colonize	67	-0.07526672	6.4117646	Abandon	
210	211	46.930412	7.047619	Colonize	159	32.36282	6.962025	Colonize	66	0.0	6.4179106	Abandon	
220	221	49.399982	7.072727	Colonize	169	33.428883	6.9761906	Contest	65	-0.15708573	6.4242425	Abandon	
230	231	51.726143	7.0869565	Colonize	179	34.852398	7.011236	Colonize	66	0.17845121	6.4307694	Colonize	
240	240	52.889027	7.0962343	Contest	182	34.470474	6.989011	Colonize	66	0.052782625	6.4242425	Contest	
250	247	53.398483	7.1012144	Colonize	187	34.664112	7.0	Contest	65	-0.12566859	6.4242425	Abandon	
260	256	54.461685	7.1215687	Contest	193	35.96109	6.9948187	Colonize	66	0.17845121	6.4307694	Colonize	
270	263	55.227715	7.1254754	Contest	199	36.6688	6.9748745	Contest	66	0.052782625	6.4242425	Contest	
280	263	53.97104	7.1254754	Contest	199	35.412125	6.9748745	Contest	65	-0.12566859	6.4242425	Abandon	
290	264	52.74318	7.121212	Contest	199	34.37328	6.954774	Contest	66	0.17845121	6.4307694	Colonize	
300	264	51.486504	7.121212	Contest	199	33.116604	6.954774	Contest	66	0.052782625	6.4242425	Contest	
310	268	51.04986	7.138577	Contest	199	32.24524	6.9145727	Colonize	65	-0.12566859	6.4242425	Abandon	
320	276	52.10342	7.1345453	Contest	199	32.440617	6.753769	Colonize	66	0.17845121	6.4307694	Colonize	
330	281	52.213	7.1316724	Contest	199	31.734674	6.673367	Contest	66	0.052782625	6.4242425	Contest	
340	281	50.956326	7.1316724	Contest	199	30.47798	6.673367	Contest	65	-0.12566859	6.4242425	Abandon	
350	281	49.69965	7.1316724	Contest	199	29.221285	6.673367	Contest	66	0.17845121	6.4307694	Colonize	
360	282	48.848232	7.1205673	Contest	199	27.884789	6.633166	Contest	66	0.052782625	6.4242425	Contest	
370	282	47.591557	7.1205673	Contest	199	26.628094	6.633166	Contest	65	-0.12566859	6.4242425	Abandon	
380	287	48.69922	7.083916	Contest	197	23.73231	6.5454545	Reinforce	60	-0.19564539	6.3934426	Abandon	
390	297	52.06118	7.060811	Contest	187	18.799492	6.510638	Reinforce	59	0.113617584	6.40678	Contest	
400	307	53.604534	7.026144	Contest	177	15.685284	6.348315	Reinforce	58	-0.12566859	6.40678	Abandon	
410	317	55.829536	6.962025	Contest	167	11.889439	6.1190476	Reinforce	59	0.23928617	6.413793	Colonize	
420	327	57.463886	6.8957057	Contest	156	8.626801	5.8471336	Reinforce	59	0.113617584	6.40678	Contest	
430	337	58.525627	6.8630953	Contest	146	5.994213	5.6462584	Reinforce	58	-0.12566859	6.40678	Abandon	
440	347	58.878544	6.8208094	Contest	137	4.1907277	5.347826	Reinforce	59	0.23928617	6.413793	Colonize	
450	357	59.561443	6.764045	Contest	126	1.8146905	5.007874	Reinforce	59	0.113617584	6.40678	Contest	
460	367	59.957043	6.726776	Contest	117	0.0019593984	4.6101694	Reinforce	58	-0.12566859	6.40678	Abandon	
470	377	61.004074	6.68617	Contest	97	-0.35134137	4.181818	Abandon	59	0.23928617	6.413793	Colonize	
480	387	61.032623	6.6891193	Contest	77	-0.267958	3.772152	Abandon	59	0.113617584	6.40678	Contest	
490	397	60.74181	6.732323	Colonize	61	-0.06628033	3.6774194	Abandon	58	-0.12566859	6.40678	Abandon	
500	407	61.323277	6.8965516	Colonize	51	-0.2820174	3.9230769	Abandon	59	0.23928617	6.413793	Colonize	
510	417	62.066578	7.043269	Colonize	41	-0.14460368	4.142857	Abandon	59	0.113617584	6.40678	Contest	
520	427	63.332077	7.1361504	Colonize	41	0.07411848	4.1463413	Contest	58	-0.12566859	6.40678	Abandon	
530	437	64.42871	7.2201834	Colonize	40	-0.12566859	4.1463413	Abandon	59	0.23928617	6.413793	Colonize	
540	443	64.56542	7.2895927	Colonize	39	-0.20365988	4.15	Abandon	59	0.113617584	6.40678	Contest	
550	453	65.51105	7.3141594	Contest	29	-0.051343694	4.4666667	Abandon	62	0.1687488	6.419355	Contest	
560	463	67.21358	7.3203464	Contest	14	-0.5994918	4.125	Abandon	62	0.052782625	6.419355	Contest	
570	473	68.187904	7.2838984	Contest	0	-0.13882494	0.0	Null	62	0.05278262	6.3809524	Abandon	
580	483	69.68651	7.360996	Colonize	0	-0.13882494	0.0	Null	62	0.05278262	6.3809524	Abandon	
590	493	70.06562	7.410569	Contest	0	-0.13882494	0.0	Null	61	0.13294989	6.419355	Reinforce	
600	503	71.14325	7.3306775	Contest	0	-0.13882494	0.0	Null	43	-0.31057763	5.6444445	Abandon	
610	513	71.728165	7.3007812	Contest	0	-0.13882494	0.0	Null	24	-0.31141907	4.923077	Abandon	
620	523	73.36953	7.2643676	Contest	0	-0.13882494	0.0	Null	5	-0.38778257	2.5714285	Abandon	
630	527	73.79187	7.296578	Colonize	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
640	535	75.04618	7.3656716	Abandon	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
650	537	74.70556	7.3955226	Colonize	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
660	547	75.42702	7.4505496	Colonize	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
670	557	77.30872	7.4784174	Colonize	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
680	567	79.17128	7.4982333	Colonize	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
690	568	79.093994	7.5	Reinforce	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
700	566	77.897316	7.5017667	Reinforce	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
710	565	77.30751	7.5017667	Abandon	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
720	566	77.64597	7.500885	Colonize	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
730	566	77.5203	7.5017667	Reinforce	0	-0.13882494	0.0	Null	0	-0.18036006	0.0	Null	
